cluster_id,dominant_point_group,fraction,n_labeled,cluster_size
0,-43m,0.9990325865580448,39280,39283
1,mm2,0.6716911448939277,46572,46578
2,m,0.603098568417595,36533,36538
3,m-3m,0.928576282704723,29430,29431
4,mmm,0.4196330655917484,33739,33756
5,mm2,0.4983826052713004,35551,35553
6,-3m,0.3099476763986501,32299,32325
7,-3m,0.5536503763890549,33476,33485
8,4mm,0.30400287201579607,27855,27856
9,-42m,0.5118571980925377,31036,31037
10,-43m,0.6561214088867077,26489,26491
11,mm2,0.4481806414497339,34765,34766
12,-43m,0.9979779210842715,36596,36608
13,2/m,0.5579142447982478,35613,35618
14,-43m,0.966969890235306,29791,29800
15,4mm,0.4243019843299857,37141,37151
16,-3m,0.6649899971420405,34990,34991
17,m,0.4373301308387586,31642,31646
18,2/m,0.20939998849450614,34766,34990
19,4/mmm,0.4366677350738658,34319,34329
20,-6m2,0.20622943190506265,30083,30092
21,mmm,0.3987975349466406,33265,33268
22,4/mmm,0.4354331343765123,24796,24798
23,m-3m,0.20090242807997208,40114,40212
24,2/m,0.5748706682729785,28222,28223
25,m-3m,0.21877839122230763,28618,28638
26,m,0.39756035253544514,31316,31324
27,mmm,0.322599160196961,33103,33116
28,-43m,0.9732001547497626,28433,28439
29,-43m,0.9983235540653814,35790,35797
30,-3m,0.5281336718427112,33874,33885
31,mm2,0.5305861416972528,35964,35968
32,-42m,0.3873302841502503,27767,27774
33,m,0.6068741754911399,28047,28053
34,4/mmm,0.37842920684199527,33499,33504
35,-42m,0.478291976974861,30749,30755
36,mmm,0.4170203604601095,32514,32518
37,4/mmm,0.5059202249685488,27026,27034
38,-43m,0.9978876566886239,35979,35985
39,m,0.3762833048154485,32728,32729
40,-43m,0.9874431119821945,30103,30109
41,mm2,0.5007643824594341,37285,37290
42,-43m,0.553519499661395,25103,25106
43,m,0.2469181294385636,29852,29860
44,m-3m,0.8490529420897376,25764,25767
45,4mm,0.5279404276985743,31424,31427
46,-3m,0.43819537160658656,35952,35965
47,4mm,0.4623335164978936,38217,38223
48,2/m,0.2653691491072865,31085,31090
49,mm2,0.6234131354704076,34502,34508
