cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,Cmmm | 2a 2b 4f,0.40919109543751375,9074,12123
65,Pm | 1a 1a 1b 1b,0.63014164305949,8825,12445
66,P4mm | 1a 1a 1b 1b,0.4489359022793099,7941,11007
67,F-43m | 4a 4c 16e,0.9584891189722942,10431,14822
68,Imm2 | 2a 2a 2b 2b,0.25128667009778693,7772,10713
69,Cm | 2a 2a 2a 2a,0.7940398942561884,8322,10088
70,Fmm2 | 4a 4a 4a,0.23378291586384073,6228,8327
71,I4/mmm | 2a 2b 4d,0.37586612629101845,7649,10405
72,Imm2 | 2a 2a 2b 2b,0.44037727374803504,8906,12494
73,F-43m | 4a 4b 4c 4d,0.994993870044953,9788,12793
74,Fm-3m | 4a 4b 8c,0.6325411334552102,2188,9991
75,Cmmm | 2a 2b 4f,0.2981841763942931,7710,10422
76,R-3m | 3a 3b 6c,0.9281639928698753,5610,7988
77,Cm | 2a 2a 2a 2a,0.8220421001693685,8266,9911
78,P4mm | 1a 1a 1b 1b,0.49870861704625497,8518,11611
79,P2/m | 1a 1c 2n,0.2460515378221114,7218,9656
80,C2/m | 2a 2b 4f,0.08726635514018692,8560,10896
81,P4/mmm | 1a 1c 2e,0.49970653832609463,8519,11795
82,R-3m | 3a 3b 6c,0.9296618130577736,8516,11732
83,Cmmm | 2a 2b 4f,0.2322741151193034,8843,12304
84,R-3m | 3a 3b 6c,0.4771996492253727,6842,8984
85,C2/m | 2a 2d 4i,0.3488139825218477,8010,10450
86,F-43m | 4a 4b 4c 4d,0.678452219062925,8089,12826
87,Pm-3m | 1a 1b 3d,0.16333887964503604,7212,10392
88,Cmmm | 2a 2b 4f,0.379062114356232,9724,12923
89,F-43m | 4a 4c 16e,0.8648674153062187,10597,14976
90,Imm2 | 2a 2a 2b 2b,0.32243830691289427,6119,8677
91,R-3m | 3a 9e,0.297907949790795,4780,6261
92,I-4m2 | 2a 2b 2c 2d,0.3329820864067439,7592,10716
93,P4mm | 1a 1a 1b 1b,0.5732572700709615,7187,9755
94,R-3m | 3a 3b 6c,0.7146654339535421,8653,12337
95,I4/mmm | 2a 8h 8i,0.16931533038594815,8369,12031
96,Cmmm | 2a 2b 4f,0.5305498981670062,6874,9171
97,P4mm | 1a 1a 1b 1b,0.6505038411653198,10023,13719
98,Pm | 1a 1a 1b 1b,0.5825681969394544,7515,10728
99,C2/m | 2a 2d 4i,0.3682758620689655,8700,11242
100,Imm2 | 2a 2a 2a,0.2149802890932983,7610,9909
101,F-43m | 4a 4b 4c 4d,0.9970926851959531,8599,11005
102,P3m1 | 1a 1b 1c,0.4325951825951826,5148,7116
103,F-43m | 4a 4b 4c 4d,0.5292058411682337,9998,14530
104,I-4m2 | 2a 2b 2c 2d,0.3645643064360159,9307,12189
105,Cm | 2a 2a 2a 2a,0.6201061236196759,6973,8601
106,Pm | 1a 1a 1b 1b,0.28760692676820365,9586,12781
107,Cmmm | 2a 2b 4f,0.5646987769892797,6623,8987
108,Imm2 | 2a 2a 2b 2b,0.3912326184303559,8486,11315
109,Cm | 2a 2a 2a 2a,0.7687134825267335,9071,10960
110,P4/mmm | 1a 1b 2h,0.4771315640880858,7084,9693
111,Pm | 1a 1a 1b 1b,0.5035033632286996,7136,9808
112,C2/m | 2a 2d 4i,0.44292382771058775,9426,11503
113,I-4m2 | 2a 2b 2c 2d,0.5061448618495599,11473,15618
114,I4/mmm | 2a 2b 4d,0.296259842519685,8128,10842
115,R-3m | 3a 3b 6c,0.8910004711795194,6367,9124
116,F-43m | 4a 4b 4c 4d,0.9594654134234102,6809,10381
117,Im-3m | 2a 8c,0.06071313845165435,9339,12002
118,Imm2 | 2a 2a 2b 2b,0.36699729486023447,8872,11987
119,R-3m | 3a 3b 6c,0.805989168525008,6278,8746
120,Fm-3m | 4a 4b 8c,0.6117523609653726,3812,13227
121,P2/m | 1a 1g 2n,0.1055473735886107,4074,6257
122,I-4m2 | 2a 2b 2c 2d,0.545065370820317,8643,12088
123,P4/mmm | 1a 1b 2h,0.3467741935483871,6076,8431
124,I-4m2 | 2a 2b 2c 2d,0.46641098602004205,8083,11476
125,I4/mmm | 2a 2b 4d,0.45553982756402006,7771,10449
126,P4/mmm | 1a 1c 2e,0.4914432017248349,7421,10193
127,C2/m | 2a 2d 4i,0.27672184753729817,9786,12194
128,F-43m | 4a 4b 4c 4d,0.9898843930635838,7612,10386
129,C2/m | 2a 2d 4i,0.2443450161570967,8046,10507
130,Pmm2 | 1a 1a 1d 1d,0.24279404927940493,8604,11687
131,C2/m | 2a 2d 4i,0.4503225806451613,6975,8719
132,F-43m | 4a 4c 16e,0.9031716865063514,12517,17946
133,I4/mmm | 2a 4e 4e 4e,0.1568537958314316,6573,8330
134,F-43m | 4a 4c 16e,0.9402926574340215,7654,10870
135,P3m1 | 1a 1b 1c,0.5909547738693467,3980,5690
136,Cm | 2a 2a 2a 2a,0.6912079102084446,7484,8927
137,Fd-3m | 16c 32e 48f,0.1785377676046856,7427,10886
138,F-43m | 4a 4b 4c 4d,0.987914364640884,5792,9007
139,I4mm | 2a 2a 2a,0.6690582959641256,6690,8611
140,P4mm | 1a 1a 1b 1b,0.3488268156424581,8950,12013
141,Immm | 2a 2c 4j,0.20615846789335335,7989,10617
142,I4mm | 2a 2a 2a,0.38396825396825396,6300,8242
143,P4/mmm | 1a 1c 2e,0.5698033881538271,8087,11401
144,P2/m | 1a 1g 2n,0.2889329743517075,7057,9940
145,F-43m | 4a 4c 16e,0.41317047265002654,1883,13826
146,Cm | 2a 2a 2a 2a,0.6764895122892807,7771,9594
147,Cmm2 | 2a 2a 2b 2b,0.31026884089907447,9076,12446
148,Pmmm | 1a 1d 1f 1g,0.32030759573132456,6372,8966
149,P2/m | 1a 1g 2n,0.2493881546744983,8172,11710
