layer,variant,n_structures,same_sg_pairs,diff_sg_pairs,mean_cos_same_sg,mean_cos_diff_sg,ratio,delta,macro_mean_cos_same_sg,null_ratio,cc_n_structures,cc_same_sg_pairs,cc_diff_sg_pairs,cc_mean_cos_same_sg,cc_mean_cos_diff_sg,cc_ratio,cc_delta,cc_null_ratio
0,raw,1633057,77959743497.0,1255477022599.0,0.9994192762576279,0.9985579675783572,1.0008625525079526,0.0008613086792707003,0.9983959573245635,1.000003900109853,1163971,3285.0,2480185.0,0.9996552126581368,0.9994466045606152,1.0002087236042123,0.00020860809752165643,0.9999993457460159
0,centered,1633057,77959743497.0,1255477022599.0,0.4567191630038631,-0.002325316328372858,-196.4116268531313,0.45904447933223597,0.74694372535527,0.9995804939964634,1163971,3285.0,2480185.0,0.5643415026195998,0.4519996255519624,1.2485441817135365,0.11234187706763743,0.9182544624709037
1,raw,1633057,77959743497.0,1255477022599.0,0.9991882272333548,0.9981130977083316,1.0010771620245158,0.0010751295250231996,0.9978814570638687,1.0000030023768118,1163971,3285.0,2480185.0,0.9994952057947408,0.9992299461674301,1.000265464048919,0.00026525962731072106,0.9999974830879
1,centered,1633057,77959743497.0,1255477022599.0,0.43589838909201906,-0.004052548209047162,-107.56155549708015,0.4399509373010662,0.7408510627245763,0.997082228114826,1163971,3285.0,2480185.0,0.5670125380752709,0.44309874816006656,1.2796527646032556,0.1239137899152043,0.9016516493673681
2,raw,1633057,77959743497.0,1255477022599.0,0.9987920295141196,0.9975922310786459,1.0012026942452994,0.0011997984354736868,0.9972432641038231,0.9999977399490073,1163971,3285.0,2480185.0,0.9993401020859686,0.9991056100792569,1.0002347019217448,0.00023449200671166182,0.9999989578928415
2,centered,1633057,77959743497.0,1255477022599.0,0.3988464235903947,-0.013761282201264146,-28.983231195836943,0.41260770579165884,0.7045849584178502,0.9965595649126952,1163971,3285.0,2480185.0,0.582025602673485,0.48055365878094547,1.2111563236246097,0.10147194389253955,0.8989081235190811
3,raw,1633057,77959743497.0,1255477022599.0,0.998244217681051,0.9969827836506542,1.0012652515681142,0.001261434030396802,0.9966819883285997,1.0000035132280598,1163971,3285.0,2480185.0,0.9991751863012909,0.9989511954661245,1.0002242260044163,0.00022399083516633223,0.9999995405170201
3,centered,1633057,77959743497.0,1255477022599.0,0.3333306616837665,-0.016152679793892476,-20.636245250760364,0.34948334147765897,0.6753614108418601,0.998668858597645,1163971,3285.0,2480185.0,0.6050442845579124,0.528029604977816,1.145852957588111,0.07701467958009633,0.9243326916255665
4,raw,1633057,77959743497.0,1255477022599.0,0.9975771158008254,0.9961110413552615,1.001471798207928,0.001466074445563903,0.9960797735094726,0.9999984543733909,1163971,3285.0,2480185.0,0.9989240913028345,0.9986521838175002,1.0002722744612593,0.00027190748533434395,0.999965649302194
4,centered,1633057,77959743497.0,1255477022599.0,0.31311250016064307,-0.011266517515582521,-27.7914182201894,0.32437901767622557,0.6600531877160833,1.0017709316176344,1163971,3285.0,2480185.0,0.6207126714702613,0.552507868494101,1.1234458491280084,0.06820480297616027,0.9298242107116471
5,raw,1633057,77959743497.0,1255477022599.0,0.9966314936531734,0.9949102272769678,1.0017300720497333,0.0017212663762056213,0.9952007649768276,0.999999993002018,1163971,3285.0,2480185.0,0.9984922908278573,0.9981697274060183,1.0003231548833655,0.0003225634218390061,0.9999640618396352
5,centered,1633057,77959743497.0,1255477022599.0,0.2840800906290564,-0.011681452450878023,-24.318901422888032,0.29576154307993446,0.6356370077157405,1.0040045634864319,1163971,3285.0,2480185.0,0.6197727990995257,0.5576165915927589,1.1114676436173208,0.06215620750676676,0.9373490451101104
6,raw,1633057,77959743497.0,1255477022599.0,0.9954181422651155,0.9932658030126224,1.0021669317980797,0.0021523392524931406,0.9941069777624701,1.0000021209474816,1163971,3285.0,2480185.0,0.9976223431093415,0.9973428123843123,1.000280275469536,0.00027953072502917564,0.9999299750987991
6,centered,1633057,77959743497.0,1255477022599.0,0.26659488892680955,-0.012555664682826775,-21.23303669390353,0.2791505536096363,0.6234302571407379,1.0104337723995884,1163971,3285.0,2480185.0,0.5798723375146443,0.5412113125086014,1.0714342514882824,0.03866102500604285,0.9359858696061218
7,raw,1633057,77959743497.0,1255477022599.0,0.9940231658742287,0.9914209886741154,1.0026246944838169,0.0026021772001132426,0.9928915026596398,1.0000008277981858,1163971,3285.0,2480185.0,0.9968355699054943,0.9965691563607236,1.0002673307146526,0.0002664135447706384,0.9998935045107938
7,centered,1633057,77959743497.0,1255477022599.0,0.25086394682504887,-0.012819379428260676,-19.56911785230511,0.26368332625330954,0.6144199786757848,1.002250869686223,1163971,3285.0,2480185.0,0.5760391455732007,0.5481789367948706,1.0508232018932084,0.027860208778330064,0.9333451925509404
