cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
52,R-3m | 3a 3b 6c,0.8069537387256328,6874,9685
53,P2/m | 1a 1g 2n,0.30075642965204236,6610,9104
54,Cmmm | 2a 2b 4f,0.6771226415094339,8480,11590
55,I4mm | 2a 2a 2a,0.19201905896366886,8395,11243
56,I4mm | 2a 2a 2a,0.2858003857280617,8296,10957
57,F-43m | 4a 4b 4c 4d,0.501338432122371,2615,13662
58,P4/mmm | 1a 1c 2e,0.5422410745846589,5658,7884
59,Immm | 2a 2c 4j,0.29434619506966775,7464,10218
60,Cmmm | 2a 2b 4f,0.35029282576866766,8196,10741
61,F-43m | 4a 4c 16e,0.9571671709531013,10576,14872
62,C2/m | 2a 2d 4i,0.16755521706016754,6565,8315
63,Pm-3m | 1a 1b 3d,0.17593960282291154,6093,9571
64,P4/mmm | 1a 1b 2h,0.37871510057039925,6662,9004
65,Cmmm | 2a 2b 4f,0.6642190607312223,6537,8719
66,Pmmm | 1a 1c 2t,0.20192906036092098,9642,13646
67,F-43m | 4a 4b 4c 4d,0.9659943714821764,4264,6484
68,I4/mmm | 2a 2b 4d,0.46471935853379154,8730,12030
69,P2/m | 1a 1g 2n,0.40965324969506883,5739,7947
70,Cm | 2a 2a 2a 2a,0.9082508968366126,9199,10945
71,Cmmm | 2a 2b 4f,0.2939670932358318,8205,10908
72,Cmmm | 2a 2b 4f,0.33644743398106625,8028,10775
73,P4mm | 1a 1a 1b 1b,0.4645288820557874,9106,12607
74,P2/m | 1a 1g 2n,0.3742065781881131,6932,9665
75,Immm | 2a 2c 4j,0.30522875816993467,7650,9992
76,F-43m | 4a 4b 4c 4d,0.9977365323675872,11045,16000
77,Pmmm | 1a 1d 1f 1g,0.4382996872334376,7034,9781
78,Pm | 1a 1a 1b 1b,0.39237093947971424,7419,10443
79,Pm | 1a 1a 1b 1b,0.35605983514806144,9827,13262
80,Cm | 2a 2a 2a 2a 2a 2a,0.13061609882760247,12709,17388
81,Fm-3m | 4a 4b 8c,0.5695095948827292,4690,10073
82,I-4m2 | 2a 2b 2c 2d,0.5316937641490018,9718,13175
83,R-3m | 3a 3b 6c,0.9025512887953708,7604,10915
84,C2/m | 2a 2d 4i,0.431282722513089,7640,9222
85,I4/mmm | 2a 8h 8i,0.08893190617171487,8782,11411
86,P4/mmm | 1a 1c 2e,0.7832089026623468,7099,9683
87,P4/mmm | 1a 1c 2e,0.680999180999181,7326,10123
88,P4mm | 1a 1a 1b 1b,0.5087823403750297,8426,11554
89,I4/mmm | 4c 4d 4e 4e,0.08124437588378969,7779,10019
90,C2/m | 2a 2d 4i,0.24449556358856392,9129,11910
