cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,Imm2 | 2a 2a 2b 2b,0.3493682993902196,25091,33820
1,F-43m | 4a 4c 16e,0.5982246709519436,16335,35208
2,P4mm | 1a 1a 1b 1b,0.42765158290109107,22364,31471
3,Pmm2 | 1a 1a 1d 1d,0.2377513093427944,23676,32853
4,F-43m | 4a 4b 4c 4d,0.9588474665266474,30472,42095
5,Pnnm | 2a 4g,0.06369516310461193,21336,27191
6,I4/mmm | 2a 2b 4d,0.5070549242424243,21120,29064
7,Cm | 2a 2a 2a 2a,0.890343616754452,19935,23963
8,R-3m | 3a 3b 6c,0.7742449779073475,21953,29978
9,P4mm | 1a 1a 1b 1b,0.3598739858449853,23172,31805
10,P2/m | 1a 1g 2n,0.23170772808466178,29671,41211
11,C2/m | 2a 2d 4i,0.4732066609735269,18736,23894
12,I4/mmm | 2a 2b 4d,0.4244162841748154,20044,26770
13,F-43m | 4a 4c 16e,0.634350594360631,31883,46180
14,F-43m | 4a 4b 4c 4d,0.9842137812062625,30723,44225
15,P4/mmm | 1a 2e,0.09511462077906771,16969,23728
16,R3m | 3a 3a 3a 3a,0.26129242288597704,24574,33539
17,Cm | 2a 2a 2a 2a 2a 2a,0.13382218148487626,17456,23868
18,Cm | 2a 2a 2a 2a,0.71855154140556,23777,28008
19,I4/mmm | 2a 2b 4d,0.43293190278081894,22835,31044
20,P4/mmm | 1a 1c 2e,0.5259355874385472,19934,27373
21,Immm | 2a 2c 4j,0.24651543165979234,28124,38619
22,P4/mmm | 1a 1c 2e,0.5673082225776209,18133,25215
23,F-43m | 4a 4b 4c 4d,0.9696487697201844,30806,42550
24,I-4m2 | 2a 2b 2c 2d,0.5176809354918004,28477,38150
25,P4/mmm | 1a 1c 2e,0.5341420825291793,21762,29649
26,Pm | 1a 1a 1b 1b,0.3509878334635562,17918,24950
27,F-43m | 4a 4c 16e,0.5635861863205788,13407,42970
28,Imm2 | 2a 2a 2b 2b,0.3219130762467027,31844,44182
29,Pm | 1a 1a 1b 1b,0.9442964248094677,16139,23096
30,P6_3/mmc | 2a 2c 2d,0.031214505069201967,23771,32541
31,C2/m | 2a 2d 4i,0.3743717697380146,28055,36036
32,R-3m | 3a 3b 6c,0.16296792132228,19421,25392
33,Im-3m | 2a 8c,0.08100896183667304,19862,27948
34,P2/m | 1a 1g 2n,0.28505459410469985,23171,32938
35,I-4m2 | 2a 2b 2c 2d,0.5241485387826851,22755,29919
36,Pm | 1a 1a 1b 1b,0.6698141811409019,23087,31431
37,Imm2 | 2a 2a 2b 2b,0.3170938446014127,24775,33486
38,Cm | 2a 2a 2a 2a,0.9137039579043698,21855,25820
39,C2/m | 2a 2d 4i,0.2617420450093588,22973,30152
40,F-43m | 4a 4c 16e,0.7369485431802861,26702,39043
41,P4mm | 1a 1a 1b 1b,0.6149888765294772,21576,29664
42,Immm | 2a 2c 4j,0.3500878853434289,29584,40496
43,P3m1 | 1a 1b 1c,0.39039778066132713,22349,30904
44,P4mm | 1a 1a 1b 1b,0.7045246610662896,24046,32702
45,I-43m | 2a 8c 24g 24g,0.0484790197335613,28074,36742
46,R-3m | 3a 3b 6c,0.8462573440373145,22297,31448
47,Cmmm | 2a 2b 4f,0.23410393795196524,26689,35211
48,F-43m | 4a 4b 4c 4d,0.9967151266790256,30747,45626
49,R-3m | 3a 3b 6c,0.7866920496781796,22062,29521
