cluster_id,dominant_space_group_symbol,fraction,n_labeled,cluster_size
0,Imm2,0.4211024367163473,33816,33820
1,Fm-3m,0.5293883696485895,35201,35208
2,P4mm,0.42816740284089105,31469,31471
3,Pmm2,0.2862492008889159,32849,32853
4,F-43m,0.9963411736754574,42090,42095
5,C2/m,0.16187076832499264,27176,27191
6,I4/mmm,0.5577009120633282,29055,29064
7,Cm,0.9471113708465521,23956,23963
8,R-3m,0.7829090059728386,29969,29978
9,P4mm,0.3653628474405735,31804,31805
10,P2/m,0.4104312792757809,41203,41211
11,C2/m,0.6880572648499309,23889,23894
12,I4/mmm,0.46512496731049424,26767,26770
13,F-43m,0.781354243382576,46166,46180
14,F-43m,0.9959971052512552,44218,44225
15,P4/mmm,0.23955302551127977,23715,23728
16,R3m,0.2626069841648525,33533,33539
17,Cm,0.14804149904721575,23615,23868
18,Cm,0.7571862167470095,28005,28008
19,I4/mmm,0.46898862647807454,31037,31044
20,P4/mmm,0.8691998538545853,27370,27373
21,Cmmm,0.2569016418915419,38614,38619
22,P4/mmm,0.7763585878619595,25210,25215
23,F-43m,0.9919364318123046,42537,42550
24,I-4m2,0.5248918600078647,38145,38150
25,P4/mmm,0.8685222672064777,29640,29649
26,Pm,0.3479114888158422,24946,24950
27,Fm-3m,0.726826316646885,42969,42970
28,Imm2,0.38998551249547264,44176,44182
29,Pm,0.9483004979432778,23095,23096
30,P6_3/mmc,0.15735759736866373,32531,32541
31,C2/m,0.5569497265635843,36023,36036
32,I4/mmm,0.31925622439331863,25384,25392
33,Fm-3m,0.1968487018800358,27925,27948
34,P2/m,0.478168458128378,32934,32938
35,I-4m2,0.5361034966905128,29914,29919
36,Pm,0.6760540970564837,31425,31431
37,Imm2,0.37304740001792064,33481,33486
38,Cm,0.9206324600837079,25804,25820
39,C2/m,0.3990115102663615,30147,30152
40,F-43m,0.7965467773337432,39036,39043
41,P4mm,0.6064866322780755,29661,29664
42,Immm,0.34673515756198753,40492,40496
43,P3m1,0.3945886465143375,30898,30904
44,P4mm,0.7009603033824698,32698,32702
45,P6_3/mmc,0.15117990081203336,36698,36742
46,R-3m,0.8750278245937609,31447,31448
47,Cmmm,0.3998408593594589,35189,35211
48,F-43m,0.9996054362121877,45620,45626
49,R-3m,0.8223276300186346,29515,29521
