cluster_i,cluster_k,epsilon
0,1,9.268837273950772e-30
0,2,3.347070488373164e-30
0,3,3.1166002983518412e-30
0,4,8.397579768284686e-30
0,5,3.1082283990385987e-30
0,6,1.0972716207700498e-29
0,7,3.249253088647384e-30
0,8,9.26934256042523e-30
0,9,6.388442812775188e-30
0,10,3.597381124760505e-30
0,11,7.056210306338033e-16
0,12,5.129980100408176e-30
0,13,6.996872485642329e-30
0,14,1.1461114963332857e-29
0,15,8.244632544296912e-22
0,16,1.1985633712006963e-15
0,17,1.9398292527156187e-29
0,18,3.882168458503481e-30
0,19,7.144112767340467e-16
0,20,6.123057174427876e-30
0,21,3.2398166979720613e-16
0,22,6.2892858929367016e-30
0,23,1.2605733215696031e-29
0,24,3.994553230244506e-30
0,25,4.8356126476033485e-30
0,26,3.92990310180164e-30
0,27,5.807331625601101e-16
0,28,2.2670690024563093e-30
0,29,2.8164146986193107e-30
0,30,3.37717574916137e-30
0,31,9.984358894128621e-30
0,32,3.5515235388362274e-30
0,33,5.502875362648475e-16
0,34,2.5872864906511123e-30
0,35,4.5366930321476244e-30
0,36,2.264392180015486e-30
0,37,4.115062458338237e-16
0,38,1.1909201840520875e-29
0,39,4.3108296882986476e-30
0,40,5.93096979670218e-30
0,41,3.772051845105624e-30
0,42,2.5854255193426854e-16
0,43,9.850949559915052e-16
0,44,3.0304558538439008e-30
0,45,2.8096112997396157e-30
0,46,7.917541679820549e-30
0,47,4.0969235426117195e-30
0,48,6.630800463662414e-17
0,49,2.198722814937266e-15
1,2,6.799148909758703e-30
1,3,6.95086057085204e-30
1,4,2.0875253584246425e-16
1,5,5.539692142263736e-16
1,6,1.3669194992065136e-15
1,7,6.579587060649512e-30
1,8,5.643193882249819e-16
1,9,2.38921903223225e-16
1,10,6.42277359800634e-30
1,11,1.1155985447710602e-15
1,12,6.494657357746689e-16
1,13,2.4633684169423065e-16
1,14,1.9259859229629586e-29
1,15,8.881060630972456e-16
1,16,2.5408890975212976e-15
1,17,7.422869642276219e-16
1,18,8.722945744042037e-30
1,19,1.650180168564096e-15
1,20,1.1353740941903396e-29
1,21,1.009315801502851e-15
1,22,5.728781592848882e-16
1,23,5.857650153106239e-16
1,24,9.631585282551432e-30
1,25,4.401041748474079e-22
1,26,7.135310378186329e-30
1,27,1.876660445146332e-15
1,28,5.419442806183906e-30
1,29,6.1317143526755885e-30
1,30,6.625535699199125e-30
1,31,5.372451838161731e-16
1,32,1.2363160173420319e-25
1,33,9.691906767266867e-16
1,34,6.468566644421337e-30
1,35,5.594543010746437e-16
1,36,5.269659333205584e-30
1,37,1.9728094586095623e-15
1,38,1.1676129427030166e-15
1,39,6.762075192076491e-30
1,40,3.7683049533198103e-16
1,41,7.478660625506548e-30
1,42,5.961419564613719e-16
1,43,1.6466000245810776e-15
1,44,6.76657285490391e-30
1,45,5.99409462774954e-30
1,46,2.290886094605138e-16
1,47,8.851190377080146e-30
1,48,1.1521397685551248e-15
1,49,3.8387513082905984e-15
2,3,4.991402266149093e-30
2,4,3.186933898139501e-30
2,5,7.152448122690813e-18
2,6,5.966773332828445e-30
2,7,6.5631605114351e-30
2,8,4.653469954853906e-30
2,9,2.833787395098545e-30
2,10,2.6268001669674993e-30
2,11,4.597639051281116e-16
2,12,3.0217848934028422e-30
2,13,6.2201281737706485e-30
2,14,3.748242760935333e-30
2,15,5.575126879323979e-30
2,16,2.630032951763291e-15
2,17,3.562423582422256e-30
2,18,7.630673476025252e-30
2,19,9.943113557150495e-16
2,20,4.7113601745319906e-30
2,21,3.908646123082801e-16
2,22,1.3456193880587944e-29
2,23,2.3431770761809031e-29
2,24,7.063244576898167e-30
2,25,9.331007731224843e-30
2,26,6.090894612082805e-30
2,27,5.543611214444439e-16
2,28,3.387028776741377e-30
2,29,5.3339928219430206e-30
2,30,4.123048027746412e-30
2,31,6.013333716884807e-30
2,32,3.507871002226841e-30
2,33,9.20301459541454e-16
2,34,5.513583033755515e-30
2,35,3.633986982359123e-30
2,36,4.136316845813642e-30
2,37,3.1186449331649755e-16
2,38,3.6409362188352463e-16
2,39,3.405931349053552e-30
2,40,2.930994161465776e-30
2,41,3.009710012672191e-30
2,42,5.87689904915333e-16
2,43,7.774948612615198e-16
2,44,4.931779305999799e-30
2,45,2.7535020530253767e-30
2,46,2.7959804452020018e-30
2,47,5.02248645118788e-30
2,48,2.1364626783792152e-16
2,49,6.41961246217657e-16
3,4,5.8051004928650086e-30
3,5,6.360098504878563e-16
3,6,6.237410486963118e-16
3,7,4.732431579770718e-30
3,8,5.998111079360534e-30
3,9,4.1992021449530386e-30
3,10,2.6562661557020722e-30
3,11,5.711219748935282e-16
3,12,3.324228845651625e-30
3,13,6.646046759779096e-30
3,14,7.81618311201416e-30
3,15,2.592951041724919e-16
3,16,1.9329465540284797e-15
3,17,2.8155757066050757e-30
3,18,5.7056223443721165e-30
3,19,9.379192802278763e-16
3,20,3.5154298283820616e-30
3,21,4.883916704818278e-16
3,22,2.5464934687006624e-16
3,23,1.7542221453987217e-29
3,24,5.3552030914443114e-30
3,25,6.457810251159796e-30
3,26,5.302968664021055e-30
3,27,1.287593829963973e-15
3,28,2.410083498696437e-30
3,29,3.8451021413001824e-30
3,30,3.1095886006082357e-30
3,31,1.329338498245057e-29
3,32,3.433462447873791e-30
3,33,7.804559283514473e-16
3,34,4.1446172510570825e-30
3,35,3.7454171208031645e-30
3,36,3.752484190088348e-30
3,37,1.0261311679618575e-15
3,38,4.911565680755926e-16
3,39,3.85176647275577e-30
3,40,4.508642097332999e-30
3,41,2.4079573782701158e-30
3,42,4.723676639368886e-16
3,43,1.3853442049831138e-15
3,44,3.376064493284346e-30
3,45,2.907439429233218e-30
3,46,5.5273969792418915e-30
3,47,3.206798311087159e-30
3,48,3.7498927993286896e-16
3,49,1.4936626414899078e-15
4,5,5.805728517139232e-16
4,6,5.732998317929935e-16
4,7,3.772215313851333e-30
4,8,1.5761654560286717e-29
4,9,1.0594139250726023e-21
4,10,5.744045250575115e-30
4,11,7.869424679088714e-16
4,12,2.185104670639728e-21
4,13,1.2352342707952658e-29
4,14,1.9615645691591262e-29
4,15,7.041273365370985e-16
4,16,1.10889713455665e-15
4,17,3.655732394271306e-30
4,18,3.632710379302534e-30
4,19,1.221064202611548e-15
4,20,9.947368765101187e-30
4,21,6.30800026001634e-16
4,22,4.176507341181029e-16
4,23,3.720776582107616e-21
4,24,3.808817299028008e-30
4,25,5.179782682784583e-30
4,26,7.399675735616817e-30
4,27,7.740490140603587e-16
4,28,3.0334985260267912e-30
4,29,3.810118967184004e-30
4,30,5.640743892776169e-30
4,31,1.1090100389104482e-29
4,32,6.328808669165428e-30
4,33,4.563135305783057e-16
4,34,3.1154728165093657e-30
4,35,2.4480592444390798e-21
4,36,2.5602364186705557e-30
4,37,6.859308360986366e-16
4,38,3.9869698507353214e-16
4,39,7.509481557966843e-30
4,40,1.025443784427521e-29
4,41,6.276490450797273e-30
4,42,1.0978552179829536e-15
4,43,1.5836150171219804e-15
4,44,4.2797949490853655e-30
4,45,5.262746699785074e-30
4,46,1.3559196045869134e-29
4,47,6.03295743034861e-30
4,48,6.987046109236382e-16
4,49,3.8214638587062386e-15
5,6,9.126019017948316e-16
5,7,2.59126405966315e-16
5,8,1.0580864928413553e-15
5,9,1.5762137000600539e-16
5,10,2.464971929290335e-30
5,11,7.726503774538404e-16
5,12,5.1494582203159445e-27
5,13,5.368688911583918e-16
5,14,3.181740132413021e-16
5,15,1.686266205910922e-15
5,16,9.77200794867339e-16
5,17,5.801061591301637e-16
5,18,6.017765977761163e-16
5,19,8.47704119558107e-16
5,20,1.1107734595914181e-16
5,21,1.3939914188425779e-15
5,22,9.553907932902375e-16
5,23,6.877489812775086e-16
5,24,3.1537659221649533e-30
5,25,3.5551676981669116e-16
5,26,1.1949462321924174e-16
5,27,7.38469102133204e-16
5,28,1.4275603347516204e-30
5,29,2.0143782560668536e-30
5,30,3.0245937307587975e-16
5,31,7.1524694879682865e-16
5,32,7.888254475747366e-16
5,33,6.991522531287035e-16
5,34,3.251855440033976e-16
5,35,6.667250989871198e-16
5,36,2.193914945133205e-30
5,37,8.048676906080728e-16
5,38,7.521532992061023e-16
5,39,5.064115111315768e-16
5,40,5.097608240601155e-16
5,41,2.3454960312529263e-30
5,42,5.371511899028105e-16
5,43,1.0616807185136922e-15
5,44,2.0029473149277396e-30
5,45,2.8813255626816396e-16
5,46,4.865922541549997e-16
5,47,5.332405655014212e-16
5,48,6.996310822337111e-16
5,49,1.3748993108920215e-15
6,7,1.3673538967014597e-16
6,8,8.729146467616008e-16
6,9,2.258490235637162e-16
6,10,7.955526764291672e-30
6,11,1.1047643327814453e-15
6,12,3.63527456033941e-21
6,13,8.523614764699587e-16
6,14,2.914051468931462e-16
6,15,1.117888956466224e-15
6,16,2.25756865843282e-15
6,17,5.682913160822135e-16
6,18,3.4992028701705454e-16
6,19,9.868975868857495e-16
6,20,1.1108433035018653e-16
6,21,1.9149016351899353e-15
6,22,5.537919324581964e-16
6,23,2.7717795003715227e-15
6,24,5.6107786497531126e-30
6,25,2.7577435961207587e-16
6,26,1.1211029123037706e-29
6,27,9.957157202048917e-16
6,28,3.7981804076656654e-30
6,29,5.4833832043935864e-30
6,30,1.3869111478233741e-16
6,31,3.901144152953928e-15
6,32,1.383000488616664e-16
6,33,1.3619221966244688e-15
6,34,1.8385001094718402e-16
6,35,4.0953643092646876e-16
6,36,4.823318684196246e-30
6,37,1.1791833770110515e-15
6,38,1.4439083526251342e-15
6,39,2.8025632386979347e-16
6,40,5.236305432796031e-16
6,41,7.537026387713937e-30
6,42,1.0544393666376612e-15
6,43,2.0850250871111002e-15
6,44,4.614287611106287e-30
6,45,2.638491082055144e-16
6,46,9.82430903582572e-16
