layer,variant,label_col,n_structures,same_sg_pairs,diff_sg_pairs,mean_cos_same_sg,mean_cos_diff_sg,ratio,delta,macro_mean_cos_same_sg,null_ratio,cc_n_structures,cc_same_sg_pairs,cc_diff_sg_pairs,cc_mean_cos_same_sg,cc_mean_cos_diff_sg,cc_ratio,cc_delta,cc_null_ratio
0,raw,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.9994224044816663,0.9990763627419574,1.0003463616522357,0.00034604173970886887,0.9984127272222039,0.9999935401788442,1163971,3285.0,2480185.0,0.9999699370715033,0.9998497842232082,1.0001201708998602,0.00012015284829502981,1.0000176464154613
0,centered,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.31518421961136184,0.0981546737320536,3.211097420299759,0.21702954587930823,0.5379349349732726,0.9996177853905462,1163971,3285.0,2480185.0,0.9470896709512129,0.6316770835433232,1.4993256770351988,0.3154125874078897,0.991683433089925
1,raw,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.9991797382370169,0.9987456722828686,1.0004346110988958,0.0004340659541482994,0.9978135559633705,0.999999863019043,1163971,3285.0,2480185.0,0.9999446743618305,0.9998205007835327,1.0001241958713594,0.00012417357829785924,1.0000150995471109
1,centered,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.2764463295493274,0.056308790406499276,4.9094702186573596,0.22013753914282813,0.5886809207412108,1.000907669476227,1163971,3285.0,2480185.0,0.9307885761041829,0.6747398068669895,1.379477787780302,0.25604876923719333,0.9773629559932008
2,raw,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.9987886609382435,0.9982232076434729,1.0005664597761712,0.0005654532947705349,0.9971128860223893,1.0000009021503813,1163971,3285.0,2480185.0,0.9997980481404394,0.9996884591983045,1.0001096230942015,0.00010958894213486392,1.0000129670586468
2,centered,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.25060268164262445,0.017604150213312693,14.235431907023408,0.23299853142931176,0.5862797115995676,1.0012751031672384,1163971,3285.0,2480185.0,0.8115795266962239,0.669820270789844,1.2116377513317402,0.14175925590637994,0.9820538954772374
3,raw,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.9982717040962575,0.9975644687713004,1.0007089620241068,0.0007072353249570895,0.9965630679344958,0.9999950539366428,1163971,3285.0,2480185.0,0.9996643545099009,0.9995414229149229,1.000122987994454,0.0001229315949780041,1.0000099436152525
3,centered,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.23403397415253846,0.008103402162276844,28.880952649989304,0.22593057199026162,0.5835689994190185,1.0033394316713393,1163971,3285.0,2480185.0,0.803974189948614,0.6718935680001259,1.1965796790429513,0.13208062194848813,0.9571300022606273
4,raw,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.9976099013565908,0.9967352909137679,1.000877475143898,0.0008746104428228874,0.9958700037663644,0.9999925839140932,1163971,3285.0,2480185.0,0.9995001497886516,0.9993731969102658,1.0001270325027511,0.00012695287838582203,0.9999961682245114
4,centered,space_group_symbol,1633057,77959743497.0,1255477022599.0,0.2281996063562016,0.0012222607213402139,186.70288783065843,0.22697734563486138,0.5832239686429298,0.9996035012683371,1163971,3285.0,2480185.0,0.778832167679494,0.6915667909086313,1.126185030741871,0.08726537677086277,0.9624116362513523
