cluster_id,dominant_spacegroup_symbol,fraction
0,Cm,0.4289972322759208
1,Pm,0.4196877243359655
2,Cm,0.18442622950819673
3,Fm-3m,0.8529776270302003
4,P-6m2,0.42485608552631576
5,I4mm,0.5306243637597556
6,Cm,0.818910634284367
7,F-43m,0.996953125
8,R-3m,0.8695062614660605
9,Fmm2,0.16334525634474537
10,P3m1,0.6809744779582366
11,R-3m,0.35177539223782
12,I4mm,0.3757141561621475
13,F-43m,0.9954147276211334
14,Pm,0.7910784867306606
15,P4/mmm,0.5903322565759114
16,F-43m,0.8411912051210687
17,Cm,0.4098618851465956
18,P1,0.3091610174762112
19,Fd-3m,0.3721565059144677
20,P4mm,0.31079426172148356
21,C2/m,0.12979972895648245
22,Cmmm,0.5580467190984857
23,P4mm,0.3331212892281595
24,Imm2,0.24632670700086431
25,F-43m,0.9390139028235631
26,P4/mmm,0.6597692001591723
27,I4/mmm,0.49176701892356844
28,Pmmm,0.6160081997763698
29,I4/mmm,0.1746031746031746
30,Pm,0.6427477994642173
31,Fm-3m,0.5909364347302988
32,R-3m,0.7696663296258848
33,F-43m,0.9950102529049898
34,I4/mmm,0.38955453149001534
35,Pm,0.4082727587400485
36,Pm-3m,0.322568625015526
37,R-3m,0.8518642929123278
38,P4mm,0.3191203303562854
39,P4/mmm,0.6171292151596538
40,Fm-3m,0.20934127279493858
41,R-3m,0.5873760623229461
42,I-43m,0.1623342175066313
43,I-4m2,0.5843008581524483
44,Immm,0.34413965087281795
45,P6_3/mmc,0.19308411214953272
46,Cmm2,0.3748457678703628
47,P4/mmm,0.26795580110497236
48,Imm2,0.4527854925665741
49,F-43m,0.5223367697594502
50,F-43m,0.9972857696781698
51,P4mm,0.442505453412278
52,Cm,0.808427288362316
53,Pmmm,0.461648204095334
54,Imm2,0.35938584316446914
55,C2/m,0.5869215291750502
56,F-43m,0.7665327657533425
57,Pmm2,0.36591606960081885
58,P4mm,0.3284146252816748
59,Cmmm,0.6068564554931837
60,C2/m,0.20175016056518946
61,F-43m,0.99616
62,I-4m2,0.4343129622421176
63,P4/mmm,0.39197890000775737
64,I4/mmm,0.30870330125219914
65,Cmmm,0.5172595798585453
66,I4mm,0.4467322270026634
67,P4mm,0.23169941697257612
68,Cm,0.7885927408350769
69,P4mm,0.26863821498140605
70,Imm2,0.3016717843739338
71,F-43m,0.9440878509009357
72,Cmmm,0.17447053738654372
73,Cmmm,0.6082609408293722
74,R-3m,0.6781553398058252
75,P6_3/mmc,0.12001700861060913
76,I4/mmm,0.3585584145756752
77,Imm2,0.2611078814051989
78,Pm,0.2959231126957061
79,Fm-3m,0.8966499941840177
80,I-4m2,0.719720624486442
81,P6_3/mmc,0.13025327024770386
82,Cmmm,0.21228257011004614
83,I4/mmm,0.43639015184009605
84,P2/m,0.4182988999195063
85,P2/m,0.5351149782473587
86,P4/mmm,0.8115942028985508
87,Pmm2,0.2264313800709696
88,I-4m2,0.6066360900100329
89,Cm,0.3944645628556648
90,C2/m,0.4715377350390659
91,Cmmm,0.27912145378480846
92,P3m1,0.44862051015096305
93,F-43m,0.9968509157205602
94,I-4m2,0.4731409628569276
95,I-4m2,0.4121302049522396
96,R-3m,0.8644798170785332
97,F-43m,0.8287491568612756
98,F-43m,0.9958728549706756
99,F-43m,0.9968583526840595
100,Cm,0.7624636979670861
101,Cm,0.1321168798595435
102,P4/mmm,0.26836917562724016
103,P-6m2,0.32448123857649713
104,Cmmm,0.5827059091946155
105,I4/mmm,0.5432701332832739
106,F-43m,0.49975278121137207
107,C2/m,0.753936213161082
108,R-3m,0.658321060382916
109,R-3m,0.5178626266762207
110,Cm,0.8292619878505881
111,Immm,0.1623097582811101
112,P4/mmm,0.5876096286620638
113,R-3m,0.842694616142614
114,Imm2,0.33884670325539434
115,Pmmm,0.628704133766837
116,Pmmm,0.29626957955482275
117,Cm,0.25396138193783013
118,Imm2,0.33789219629927597
119,P4mm,0.45534924845269675
120,F-43m,0.997123473541384
121,Cmm2,0.22880371660859466
122,Pm-3m,0.24707384549904235
123,P6_3/mmc,0.15754504504504505
124,Pm,0.28641829292331955
125,P6_3/mcm,0.17529528645545867
126,Imm2,0.3857789855072464
127,F-43m,0.8521185267238992
128,P4mm,0.46971640302123413
129,P4mm,0.373163336702169
130,R-3m,0.7894969596462134
131,F-43m,0.843561334837126
132,P2/m,0.4818218954248366
133,Cmmm,0.26316288777155866
134,P2_1/c,0.15876938283807995
135,Fm-3m,0.5204533833304926
136,C2/m,0.22028581387242943
137,I4/mmm,0.33481781376518216
138,P-6m2,0.27035725780495656
139,C2/m,0.1904001596647041
140,F-43m,0.9975124378109452
141,Cm,0.841903667528488
142,Cm,0.875919224932882
143,R-3m,0.7811107095530659
144,P4mm,0.5372513327265636
145,Pmmm,0.23435468895078923
146,C2/m,0.4505909589374924
147,Cmmm,0.25569767441860464
148,I4/mmm,0.6430433365917236
149,F-43m,0.9362239215977429
