cluster_id,dominant_point_group,fraction
0,m,0.2325388791754854
1,-42m,0.4564825930372149
2,4mm,0.5312110320545734
3,-43m,0.9992874673422532
4,m-3m,0.9123279816513762
5,-3m,0.49575711861210636
6,mmm,0.7042475608554253
7,m,0.8687984702007862
8,2/m,0.7413703382480485
9,4mm,0.45986426398315
10,m,0.5493887266039165
11,-43m,0.8708464586932222
12,mmm,0.3223425969539959
13,4/mmm,0.44477566307421845
14,mm2,0.32021989348909125
15,2/m,0.4098419219433777
16,3m,0.42814493146967025
17,6/mmm,0.2227380482022916
18,m,0.8138412698412698
19,-43m,0.9486269539501478
20,2/m,0.5675277588941763
21,-3m,0.8181818181818182
22,m,0.8509322963406122
23,4mm,0.4335181762168823
24,4mm,0.5060539752005835
25,m,0.7433592969842221
26,mm2,0.7627309598918431
27,4/mmm,0.6698487611283922
28,-6m2,0.33322314049586776
29,m,0.9179036100421477
30,-43m,0.8894645941278065
31,-43m,0.99945085118067
32,m-3m,0.43154376886589046
33,-43m,0.9959829274416269
34,4/mmm,0.6881684860513838
35,-43m,0.963439404197698
36,2/m,0.5288722117990411
37,mmm,0.3631850117096019
38,mm2,0.7193524044727996
39,mm2,0.821338044396651
40,mm2,0.3849109325881942
41,-3m,0.8178550029958058
42,mmm,0.4631776872453776
43,2/m,0.63208086973107
44,mmm,0.3083122819680019
45,4/mmm,0.4580514208389716
46,4mm,0.5860375747224594
47,m,0.7754152121019782
48,mmm,0.6379310344827587
49,4/mmm,0.3415226257525733
50,-43m,0.9093563370935633
51,-43m,0.9965648854961832
52,-3m,0.6449197860962567
53,4mm,0.35150702225027614
54,2/m,0.30318135170796073
55,-6m2,0.28097045269720794
56,4mm,0.3504699788989066
57,mmm,0.6529012023000522
58,2/m,0.5033527045149754
59,-43m,0.9596136154553818
60,m,0.7860122968818621
61,4/mmm,0.6801176112744601
62,4/mmm,0.36696005416384564
63,-3m,0.8252761731022601
64,6/mmm,0.22053498423081416
65,mmm,0.4381950774840474
66,-43m,0.7343417825020442
67,4/mmm,0.4577924514144219
68,-42m,0.7328458067527618
69,-43m,0.5435652173913044
70,mm2,0.5127768313458262
71,m-3m,0.877853967297114
72,mmm,0.35924628349588106
73,4/mmm,0.532375478927203
74,m-3m,0.615837827042141
75,mm2,0.381432707574484
76,-43m,0.9985705687631659
77,-42m,0.44570748793866893
78,-3m,0.8099882293593409
79,-3m,0.7941273235729561
80,mm2,0.7379744266287802
81,2/m,0.2647269258287622
82,-43m,0.9718223314606742
83,m-3m,0.5190625700829783
84,mmm,0.5356831485863744
85,3m,0.607725321888412
86,6/mmm,0.2543771382571946
87,4mm,0.44996451383960256
88,4/mmm,0.5319460250365794
89,4/mmm,0.7808695652173913
90,4mm,0.5872832369942197
91,2/m,0.3878000440431623
92,mmm,0.5744303324617108
93,mmm,0.30310770540655596
94,mm2,0.25259100642398286
95,mmm,0.4266777901371895
96,mmm,0.31793433426827256
97,m,0.34240945286411506
98,-3m,0.7616394371517613
99,2/m,0.6643018018018018
100,m,0.79452933005663
101,m,0.3681686229963398
102,-43m,0.9973810563072893
103,-43m,0.9991814632917768
104,m,0.8522097947659898
105,4/mmm,0.3113162653469116
106,mmm,0.3088717612331912
107,mm2,0.41821487864653334
108,4mm,0.38409579367516117
109,-6m2,0.45630853994490356
110,-43m,0.9973669623059866
111,mm2,0.5654079031230083
112,-42m,0.7148166101147196
113,m-3m,0.7333178510605357
114,mm2,0.6880408716505056
115,-3m,0.8399775931285595
116,4/mmm,0.6751447114541309
117,-43m,0.7489310280721324
118,-43m,0.8883087215468711
119,m-3m,0.3938701694269941
120,-43m,0.999194847020934
121,4mm,0.29538756262894195
122,4mm,0.27058121697630816
123,-3m,0.7788397606382979
124,m-3m,0.9026366474065218
125,-42m,0.41735890070646686
126,4mm,0.500588389121339
127,4/mmm,0.44746348358724675
128,mmm,0.6259626903987677
129,6/mmm,0.3534305477659376
130,mmm,0.27505037552665323
131,-43m,0.949364555188632
132,-43m,0.9995747093847462
133,mmm,0.5187651331719129
134,mmm,0.6520528036817246
135,-43m,0.9990657843518879
136,mm2,0.3569995988768552
137,mm2,0.8093082899600211
138,m,0.7120647428388883
139,m,0.8559345926134762
140,4/mmm,0.36309945665012994
141,-42m,0.43543669034684496
142,m,0.8118978805394991
143,-3m,0.3759665944942778
144,mm2,0.7210862097169966
145,mmm,0.6873697373905794
146,mmm,0.2685609532538955
147,2/m,0.5853391684901532
148,mm2,0.7176955521472392
149,m,0.6739334270979841
