cluster_id,dominant_point_group,fraction,n_labeled,cluster_size
0,4/mmm,0.5061337554412346,30324,30330
1,m-3m,0.4947962821754632,48523,48524
2,2/m,0.38362250564939293,26109,26113
3,-3m,0.8809962721723813,24411,24416
4,4mm,0.46091260634184067,32325,32328
5,4/mmm,0.6508446347846776,25218,25222
6,m-3m,0.2313828888212825,29583,29593
7,2/m,0.24634312280303888,35276,35524
8,-43m,0.9982539001001861,34935,34940
9,mm2,0.48942789826617533,33106,33109
10,mmm,0.203766350924673,26604,26609
11,4mm,0.2548780924420894,27931,27933
12,m,0.41075285018331575,39822,39830
13,-43m,0.9972473333541869,31969,31971
14,-42m,0.34596047156726767,34608,34615
15,mmm,0.38281400666721765,36297,36307
16,-43m,0.9995064165844028,34442,34452
17,mm2,0.6023620762780986,30651,30653
18,mmm,0.5242036804375139,27062,27067
19,-3m,0.7974056260020406,27444,27446
20,-3m,0.49953288225801884,35323,35336
21,mm2,0.4491654502760678,31514,31516
22,2/m,0.2861190768810597,29292,29309
23,m-3m,0.5721324541699877,55204,55207
24,m,0.4140670891946205,32345,32350
25,m,0.4334814915346249,29473,29477
26,-42m,0.4855504293220556,31212,31216
27,4/mmm,0.45333836288193136,26510,26514
28,-43m,0.9122925199396421,37112,37122
29,-3m,0.7625366671322811,28636,28640
30,4/mmm,0.3493968151841724,31085,31088
31,-43m,0.8334244235695987,58550,58566
32,mmm,0.43236630548759175,28610,28614
33,mm2,0.4159721224313838,27836,27839
34,-43m,0.9993346271139452,36070,36082
35,2/m,0.4381292086139076,29998,30000
36,mmm,0.5062745546782622,26217,26221
37,m,0.47022076860179884,30575,30576
38,m,0.3658750506004588,29644,29646
39,4mm,0.4008070814891955,38410,38414
40,mm2,0.5039032836183591,32921,32931
41,6/mmm,0.21045892963837595,35147,35212
42,m,0.3628105636768333,33246,33252
43,mm2,0.44959510444464895,43468,43476
44,mm2,0.370385073441842,25190,25193
45,m-3m,0.1980135582531925,31715,31760
46,mmm,0.5313512751866986,28388,28391
47,4/mmm,0.37539334001867286,28919,28925
48,m,0.4284436217800401,32415,32427
49,mmm,0.21158256880733944,31392,31407
