layer,variant,label_col,n_structures,same_sg_pairs,diff_sg_pairs,mean_cos_same_sg,mean_cos_diff_sg,ratio,delta,macro_mean_cos_same_sg,null_ratio,cc_n_structures,cc_same_sg_pairs,cc_diff_sg_pairs,cc_mean_cos_same_sg,cc_mean_cos_diff_sg,cc_ratio,cc_delta,cc_null_ratio
0,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9993842385287413,0.9990628873451431,1.0003216526083278,0.00032135118359810644,0.9975329353615232,0.9999962127559177,1163971,136906.0,2346564.0,0.9999551727857753,0.9998438037238737,1.000111386460052,0.00011136906190156726,0.999988075112745
0,centered,point_group,1633057,139865409281.0,1193571356815.0,0.29770957705048323,0.08894595702158306,3.347083858777785,0.20876362002890017,0.48288065554462584,0.9999186697735499,1163971,136906.0,2346564.0,0.9423843883008873,0.6139909842443038,1.5348505311698803,0.32839340405658357,1.048297747108895
1,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9990846735266861,0.9987342989559289,1.0003508186022283,0.0003503745707571504,0.9971455581554958,0.9999991886752572,1163971,136906.0,2346564.0,0.999936694814811,0.9998138954875163,1.0001228221850575,0.0001227993272946426,0.9999874018167354
1,centered,point_group,1633057,139865409281.0,1193571356815.0,0.25178773381762204,0.047780706783966315,5.269652769182435,0.20400702703365572,0.4948777481398968,1.0005446833241427,1163971,136906.0,2346564.0,0.9365728497940959,0.6598220827529085,1.4194324110622796,0.2767507670411874,1.0349360145130015
2,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9986329990949728,0.9982121207024295,1.0004216322200608,0.0004208783925433446,0.9964591895518762,1.0000014602462202,1163971,136906.0,2346564.0,0.9998232134157229,0.9996807506247413,1.000142508286663,0.0001424627909816234,0.9999806743257862
2,centered,point_group,1633057,139865409281.0,1193571356815.0,0.19810697677020947,0.011671035341783053,16.974241870468322,0.18643594142842643,0.4783563772264429,1.0003131177477886,1163971,136906.0,2346564.0,0.876567663248853,0.6579564224753123,1.3322579327535076,0.21861124077354077,1.0178215155552253
3,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9980710862637777,0.9975512962212734,1.0005210659787354,0.0005197900425043533,0.9958424001695907,0.9999975210638959,1163971,136906.0,2346564.0,0.9996970551180331,0.9995325149319702,1.0001646171421188,0.00016454018606293364,0.9999744302841544
3,centered,point_group,1633057,139865409281.0,1193571356815.0,0.1834375281282183,0.0023143139697620945,79.26216171398525,0.18112321415845622,0.47390283811932804,1.0023342159611144,1163971,136906.0,2346564.0,0.8559020588802646,0.6613428301513669,1.2941881575768612,0.19455922872889775,1.0208288339388696
4,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9973553710811611,0.9967197548835917,1.000637708036241,0.0006356161975694663,0.9950638139585584,0.999996445878855,1163971,136906.0,2346564.0,0.9995535725143209,0.9993628509481514,1.000190843161709,0.00019072156616950497,0.9999674263420256
4,centered,point_group,1633057,139865409281.0,1193571356815.0,0.1653199758589921,-0.003181747815281923,-51.95885577887753,0.16850172367427402,0.4657208531041246,1.0003190884062467,1163971,136906.0,2346564.0,0.8395238145861578,0.6830566724882928,1.2290690485869555,0.15646714209786494,1.0096221598170287
5,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9963892235805455,0.9956098042731358,1.0007828561993508,0.0007794193074096567,0.9940563974693593,0.9999999914797804,1163971,136906.0,2346564.0,0.9993090621674798,0.9990857616389852,1.0002235048652162,0.0002233005284946188,0.9999578068275289
5,centered,point_group,1633057,139865409281.0,1193571356815.0,0.15830480069046055,0.0026760847270369367,59.1553769172853,0.15562871596342362,0.44497363565017356,1.000950870850149,1163971,136906.0,2346564.0,0.8199916038968145,0.6951109409557245,1.1796557291551024,0.12488066294109001,1.0002014405209534
6,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9950626356673182,0.9940038435974974,1.0010651790500014,0.0010587920698208464,0.9927918533870854,0.9999996246421612,1163971,136906.0,2346564.0,0.9987456099486262,0.9984900067943193,1.00025598969701,0.0002556031543068382,0.9999471373346678
6,centered,point_group,1633057,139865409281.0,1193571356815.0,0.1541718189371259,-0.003925657407685729,-39.27286640838431,0.1580974763448116,0.4349137029599411,0.9994189893804345,1163971,136906.0,2346564.0,0.7669491679958321,0.6678604316719993,1.1483674307156702,0.09908873632383286,0.9950022934307408
7,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9936009906990731,0.992221448467481,1.0013903571966953,0.0013795422315922012,0.991344834121966,0.9999962908720706,1163971,136906.0,2346564.0,0.9983480664589964,0.9980033484084245,1.0003454077094247,0.00034471805057190164,0.9999318180403811
7,centered,point_group,1633057,139865409281.0,1193571356815.0,0.1509063187958604,-0.007666298305688877,-19.684378663412872,0.15857261710154927,0.42660580423634675,0.9974116730125989,1163971,136906.0,2346564.0,0.7617121640872292,0.6724777914811546,1.1326948989787944,0.08923437260607459,0.9919447110723879
8,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9920097983357391,0.9903490248347327,1.0016769577788835,0.0016607735010063518,0.9899341899909812,1.0000007995912532,1163971,136906.0,2346564.0,0.9980028335233111,0.9975780935007874,1.0004257712005615,0.00042474002252368415,0.9999164545105702
8,centered,point_group,1633057,139865409281.0,1193571356815.0,0.1432244688913174,-0.009123671283873102,-15.698118053034127,0.1523481401751905,0.418805339243023,0.9994945662342729,1163971,136906.0,2346564.0,0.7697676192209646,0.6880341772140289,1.1187927063999767,0.08173344200693566,0.990666554163205
9,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9906707528777069,0.9888472569796186,1.0018440622504814,0.0018234958980882787,0.9887631746794173,0.9999991139244048,1163971,136906.0,2346564.0,0.9976766294106979,0.9971808371935375,1.000497193887676,0.0004957922171604512,0.9998992390151537
9,centered,point_group,1633057,139865409281.0,1193571356815.0,0.1343343073562516,-0.012938850020753427,-10.382244723509775,0.14727315737700503,0.409941386199627,1.001372413870276,1163971,136906.0,2346564.0,0.7704157438889665,0.6906517673457658,1.115490874438417,0.07976397654320067,0.9918184548425851
10,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9895055296451688,0.9875318523197412,1.001998596116967,0.0019736773254276363,0.9877355384137994,1.0000012600658406,1163971,136906.0,2346564.0,0.9973231701282979,0.9967518937735425,1.0005731379677572,0.0005712763547554012,0.9998942478319254
10,centered,point_group,1633057,139865409281.0,1193571356815.0,0.1337013045354569,-0.010953690929955672,-12.206050489321042,0.14465499546541258,0.4039810974725283,1.0003661183846917,1163971,136906.0,2346564.0,0.7655267527125535,0.6866235229693701,1.114914836302081,0.07890322974318342,0.9944704498634336
11,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9890014099310609,0.9870246624107051,1.0020027336657706,0.001976747520355815,0.9874112551940926,1.0000027089246222,1163971,136906.0,2346564.0,0.9972536352513007,0.996646140644807,1.0006095389142837,0.0006074946064936748,0.9999044130909426
11,centered,point_group,1633057,139865409281.0,1193571356815.0,0.13175775729287661,-0.009984081660230057,-13.196782816562079,0.14174183895310666,0.3940560897833913,0.9990639352464362,1163971,136906.0,2346564.0,0.7704984029014889,0.6924494168264888,1.112714350215934,0.0780489860750001,0.9941542619735892
12,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9882690369750131,0.986225087763075,1.0020724976856694,0.0020439492119380676,0.9866437713240175,0.9999972115208844,1163971,136906.0,2346564.0,0.9971029469480113,0.9964750916778905,1.0006300762310711,0.0006278552701207696,0.9998988691844158
12,centered,point_group,1633057,139865409281.0,1193571356815.0,0.1284090294002658,-0.010601285513058917,-12.112590425197821,0.13901031491332472,0.38386966883632634,0.9976308333622119,1163971,136906.0,2346564.0,0.7716304077625126,0.6970051393797232,1.107065592728914,0.07462526838278938,0.9926670027486809
13,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9878021980879447,0.9857422032053329,1.0020897906936654,0.002059994882611771,0.9861051565914676,0.9999961564951552,1163971,136906.0,2346564.0,0.9970553828181707,0.9964246955871373,1.0006329502207507,0.0006306872310334333,0.9998975121162146
13,centered,point_group,1633057,139865409281.0,1193571356815.0,0.12633560908988967,-0.009468404364270164,-13.34286160893465,0.13580401345415982,0.38010045189172115,0.998903498405732,1163971,136906.0,2346564.0,0.7756292030084424,0.7026058137167355,1.103932230371705,0.07302338929170693,0.9931867038125924
14,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9876624509565263,0.9856132231548284,1.0020791399238116,0.002049227801697917,0.9855299986131146,1.0000014366578365,1163971,136906.0,2346564.0,0.9971274283145429,0.9964845511098753,1.000645145179573,0.0006428772046676023,0.9998993324689063
14,centered,point_group,1633057,139865409281.0,1193571356815.0,0.12325890398096669,-0.011053453656369217,-11.151166668160995,0.1343123576373359,0.3810875687096832,1.0001191929389996,1163971,136906.0,2346564.0,0.7810828057269439,0.7072874534571344,1.1043357292839098,0.07379535226980949,0.9956022967212197
15,raw,point_group,1633057,139865409281.0,1193571356815.0,0.994776608354983,0.9920184757264607,1.002780323850826,0.002758132628522314,0.9905426597389828,0.9999971873018804,1163971,136906.0,2346564.0,0.9985239163452974,0.9958681604431441,1.0026667745868805,0.0026557559021532784,1.0002619312368612
15,centered,point_group,1633057,139865409281.0,1193571356815.0,0.34318002453558005,-0.03309784092642465,-10.368652906951162,0.3762778654620047,0.4300711006080281,1.0017290514568202,1163971,136906.0,2346564.0,0.7317724216605793,0.42329565005364045,1.7287501574085355,0.30847677160693887,1.0640337675172684
