cluster_id,dominant_spacegroup_symbol,fraction
0,F-43m,0.8162170689383184
1,C2/m,0.32621951219512196
2,Cm,0.7308912604557254
3,I4/mmm,0.5009392611145899
4,I4mm,0.5984490259126158
5,P4mm,0.5331344832058099
6,F-43m,0.9979679144385026
7,P4/mmm,0.7928348909657321
8,R-3m,0.9824945295404814
9,C2/m,0.6218938885157824
10,Cm,0.9397961146374303
11,F-43m,0.9137376078279902
12,R-3m,0.7269168026101142
13,I4/mmm,0.4313666009403913
14,P3m1,0.5039148765308171
15,Imm2,0.475820547679161
16,F-43m,0.9978937514626726
17,P6_3/mmc,0.25975975975975973
18,P2_1/c,0.2192195690157251
19,C2/m,0.21020550330895157
20,Cmmm,0.45433255269320844
21,F-43m,0.9975658331489268
22,I4/mmm,0.6013757523645744
23,P4/mmm,0.7940393826503459
24,F-43m,0.967668423301524
25,P4/mmm,0.32602399669011173
26,P4mm,0.44288544073951797
27,Pm,0.7282149712092131
28,Fm-3m,0.9077626731037988
29,Cmm2,0.46890332847102506
30,P4mm,0.4635838150289017
31,R-3m,0.8106485188150521
32,Pmmm,0.3333333333333333
33,I-4m2,0.574244966442953
34,I-4m2,0.693487250172295
35,P6/mmm,0.1933873986275733
36,Cm,0.8622166696412636
37,P3m1,0.8797872340425532
38,F-43m,0.9045413803406035
39,C2/m,0.47460791635548916
40,Cm,0.7531166518254675
41,Cmmm,0.5647203658107632
42,Imm2,0.37596699329551314
43,F-43m,0.8361791237113402
44,P4mm,0.36542633071917235
45,F-43m,0.9973149213655543
46,Pmmn,0.27867570385818563
47,Cmm2,0.25413730951990826
48,Fm-3m,0.8232226885412692
49,Pmmm,0.6863265693153803
50,P4mm,0.6157642037876767
51,Cmmm,0.2582485735549491
52,C2/m,0.615174672489083
53,P2/m,0.3908444282327193
54,I4mm,0.4858513983120966
55,Pm,0.8035923467395548
56,R-3m,0.8324970131421744
57,P4mm,0.3166156982670744
58,Pmmm,0.4341279799247177
59,P1,0.5581284694686757
60,Imm2,0.45866503368034295
61,Immm,0.37600313172832256
62,R-3m,0.7628357030015798
63,C2/m,0.22557997557997558
64,P2/m,0.5282078661683574
65,Immm,0.6419729575318986
66,I-4m2,0.39198670605613
67,P4/mmm,0.635645129421063
68,Pmm2,0.4315266196279666
69,C2/m,0.2836294416243655
70,P3m1,0.4710957722174288
71,I4/mmm,0.19810956790123457
72,Cmmm,0.6848713119899561
73,R-3m,0.7943359375
74,I-4m2,0.3672431332655137
75,P2_1/c,0.09522670175858357
76,P2/m,0.7198153409090909
77,Cmm2,0.36337814807801555
78,P4mm,0.5479543930248155
79,F-43m,0.997539975399754
80,F-43m,0.9288820670248146
81,F-43m,0.9978289188015632
82,P2/m,0.523226135783563
83,Cmmm,0.6127630375114365
84,Cmmm,0.44293915040183696
85,F-43m,0.9972003054212267
86,R-3m,0.8828707848403462
87,P4mm,0.48179906164051123
88,P6/mmm,0.2721505603721717
89,F-43m,0.966497461928934
90,I4mm,0.43497951261591544
91,R-3m,0.47875523638539796
92,P4mm,0.4401054539462844
93,I4/mmm,0.44217265592730276
94,I4/mmm,0.4559661403223181
95,I4/mmm,0.5325269695979078
96,C2/m,0.4702980913574952
97,Cm,0.8533020570191266
98,P-6m2,0.4352039666441289
99,I4/mmm,0.6179407713498623
100,P6_3/mcm,0.32142195889650066
101,Fm-3m,0.827452500969368
102,P-6m2,0.22948812147930445
103,Cmmm,0.31370390753990096
104,Immm,0.28131680205215903
105,P4/mmm,0.8341151385927505
106,R-3m,0.5512682137075013
107,Pm-3m,0.3328380386329866
108,F-43m,0.9982671122663695
109,Imm2,0.4670886075949367
110,P6_3/mmc,0.22031595039918464
111,Cm,0.7313858994069844
112,Pmmm,0.23325406262386048
113,C2/m,0.8519849110831687
114,P4/mmm,0.3978367165506001
115,P4/mmm,0.7313462692538508
116,F-43m,0.907465953307393
117,Cmmm,0.4617302896604642
118,I4mm,0.5680964617513342
119,P6_3/mmc,0.29403110550651534
120,I-43m,0.5493743984600578
121,I4/mmm,0.20246060867688323
122,Immm,0.24790963767052956
123,R-3m,0.9448586786890931
124,Cm,0.9262742147827723
125,I4/mmm,0.17990275526742303
126,I4/mmm,0.1973644803833483
127,Cm,0.15012106537530268
128,Pmmm,0.6204807109674814
129,P4/mmm,0.5397088630919477
130,F-43m,0.9981815820236394
131,Pmmm,0.5925036040365209
132,Fm-3m,0.9390763183753685
133,Cm,0.8645271925526703
134,F-43m,0.9969604863221885
135,Fm-3m,0.2781504986400725
136,C2/m,0.7815227934044617
137,F-43m,0.887660862982589
138,Immm,0.3102548665462573
139,Cm,0.5414989939637826
140,P2/m,0.5840537944284342
141,Pmmm,0.5908807967631498
142,R-3m,0.8730423888076843
143,F-43m,0.9497603068072866
144,P1,0.13847272727272728
145,Cm,0.8168828727204361
146,Pm,0.2759134973900075
147,Fmm2,0.34840041279669764
148,Fm-3m,0.8084890074977761
149,F-43m,0.8766917293233083
150,F-43m,0.9971538175968321
151,Cmmm,0.2136830102622577
152,Pmm2,0.3178386380458919
153,P6_3/mmc,0.17542547222741725
154,Immm,0.23212536728697356
155,R3m,0.9318131503210095
156,P4/mmm,0.28385579937304073
157,P2/m,0.3231494771375846
158,P6/mmm,0.13096270598438856
159,Cmmm,0.5721314701830348
160,P3m1,0.8204272363150867
161,F-43m,0.7483343074225599
162,Fmm2,0.3896056696347447
163,R3m,0.7761023532099611
164,F-43m,0.9978675196588032
165,Cmm2,0.3344778832559079
166,P2/m,0.5088702147525677
167,Pm,0.45179263565891475
168,R-3m,0.8754986353138778
169,P4mm,0.47710075667064916
170,P4mm,0.556208670095518
171,Imm2,0.41040249954052566
172,Pmmm,0.6629398826979472
173,F-43m,0.9263665594855306
174,I4/mmm,0.49647220788160384
175,C2/m,0.3067978533094812
176,F-43m,0.8821280133000832
177,Pm,0.8797313797313797
178,I-4m2,0.7601918465227818
179,P3m1,0.9106706489275047
180,Fmm2,0.40510684534588914
181,I4/mmm,0.4269215452011151
182,P4mm,0.3015757222060111
183,F-43m,0.9984358706986444
184,F-43m,0.9974926253687315
185,F-43m,0.8570781084756005
