cluster_id,dominant_space_group_symbol,fraction
0,C2/m,0.6887532693984307
1,I4/mmm,0.3249370277078086
2,P4mm,0.38943824952661477
3,P6/mmm,0.21192512133117633
4,Fm-3m,0.9293184276956364
5,P4mm,0.27439024390243905
6,F-43m,0.9412811387900356
7,F-43m,0.9995791245791246
8,R-3m,0.8762728146013449
9,C2/m,0.247719810288216
10,P2/m,0.5599624060150376
11,P3m1,0.5195473251028807
12,I4/mmm,0.15815861440291704
13,Fmm2,0.364376130198915
14,Imm2,0.44093851132686085
15,Imm2,0.5155325443786982
16,P4/mmm,0.7469209376241558
17,R-3m,0.9577793747754222
18,P2/m,0.3913598250091141
19,Cmm2,0.36007229250660366
20,P4/mmm,0.5149384885764499
21,Fm-3m,0.2695865584292996
22,Cm,0.9136064529823816
23,Immm,0.6291380387257963
24,F-43m,0.9996331621423331
25,F-43m,0.9084205518553758
26,P2/m,0.4758585076168345
27,F-43m,1.0
28,Cmmm,0.5872978116079924
29,P3m1,0.8446678493987778
30,I4/mmm,0.7143801652892562
31,P2/m,0.4746034574942078
32,Cmmm,0.6243756243756243
33,P1,0.23915022761760243
34,C2/m,0.48053113224475147
35,Cm,0.9853296193129062
36,Immm,0.39275862068965517
37,P4/mmm,0.7376871338685181
38,R-3m,0.8971507991660875
39,I4mm,0.3922303629238371
40,I4/mmm,0.8789001282233937
41,Cm,0.46062464073577314
42,F-43m,0.8909586551567469
43,C2/m,0.29038893044128644
44,C2/m,0.3533970084699946
45,F-43m,0.9994410285075461
46,F-43m,0.941528807758129
47,I-4m2,0.4339187511087458
48,Pm,0.8554951033732318
49,R-3m,0.7516515276630884
50,P4/mmm,0.6550966608084359
51,Pm,0.8298206278026906
52,P2/m,0.583530525319451
53,Cmm2,0.427625528784256
54,F-43m,0.9132255269997113
55,P4mm,0.478577429291515
56,R-3m,0.9835919386481184
57,F-43m,0.9995657209033005
58,P4/mmm,0.9051980764827112
59,R-3m,0.8398259428097804
60,C2/m,0.5212573496155586
61,Fm-3m,0.27300265051117
62,P4mm,0.6049612847720103
63,Immm,0.5689952153110048
64,Pm,0.8157894736842105
65,P4mm,0.5040752351097179
66,P6_3/mcm,0.1998997158616079
67,C2/m,0.8612891737891738
68,P6/mmm,0.15789473684210525
69,P2/m,0.5869654605263158
70,P6_3/mmc,0.1605902777777778
71,Cmm2,0.38313253012048193
72,C2/m,0.5936704256093125
73,P4/mmm,0.8535847713929906
74,R-3m,0.8503772003352892
75,Imm2,0.4360402443406396
76,F-43m,0.9753185997741571
77,Cm,0.93519882179676
78,P4mm,0.5886643367269412
79,F-43m,1.0
80,Cmcm,0.1518647705929702
81,F-43m,0.9564483457123565
82,I4mm,0.562822364349082
83,P4mm,0.5005868544600939
84,Pnma,0.16515559911786326
85,Pmm2,0.2827516439049064
86,I-4m2,0.6464959189417394
87,P6/mmm,0.270042194092827
88,Cm,0.8938662991040661
89,F-43m,0.9324387397899649
90,Pm-3m,0.5396596481107586
91,Pmmm,0.6432902715528606
92,Fm-3m,0.9549817941079113
93,F-43m,0.9998724815098189
94,Cmmm,0.46853308653401204
95,Cmm2,0.4862809917355372
96,P4/mmm,0.6586141131595677
97,I4/mmm,0.4168135354247445
98,Cm,0.9513960703205792
99,P3m1,0.8832387603666522
100,P6_3/mmc,0.1664039630713803
101,I-4m2,0.802710843373494
102,Pmmm,0.7646385657066564
103,C2/m,0.7291109128754089
104,P4mm,0.5029866479269149
105,I-4m2,0.809807031456516
106,Immm,0.31319444444444444
107,I4/mcm,0.16758026624902114
108,I4mm,0.6680129240710824
109,I4mm,0.3287343635025754
110,R-3m,0.44810495626822155
111,I-4m2,0.8045697617890131
112,R-3m,0.554481546572935
113,P4mm,0.5812231600770028
114,Pmmm,0.4794210764360018
115,P4/mmm,0.8150298889837746
116,P2/m,0.49681401831939465
117,Imm2,0.5062111801242236
118,I4/mmm,0.5639222176251552
119,P4mm,0.48248686514886163
120,Imm2,0.4751085867023054
121,P4mm,0.5881017257039055
122,R3m,0.969745541975556
