cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,Immm | 2a 2c 4j,0.2284809808552334,19901,27347
1,C2/m | 2a 2b 4f,0.16619456134671415,24712,33283
2,C2/m | 2a 2d 4i,0.08504635227730754,22329,29574
3,F-43m | 4a 4b 4c 4d,0.9975551071095933,25768,35068
4,I-4m2 | 2a 2b 2c 2d,0.3414229725655713,26536,36651
5,F-43m | 4a 4c 16e,0.5387693846923461,13993,30867
6,Pm | 1a 1a 1b 1b,0.38202028081123246,20512,28382
7,Cm | 2a 2a 2a 2a,0.21381308484397635,25541,33493
8,R-3m | 3a 3b 6c,0.8996972234748438,15523,22194
9,P4/mmm | 1a 1c 2e,0.4911065787601385,21083,29123
10,Pm | 1a 1a 1b 1b,0.2572268495835375,22451,31157
11,F-43m | 4a 4b 4c 4d,0.9988422229319707,25048,35144
12,Cmmm | 2a 2b 4f,0.465288423634532,22831,30844
13,Cm | 2a 2a 2a 2a,0.35429593017141653,28527,36356
14,I4/mmm | 2a 2b 4d,0.36980570131896184,28204,37629
15,F-43m | 4a 4c 16e,0.8685921248142645,21536,30629
16,I-4m2 | 2a 2b 2c 2d,0.35383422438068807,24503,34244
17,R-3m | 3a 3b 6c,0.5926909458775923,23724,30798
18,P4mm | 1a 1a 1b 1b,0.15350791095755958,25471,33656
19,Fd-3m | 16c 32e 48f,0.062075252776396486,24132,32950
20,F-43m | 4a 4b 4c 4d,0.9953741237064238,20969,31643
21,P2/m | 1a 1g 2n,0.29869579047821015,18862,26064
22,Imm2 | 2a 2a 2b 2b,0.24478470179192297,29912,40115
23,P4mm | 1a 1a 1b 1b,0.19483177080854708,21013,28186
24,P4/mmm | 1a 1c 2e,0.38501749878173036,22573,31061
25,C2/m | 2a 2d 4i,0.22163978494623657,22320,29802
26,F-43m | 4a 4b 4c 4d,0.9967894628524387,24295,34938
27,C2/m | 2a 2d 4i,0.2864761173988107,26065,32935
28,I4mm | 2a 2a 2a,0.1591472252092197,21389,28342
29,Imm2 | 2a 2a 2b 2b,0.2905766100026502,26413,36182
30,I-4m2 | 2a 2b 2c 2d,0.33506058673469385,25088,33985
31,P4/mmm | 1a 1c 2e,0.47499489691773833,24495,34184
32,P4mm | 1a 1a 1b 1b,0.38298807069717145,29591,39588
33,Cm | 2a 2a 2a 2a,0.36161899704119566,26362,34553
34,R-3m | 3a 3b 6c,0.7519709870703248,19026,26251
35,I4/mmm | 2a 2b 4d,0.4023718763235917,28332,38833
36,P4mm | 1a 1a 1b 1b,0.22562290643784702,21793,29647
37,Cmmm | 2a 2d 4l,0.09327674782220237,22385,29221
38,Cm | 2a 2a 2a 2a,0.27347310847766637,25231,33041
39,Cmmm | 2a 2b 4f,0.0979516110711446,26411,36719
40,Cm | 2a 2a 2a 2a 2a 2a,0.13012380793039988,23908,32020
41,F-43m | 4a 4b 4c 4d,0.4439603001694505,16524,27453
42,I4/mmm | 2a 8h 8i,0.05942843937759976,25964,34219
43,F-43m | 4a 4b 4c 4d,0.5447822967827383,18121,28853
44,Cmmm | 2a 2b 4f,0.4172281489799738,21372,28477
45,F-43m | 4a 4c 16e,0.736876175210382,32441,47649
46,R-3m | 3a 3b 6c,0.7271192699266762,18957,26675
47,Cm | 2a 2a 2a 2a,0.32446264073694986,26379,34433
48,F-43m | 4a 4c 16e,0.332691545387621,17659,43553
49,P4mm | 1a 1a 1b 1b,0.377192316452813,26342,35678
