cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
61,P4mm | a b,0.7679683078664403,7068,9741
62,Cmm2 | a b,0.3539429124334785,10335,14354
63,Cm | a,0.9935275080906149,8034,9478
64,I-43m | a c g,0.31423785594639864,5970,8440
65,Pmmm | a d f g,0.2795870714022367,8137,11396
66,F-43m | a c e,0.976806125846188,9011,12747
67,I-4m2 | a b c d,0.9009134003931091,8649,11717
68,P2/m | a g n,0.5887445887445888,8547,12165
69,F-43m | a c e,0.8058206853387576,6391,10055
70,Cmmm | a b f,0.7969860328350894,8162,11002
71,P-3m1 | a d,0.18055362359159827,7189,8921
72,Pm | a b,0.8800487465181058,5744,7921
73,I4/mmm | a b d,0.4792853842599723,6493,9034
74,Imm2 | a b,0.33024414549078224,10035,13874
75,R-3m | a b c,0.9945744320108512,8847,12490
76,Immm | a c j,0.645336627547869,8095,11032
77,P-3m1 | a d,0.14187866927592954,8176,11149
78,Imm2 | a b,0.34074790457769183,9306,12739
79,F-43m | a b c d,0.9887938661161899,10173,13718
80,C2/m | a d i,0.529309090909091,6875,8543
81,Pm | a b,0.9898598270205786,6706,9260
82,F-43m | a b c d,0.9608554663372452,12952,17932
83,Pmmm | a d f g,0.7714903357070193,7864,10810
84,R-3m | a b c,0.969207723035952,6008,8214
85,P4mm | a b,0.7976871101871101,7696,10265
86,Pm | a b,0.994968220338983,7552,10854
87,I4/mmm | a b d,0.6387319522912743,6372,8729
88,P4mm | a b,0.6480641258318209,6612,8978
89,Imm2 | a b,0.38262051657429674,9563,13192
90,P1 | a,0.25194897236002833,5644,7838
91,C2/m | a d i,0.8320013749248087,11637,13941
92,Fm-3m | a b c,0.7423675115207373,6944,11794
93,I4mm | a,0.8637066831683168,6464,8086
94,I-4m2 | a b c d,0.9445494048743623,10586,14351
95,I4/mmm | a h i,0.12487449799196787,7968,11550
96,R-3m | a b c,0.9977139954279909,7874,11234
97,Immm | a c j,0.5496427691549642,8118,11072
98,Cm | a,0.9406614785992218,6168,7451
99,P4/mmm | a c e,0.8250894288886148,8107,11052
100,Cmcm | c g,0.07935034802784223,8620,10788
101,P4/mmm | a c e,0.5723537030495702,8493,11937
102,R3m | a,0.9257581725088617,5078,6817
103,I4/mmm | a b d,0.8587570621468926,7788,10488
104,P6_3/mmc | e f g h,0.08239095315024232,7428,9490
105,I-4m2 | a b c d,0.5385572139303483,6432,8742
106,Cm | a,0.9909606250957561,6527,7816
107,Cm | a,0.973741794310722,7769,9143
108,I4mm | a,0.803465150112419,7561,9381
109,Imm2 | a b,0.3602544599640437,7231,9706
110,Cmmm | a b f,0.15345679012345678,8100,10408
111,Pmmm | a d f g,0.6722915138175594,8178,11628
112,I4/mmm | a b d,0.928588263021447,8486,11541
113,R-3m | a b c,0.9907718120805369,8344,11547
114,I4/mmm | a h i,0.055363764224523715,7821,9978
115,P4mm | a b,0.878927203065134,7830,10932
116,Fm-3m | a b c,0.8727865796831314,6438,10040
117,Pmm2 | a d,0.6304688861774447,5737,7604
118,R-3m | a b c,0.9937332139659804,10053,14021
119,Immm | a c j,0.6001818388453233,8799,12270
120,Cm | a,0.9860478359908884,7024,8350
121,P4/mmm | a c e,0.6774766770324301,6753,9329
122,F-43m | a b c d,0.9873294346978557,9234,13545
123,F-43m | a c e,0.9608902132414564,10739,15050
124,C2/m | a d i,0.846305533000812,8621,10380
125,P4/mmm | a b h,0.3988329916416969,6341,8860
126,P4/mmm | a e,0.18862491000719941,5556,7980
127,Cm | a,0.431413071557737,3871,4864
128,P4mm | a b,0.861394258933802,8535,11724
129,F-43m | a b c d,0.7732875088883622,8438,11653
130,F-43m | a c e,0.9076461769115443,10005,13926
131,I4/mmm | a b d,0.9299957118353345,9328,12779
132,Cm | a,0.9985657941914665,8367,9845
133,P2/m | a g n,0.6803646754660498,7349,10528
134,Fm-3m | a b c,0.711891042430592,3818,15228
135,Cmcm | c,0.07862950058072009,8610,11565
136,P3m1 | a b c,0.9705823090872456,4963,6840
137,R-3m | a b c,0.30766312594840667,5272,6802
138,F-43m | a b c d,0.9992381919756221,11814,16979
139,I4mm | a,0.8376979771052219,6377,7913
140,Immm | a c j,0.668505022651172,10154,13949
141,F-43m | a b c d,0.8974527887571366,9108,12995
142,P-6m2 | a b h,0.20539789640801748,5039,6663
143,I4/mmm | a e,0.12327428222357972,8185,10244
144,P-6m2 | a c f,0.31689243950445756,8637,11981
145,Pmm2 | a d,0.6725585505965532,6789,9296
146,C2/m | a d i,0.37621647282221693,8426,10757
147,Pm | a b,0.7903103709311128,6605,9023
148,Imm2 | a b,0.377711044377711,8991,12153
149,Immm | a c j,0.5933225474334461,6799,9033
