cluster_id,dominant_space_group_symbol,fraction,n_labeled,cluster_size
0,P4/mmm,0.8938205002452182,12234,12237
1,I4/mmm,0.45385105028644174,7855,7855
2,Pmm2,0.6490573260599101,10449,10450
3,F-43m,0.9999350817969359,15404,15405
4,R-3m,0.9734037153588468,9851,9853
5,Cm,0.9868661858111745,9289,9289
6,F-43m,0.9628372919696235,12378,12381
7,C2/m,0.5868227222278277,9911,9912
8,Cmm2,0.44768493042999763,12721,12722
9,Immm,0.46893268748956074,11974,11975
10,Imm2,0.41591875295229097,12702,12706
11,Pmmm,0.508969430715724,10926,10930
12,I-4m2,0.9088065682728961,10231,10233
13,P4mm,0.825468920851207,11889,11891
14,Imm2,0.5645710316081973,14395,14397
15,C2/m,0.33729071537290717,9855,9859
16,F-43m,1.0,19060,19062
17,F-43m,0.9782862139317983,13724,13724
18,Pm,0.9814074556103003,10757,10758
19,F-43m,0.9384003535130357,11315,11318
20,P4/mmm,0.7939867578421795,9213,9216
21,C2/m,0.7157924743443558,10524,10525
22,P4mm,0.7942264988897113,9457,9458
23,Cm,0.24917419070689276,9082,9115
24,Immm,0.7750175561797753,11392,11394
25,I-4m2,0.930503169890057,12461,12462
26,R3m,0.9448479625754032,8123,8126
27,Cm,0.1773802654356607,8665,8738
28,Fm-3m,0.22284055165739172,12399,12410
29,R-3m,0.5291473712884772,7342,7350
30,Pmm2,0.9291,10000,10000
31,P2/m,0.9908788598574821,10525,10525
32,Pm,0.9169109357384442,8870,8871
33,I4/mmm,0.9784284927483018,10894,10895
34,F-43m,1.0,16660,16664
35,F-43m,0.9998904709748083,18260,18264
36,Pm-3m,0.534043659043659,7696,7704
37,C2/m,0.7736583217091256,13621,13621
38,P4/mmm,0.7629023458810693,9165,9166
39,Cmmm,0.6677085368235983,10238,10240
40,Cm,0.9925212138645189,6953,6955
41,Pmmm,0.9528632276384288,10565,10566
42,I-4m2,0.9955222595367261,11613,11615
43,F-43m,0.7978815903881116,12651,12656
44,Pmmm,0.4620355411954766,10523,10524
45,I4/mmm,0.33297928836962293,11298,11300
46,Fd-3m,0.19286946520989073,8695,8706
47,P3m1,0.7643225060443604,9513,9513
48,F-43m,0.9950790577605679,12396,12397
49,P4mm,0.7905510283275126,10308,10308
50,Cmmm,0.9059765406814374,10742,10745
51,Fm-3m,0.937727724412057,15095,15095
52,R-3m,0.9551020408163265,10045,10049
53,Pmmm,0.9282780651049589,13148,13151
54,Imm2,0.4655975168132437,13531,13532
55,P2/m,0.931940129906806,10623,10624
56,Imm2,0.49447359607011276,8957,8959
57,P4/mmm,0.8471450004412673,11331,11332
58,R3m,0.9810529164974963,7389,7389
59,P3m1,0.8464867327183692,8781,8782
60,Fm-3m,0.9021597871155393,16159,16160
61,P4mm,0.7689226661189278,9737,9741
62,Imm2,0.4211369653058381,14354,14354
63,Cm,0.9928247335654743,9477,9478
64,I-43m,0.3857855954361778,8414,8440
65,P2/m,0.47371654234313293,11395,11396
66,F-43m,0.9797567673597489,12745,12747
67,I-4m2,0.9019206145966709,11715,11717
68,P2/m,0.9635840526099466,12165,12165
69,F-43m,0.8141478459854741,10051,10055
70,Cmmm,0.8201818181818182,11000,11002
71,P6/mmm,0.3137122995851553,8919,8921
72,Pm,0.87231624147512,7918,7921
73,I4/mmm,0.5602302922940655,9032,9034
74,Imm2,0.4971169093267983,13874,13874
75,R-3m,0.9963962521021863,12487,12490
76,Immm,0.6347234814143246,11030,11032
77,P-3m1,0.19343262156827562,11146,11149
78,Imm2,0.4140827380485124,12739,12739
79,F-43m,0.9986142513310481,13711,13718
80,C2/m,0.7372980566612035,8542,8543
81,Pm,0.9896328293736502,9260,9260
82,F-43m,0.997099670924201,17929,17932
83,Pmmm,0.956059204440333,10810,10810
84,R-3m,0.9962254961646171,8213,8214
85,P4mm,0.7874123148869836,10264,10265
86,Pm,0.9959461949511701,10854,10854
87,I4/mmm,0.7168232867293147,8726,8729
88,P4mm,0.6487690765289073,8977,8978
89,Imm2,0.450686073838223,13191,13192
90,P1,0.20505142559562556,7681,7838
91,C2/m,0.9884496735777315,13939,13941
92,Fm-3m,0.7784278809463241,11793,11794
93,I4mm,0.845249876298862,8084,8086
94,I-4m2,0.9405533486654122,14349,14351
95,Fm-3m,0.16953998094082995,11543,11550
96,R-3m,1.0,11233,11234
97,Immm,0.5568305023491146,11068,11072
98,Cm,0.931604407417361,7442,7451
99,P4/mmm,0.8875113122171946,11050,11052
100,C2/m,0.18002969561989607,10776,10788
101,P4/mmm,0.8770945040214477,11936,11937
102,R3m,0.9325117370892019,6816,6817
103,I4/mmm,0.9250500619815009,10487,10488
104,P6_3/mmc,0.3075461741424802,9475,9490
105,I-4m2,0.540837336993823,8742,8742
106,Cm,0.9906589891234805,7815,7816
107,Cm,0.9725412974510448,9141,9143
108,I4mm,0.7878238618189572,9379,9381
109,Imm2,0.42120993507162735,9703,9706
110,Cmmm,0.24973575478043625,10407,10408
111,Pmmm,0.9290444654683065,11627,11628
112,I4/mmm,0.9798023578363384,11536,11541
113,R-3m,0.9922030667937278,11543,11547
114,Cmmm,0.09946856512583976,9973,9978
115,P4mm,0.8743139407244785,10932,10932
116,Fm-3m,0.8791832669322709,10040,10040
117,Pmm2,0.7077853761178328,7604,7604
118,R-3m,0.9959343794579173,14020,14021
119,Immm,0.6032768177372024,12268,12270
120,Cm,0.9869414160776326,8347,8350
121,P4/mmm,0.7241342339444623,9327,9329
122,F-43m,0.9979322058932132,13541,13545
123,F-43m,0.9413250049837198,15049,15050
124,C2/m,0.9883418441082956,10379,10380
125,P4/mmm,0.8014448583361553,8859,8860
126,P4/mmm,0.3872868605817452,7976,7980
127,Cm,0.44032158317872605,4851,4864
128,P4mm,0.8571184850294293,11723,11724
129,F-43m,0.9925321888412018,11650,11653
130,F-43m,0.9700517092789428,13924,13926
131,I4/mmm,0.998982467125861,12776,12779
