layer,variant,label_col,n_structures,same_sg_pairs,diff_sg_pairs,mean_cos_same_sg,mean_cos_diff_sg,ratio,delta,macro_mean_cos_same_sg,null_ratio,cc_n_structures,cc_same_sg_pairs,cc_diff_sg_pairs,cc_mean_cos_same_sg,cc_mean_cos_diff_sg,cc_ratio,cc_delta,cc_null_ratio
0,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9992034768525379,0.9985385828846911,1.0006658670773902,0.0006648939678467469,0.9973904293610107,1.0000045690986006,1163971,136906.0,2346564.0,0.9996315373071505,0.999436107031037,1.000195540540049,0.00019543027611346186,0.9999567585336261
0,centered,point_group,1633057,139865409281.0,1193571356815.0,0.35499987722546394,-0.014214378929733835,-24.974701953588017,0.36921425615519776,0.6250027576780068,1.0009457160399184,1163971,136906.0,2346564.0,0.7042851921300685,0.4374377535076563,1.6100237953460999,0.26684743862241217,1.0599786822568684
1,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9988642684671529,0.9980952973619138,1.0007704385615999,0.0007689711052391024,0.9971221820427002,1.000001793536158,1163971,136906.0,2346564.0,0.9994761900439985,0.9992159508592733,1.0002604433851374,0.00026023918472517504,0.9999597864879274
1,centered,point_group,1633057,139865409281.0,1193571356815.0,0.33988754570972923,-0.015620235136188635,-21.759438494128993,0.3555077808459179,0.6180287765016064,0.9998324618823613,1163971,136906.0,2346564.0,0.6896757692621897,0.42888613054080027,1.6080626538157086,0.2607896387213894,1.0633347011451688
2,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9984368816902547,0.9975716194704048,1.0008673685206775,0.0008652622198498383,0.996509901315664,0.9999987232475382,1163971,136906.0,2346564.0,0.9993890277434839,0.9990894028620251,1.0002998979676898,0.0002996248814588487,0.9999685629094296
2,centered,point_group,1633057,139865409281.0,1193571356815.0,0.29744123744541234,-0.02327866614852169,-12.777417552521639,0.32071990359393404,0.5832774001712879,0.9993449043737263,1163971,136906.0,2346564.0,0.7048584173795421,0.467609058955408,1.5073668995081608,0.23724935842413414,1.05633779319653
3,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9978644884884926,0.9969618557568851,1.0009053834170238,0.0009026327316075111,0.9958961195724334,1.0000023633968405,1163971,136906.0,2346564.0,0.9992387249329834,0.9989347336524701,1.0003043154575293,0.0003039912805132827,0.9999574661669628
3,centered,point_group,1633057,139865409281.0,1193571356815.0,0.241170266827007,-0.02347938677167035,-10.271574346140808,0.26464965359867737,0.5461664038821454,1.0018288844237655,1163971,136906.0,2346564.0,0.712052153180102,0.5174009591101724,1.3762095733349455,0.1946511940699296,1.0379561225634923
4,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9971395756682204,0.9960862740175156,1.0010574401818193,0.0010533016507048298,0.9952114664107139,1.0000006759319624,1163971,136906.0,2346564.0,0.9989926448948416,0.9986327008849378,1.000360436834869,0.00035994400990380093,0.9999498078431726
4,centered,point_group,1633057,139865409281.0,1193571356815.0,0.22141384300094233,-0.017345273343644486,-12.765082372257396,0.23875911634458682,0.5301977025885893,1.0016359687285203,1163971,136906.0,2346564.0,0.7091877117938981,0.5434621497968802,1.3049440739506108,0.16572556199701782,1.0254855394745264
5,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9961059505178445,0.994882536569492,1.0012297069285898,0.0012234139483524586,0.994190891954734,0.9999986346504627,1163971,136906.0,2346564.0,0.9985520135092579,0.9981478751827637,1.0004048882300334,0.0004041383264942189,0.9999370205650587
5,centered,point_group,1633057,139865409281.0,1193571356815.0,0.19875270843973342,-0.01702253739605627,-11.67585676655819,0.2157752458357897,0.5052959971460146,1.0016615856611395,1163971,136906.0,2346564.0,0.6893733948689013,0.5500164946988904,1.2533685835118502,0.1393569001700109,1.0177863135152456
6,raw,point_group,1633057,139865409281.0,1193571356815.0,0.9947273948576121,0.993235113330477,1.0015024453999932,0.0014922815271350975,0.9929159563579913,1.000000896544621,1163971,136906.0,2346564.0,0.9978249808905878,0.9973150724619883,1.0005112811815235,0.0005099084285995481,0.999916814993294
