cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,P4mm | 1a 1a 1b 1b,0.1282027564517621,21622,29380
1,Cmmm | 2a 2b 4f,0.3122730235589906,21478,29210
2,Immm | 2a 2c 4j,0.1461993627674101,32955,43241
3,Fm-3m | 4a 4b 8c,0.39568907750725935,8954,26561
4,R-3m | 3a 3b 6c,0.7686924122652434,19861,28384
5,Cm | 2a 2a 2a 2a,0.34254448480389904,21749,28269
6,F-43m | 4a 4c 16e,0.7553263442678391,23656,33685
7,I4/mmm | 2a 2b 4d,0.3677356163389683,27566,37899
8,Pmmm | 1a 1d 1f 1g,0.19911937377690803,24528,32592
9,P4mm | 1a 1a 1b 1b,0.49062082315527494,21697,29841
10,C2/m | 2a 2d 4i,0.18564115065821551,24612,31990
11,F-43m | 4a 4b 4c 4d,0.9973825152015463,24833,34451
12,Imm2 | 2a 2a 2b 2b,0.20003626582852307,33089,44168
13,R-3m | 3a 3b 6c,0.7114149149406384,19457,25439
14,F-43m | 4a 4b 4c 4d,0.9923910900847625,25365,34233
15,I-4m2 | 2a 2b 2c 2d,0.2123991646533721,24421,33687
16,P4/mmm | 1a 1c 2e,0.40653331414592025,20847,28857
17,Fd-3m | 16c 32e 48f,0.060164815978769465,28638,39482
18,Cm | 2a 2a 2a 2a 2a 2a,0.09855487089201878,27264,36493
19,Cm | 2a 2a 2a 2a,0.33345607187569043,27158,35223
20,I-4m2 | 2a 2b 2c 2d,0.47790301052943795,26972,37296
21,Cmmm | 2a 2b 4f,0.2871120623757835,26164,35549
22,P4mm | 1a 1a 1b 1b,0.2858301433854538,30826,40875
23,Fm-3m | 4a 4b 8c,0.399214088196769,6871,26860
24,C2/m | 2a 2d 4i,0.07459684927935645,26851,37884
25,F-43m | 4a 4b 4c 4d,0.45321272613849034,19236,29184
26,R3m | 3a 3a 3a 3a,0.17466838249851516,20204,25968
27,F-43m | 4a 4c 16e,0.8495554405607565,21257,30388
28,Immm | 2a 2c 4j,0.1638151014432127,23905,32589
29,C2/m | 2a 2b 4f,0.12393858821511279,23318,30718
30,F-43m | 4a 4b 4c 4d,0.9709112750986786,23308,33994
31,C2/m | 2a 2d 4i,0.36057467684161343,25684,33546
32,Imm2 | 2a 2a 2b 2b,0.34771347945417297,25869,35772
33,P2/m | 1a 1g 2n,0.16307537519912804,23854,32820
34,I-4m2 | 2a 2b 2c 2d,0.4042664117825955,23017,31233
35,P3m1 | 1a 1b 1c,0.21588152687348397,23499,31728
36,R-3m | 3a 3b 6c,0.767932228543161,16172,22399
37,P2/m | 1a 1g 2n,0.22605477424130274,20265,27157
38,Cm | 2a 2a 2a 2a,0.3937219730941704,23415,30783
39,Pmmm | 1a 1d 1f 1g,0.4351830964734191,26598,36991
40,F-43m | 4a 4c 16e,0.7770976677687428,22382,31793
41,F-43m | 4a 4b 4c 4d,0.9827660660306992,25473,38596
42,Cm | 2a 2a 2a 2a,0.28152846414257365,25699,33259
43,I4/mmm | 2a 2b 4d,0.3247996947729874,26210,34981
44,Pm | 1a 1a 1b 1b,0.2897185907378684,27078,36487
45,P4mm | 1a 1a 1b 1b,0.14480295179777045,25476,34064
46,I4mm | 2a 2a 2a,0.152796216395619,24104,32564
47,F-43m | 4a 4b 4c 4d,0.39128921881343154,17243,29387
48,R-3m | 3a 3b 6c,0.8090514569125853,16130,22356
49,I4/mmm | 2a 8h 8i,0.05956320317670417,25687,33383
