cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,F-43m | a b c d,0.8339825386165212,7445,10591
1,P-3m1 | a d,0.48966244725738395,4740,6438
2,Amm2 | a b,0.8326452373930994,6782,9052
3,P4/mmm | a c e,0.6074429061649509,16902,23152
4,C2/m | a d i,0.6923507462686567,16080,19748
5,F-43m | a c e,0.9148609975470156,9784,13441
6,P4mm | a b,0.8901220865704772,9911,13425
7,Immm | a c j,0.9650712943517188,9047,12169
8,I4/mmm | a b d,0.9159687924987474,13971,19008
9,R-3m | a b c,0.9943454686289698,12910,18209
10,P2/m | a g n,0.6619381574752948,6274,8561
11,Pmmm | a d f g,0.7726453357368184,8876,12541
12,Cm | a,0.9758872264127613,8087,9903
13,Pmm2 | a d,0.7737575672251161,7103,9733
14,F-43m | a b c d,0.9990288747895896,15446,21726
15,Pm-3m | a c,0.3464309102815979,1527,3139
16,Pm | a b,1.0,8735,12594
17,I-4m2 | a b c d,0.9974661339050774,10261,14012
18,Imm2 | a b,0.8344246959775491,11759,15953
19,Pmm2 | a d,0.7431312690798081,4586,6314
20,F-43m | a c e,0.8570005974905397,10042,14309
21,R3m | a,0.8963014172139647,2893,3906
22,I4mm | a,0.8542943192439506,9629,11842
23,Fdd2 | a b,0.26546949372565987,4622,6064
24,P4mm | a b,0.8326862867877269,7985,11067
25,I4/mmm | a e,0.27782677720938437,5669,7533
26,Imm2 | a b,0.8114221091320328,10611,14426
27,F-43m | a b c d,0.9983153638814016,8904,13486
28,Pmmm | a d f g,0.5778029445073612,4415,6168
29,Cm | a,0.976056654676259,8896,10693
30,F-43m | a c e,0.9765857403320218,10421,14317
31,Cmm2 | a b,0.9697334940404446,7467,10709
32,Fm-3m | a b c,0.8074925816023739,2696,17135
33,P4/mmm | a c e,0.5653793103448276,7250,9931
34,Pm | a b,0.9892554670711667,7911,10827
35,Cmmm | a b f,0.6022469224333692,8367,11496
36,I-4m2 | a b c d,0.9981557916922806,11387,15383
37,P6/mmm | a d,0.2391579613801836,6318,8181
38,Cmcm | c,0.17111280487804878,5248,6630
39,P2/m | a g n,0.5977287617383709,4579,6332
40,Cmmm | a b f,0.5907404135006185,11318,15610
41,I-43m | a c g,0.21020809898762655,7112,9912
42,P3m1 | a b c,0.9879703886489821,6484,8955
43,R-3m | a b c,0.9617494440326168,6745,9044
44,Fm-3m | a b c,0.6109253065774805,2691,10828
45,P1 | a,0.7600494743351887,1617,1906
46,Pmmm | a c t,0.4396887159533074,6425,8834
47,Cmmm | a b f,0.6376414532459798,8395,11623
48,F-43m | a c e,0.9356998395982984,14339,19721
49,P4/mmm | a c e,0.5250652506525065,11111,15179
50,R3m | a,0.962709544988026,5846,7939
51,P-6m2 | a c f,0.4966770048737262,4514,6040
52,I4/mcm | a h,0.44942700548081715,4014,5367
53,P4mm | a b,0.8918208818825679,8754,11979
54,Pmmm | a d f g,0.6094205081851963,9957,13776
55,Amm2 | a b,0.9124965440973182,7234,9842
56,P2/m | a g n,0.5887584928968499,8095,11331
57,Immm | a c j,0.9377787446970521,9193,12239
58,Pmm2 | a d,0.6209372637944066,5292,7207
59,P4/mmm | a c e,0.3375052148518982,7191,9348
60,C2/m | i,0.414039262343843,5043,6492
61,I-4m2 | a b c d,0.9970363437841211,6411,8872
62,R-3m | a b c,0.9494152046783626,10260,13880
63,C2/m | a d i,0.7106430155210643,7216,8796
64,Immm | a c j,0.2806515518379925,4543,5823
65,P6_3/mmc | a c d,0.14479560288560633,5822,8026
66,Pm | a b,0.9995511669658886,4456,6029
67,I4/mmm | a b d,0.8608205953338697,6215,8452
68,F-43m | a b c d,0.9756506055140428,15524,21897
69,P2/m | a g n,0.5858705560619872,10970,15648
70,Imm2 | a b,0.6111027304269121,6629,8894
71,I4/mmm | a h i,0.24617784711388455,6410,8405
72,Cmm2 | a b,0.9880332986472424,7688,10997
73,Cm | a,0.9996575049233667,11679,13900
74,F-43m | a b c d,0.9958662157083803,13305,18253
75,P-3m1 | a d,0.27426778242677824,4780,6140
76,Cmm2 | a b,0.9966401954795358,6548,8999
77,R-3m | a c,0.2563978754225012,4142,5252
78,Immm | a c j,0.920014012143858,8564,11411
79,P4mm | a b,0.8595656312191745,11557,15803
80,Pm | a b,0.9979224376731302,7220,10192
81,I4mm | a,0.8888519134775374,12020,14891
82,Pnma | c,0.3207379417648366,4499,6128
83,F-43m | a c e,0.8876942853803903,8557,12335
84,Cmm2 | a b,0.9897222222222222,7200,9943
85,P-6m2 | a c f,0.5990899898887766,3956,5565
86,F-43m | a b c d,0.9989520260829063,17176,25049
