layer,variant,distance,mean_cos
3,centered,20,-0.099148
3,centered,21,-0.0823114
3,centered,22,-0.0625235
3,centered,23,-0.0413489
3,centered,24,-0.0275722
3,centered,25,0.00542144
3,centered,26,0.0190757
3,centered,27,-0.0180022
3,centered,28,-0.111485
4,raw,0,0.986983
4,raw,1,0.986742
4,raw,2,0.986456
4,raw,3,0.986072
4,raw,4,0.985653
4,raw,5,0.985155
4,raw,6,0.984644
4,raw,7,0.984024
4,raw,8,0.983365
4,raw,9,0.982675
4,raw,10,0.981987
4,raw,11,0.981245
4,raw,12,0.98055
4,raw,13,0.979736
4,raw,14,0.978857
4,raw,15,0.97814
4,raw,16,0.977476
4,raw,17,0.976985
4,raw,18,0.976615
4,raw,19,0.976403
4,raw,20,0.97604
4,raw,21,0.976108
4,raw,22,0.976175
4,raw,23,0.976314
4,raw,24,0.976477
4,raw,25,0.977395
4,raw,26,0.977659
4,raw,27,0.977216
4,raw,28,0.973153
4,centered,0,0.280947
4,centered,1,0.265964
4,centered,2,0.249615
4,centered,3,0.229713
4,centered,4,0.208699
4,centered,5,0.18382
4,centered,6,0.160952
4,centered,7,0.13569
4,centered,8,0.111037
4,centered,9,0.0863637
4,centered,10,0.0636984
4,centered,11,0.0369805
4,centered,12,0.0126461
4,centered,13,-0.015056
4,centered,14,-0.0447629
4,centered,15,-0.0686248
4,centered,16,-0.0869495
4,centered,17,-0.0986718
4,centered,18,-0.103711
4,centered,19,-0.10543
4,centered,20,-0.104367
4,centered,21,-0.0885983
4,centered,22,-0.0697293
4,centered,23,-0.0498548
4,centered,24,-0.0370347
4,centered,25,-0.00529699
4,centered,26,0.00766089
4,centered,27,-0.0255856
4,centered,28,-0.119243
5,raw,0,0.984989
5,raw,1,0.984706
5,raw,2,0.984387
5,raw,3,0.983945
5,raw,4,0.983467
5,raw,5,0.982894
5,raw,6,0.982311
5,raw,7,0.981611
5,raw,8,0.98087
5,raw,9,0.980097
5,raw,10,0.979333
5,raw,11,0.978506
5,raw,12,0.97773
5,raw,13,0.976821
5,raw,14,0.975837
5,raw,15,0.975023
5,raw,16,0.97427
5,raw,17,0.973708
5,raw,18,0.973273
5,raw,19,0.973021
5,raw,20,0.972596
5,raw,21,0.972645
5,raw,22,0.972701
5,raw,23,0.972843
5,raw,24,0.97297
5,raw,25,0.973916
5,raw,26,0.974156
5,raw,27,0.973651
5,raw,28,0.969213
5,centered,0,0.270245
5,centered,1,0.254979
5,centered,2,0.23871
5,centered,3,0.218872
5,centered,4,0.198147
5,centered,5,0.173581
5,centered,6,0.151124
5,centered,7,0.126379
5,centered,8,0.102326
5,centered,9,0.078361
5,centered,10,0.0565564
5,centered,11,0.0308456
5,centered,12,0.00761855
5,centered,13,-0.0189223
5,centered,14,-0.047291
5,centered,15,-0.0700713
5,centered,16,-0.0876033
5,centered,17,-0.0986138
5,centered,18,-0.103498
5,centered,19,-0.105276
5,centered,20,-0.104535
5,centered,21,-0.0898671
5,centered,22,-0.0720574
5,centered,23,-0.0538491
5,centered,24,-0.0423643
5,centered,25,-0.0125334
5,centered,26,-0.000123595
5,centered,27,-0.0293422
5,centered,28,-0.119979
6,raw,0,0.98269
6,raw,1,0.982362
6,raw,2,0.982005
6,raw,3,0.981508
6,raw,4,0.980975
6,raw,5,0.98034
6,raw,6,0.979695
6,raw,7,0.978929
6,raw,8,0.978122
6,raw,9,0.977288
6,raw,10,0.976474
6,raw,11,0.975593
6,raw,12,0.974768
6,raw,13,0.973801
6,raw,14,0.972752
6,raw,15,0.971878
6,raw,16,0.971072
6,raw,17,0.97047
6,raw,18,0.969996
6,raw,19,0.969711
6,raw,20,0.969237
6,raw,21,0.96926
6,raw,22,0.969299
6,raw,23,0.969423
6,raw,24,0.969513
6,raw,25,0.970461
6,raw,26,0.970688
6,raw,27,0.970127
6,raw,28,0.965445
6,centered,0,0.257237
6,centered,1,0.241851
6,centered,2,0.225681
6,centered,3,0.206016
6,centered,4,0.185651
6,centered,5,0.161684
6,centered,6,0.139728
6,centered,7,0.115647
6,centered,8,0.0923429
6,centered,9,0.0692968
6,centered,10,0.0485836
6,centered,11,0.0242575
6,centered,12,0.00240744
6,centered,13,-0.0225926
6,centered,14,-0.0491362
6,centered,15,-0.0704566
6,centered,16,-0.086814
6,centered,17,-0.0970306
6,centered,18,-0.101906
6,centered,19,-0.104043
6,centered,20,-0.104016
6,centered,21,-0.0910911
6,centered,22,-0.0750324
6,centered,23,-0.0591752
6,centered,24,-0.0494254
6,centered,25,-0.0223855
6,centered,26,-0.0107779
6,centered,27,-0.0361227
6,centered,28,-0.123439
7,raw,0,0.980019
7,raw,1,0.979638
7,raw,2,0.979236
7,raw,3,0.978675
7,raw,4,0.978077
7,raw,5,0.977367
7,raw,6,0.976645
7,raw,7,0.975797
7,raw,8,0.974905
7,raw,9,0.973995
7,raw,10,0.973121
7,raw,11,0.972177
7,raw,12,0.971296
7,raw,13,0.97026
7,raw,14,0.969137
7,raw,15,0.968193
7,raw,16,0.967321
7,raw,17,0.966667
7,raw,18,0.96615
7,raw,19,0.965834
