cluster_id,dominant_point_group,fraction
0,mm2,0.7466567797693625
1,m-3m,0.5925547445255475
2,2/m,0.28953185955786737
3,mmm,0.21142741363590314
4,mmm,0.19828924538065812
5,mm2,0.3003040550140661
6,m,0.35620698782424565
7,-3m,0.7449603781454192
8,mm2,0.5839668994052237
9,-43m,0.9701658241602494
10,m,0.5505954296749276
11,-42m,0.48084871865527695
12,4/mmm,0.5727972129481782
13,-43m,0.8919701580445666
14,m-3m,0.9316337357689771
15,mmm,0.2429055027369634
16,mm2,0.31728931364031276
17,2/m,0.5252321135991261
18,m,0.40004671396455577
19,-42m,0.40661452810180276
20,-43m,0.9770553858414132
21,mm2,0.48281413279859914
22,-43m,0.9964905439656854
23,4mm,0.3473184292829839
24,mmm,0.40417594319754496
25,-42m,0.4995841234986858
26,mmm,0.18452544704264098
27,-43m,0.9644833802460546
28,-3m,0.7244490996253474
29,4mm,0.2309578601878749
30,4mm,0.4109053090332805
31,6/mmm,0.2180619930475087
32,mmm,0.36047719474959866
33,2/m,0.46438758215865406
34,-43m,0.9854286864349926
35,4/mmm,0.46582527454515654
36,m,0.5540620176792479
37,4mm,0.5055713349355473
38,-43m,0.5447108130762783
39,mm2,0.4259111701342777
40,mmm,0.5148044903186921
41,2/m,0.30939655429816965
42,-3m,0.5804806277587052
43,m,0.44193424056449937
44,m-3m,0.2663680332391989
45,-3m,0.8231724571608238
46,mm2,0.4692377771029456
47,4/mmm,0.3705258156477669
48,-43m,0.9654310219508649
49,-42m,0.282528971688426
