cluster_id,dominant_space_group_symbol,fraction
0,Cmmm,0.26408412919841184
1,Imm2,0.2931133155284243
2,Pm,0.9715767427944549
3,F-43m,0.9210789210789211
4,Cmmm,0.46898747919229933
5,P2/m,0.406051289218084
6,R-3m,0.8007299270072993
7,Pmmm,0.4035906931809033
8,F-43m,0.9908854166666666
9,Imm2,0.4873206389315044
10,Imm2,0.3828909612625538
11,F-43m,0.9966732508576776
12,Pmmm,0.4212176449143274
13,C2/m,0.19760056457304165
14,Cm,0.992213719962411
15,F-43m,0.994278303326213
16,I-4m2,0.8621471488493369
17,F-43m,0.9994884619756735
18,P4/mmm,0.8714555765595463
19,R-3m,0.8070539419087137
20,I-4m2,0.7259575257349532
21,Immm,0.5102270757496966
22,C2/m,0.18847209515096067
23,Fm-3m,0.16243461721350452
24,R-3m,0.8716446124763705
25,P4mm,0.7202072538860104
26,Immm,0.4916159789577511
27,P2/m,0.33586257772157235
28,Imm2,0.41221250404923876
29,Pm-3m,0.4338604417670683
30,Fm-3m,0.5867420945749927
31,P-3m1,0.22629465664573253
32,C2/m,0.7105829210582921
33,P4mm,0.7935123231981028
34,Imm2,0.4336441555995102
35,Cmmm,0.49845556438090194
36,Cm,0.9323700106597181
37,P2/m,0.909483774652314
38,P6_3/mmc,0.13061145510835914
39,I4/mmm,0.5221976697468863
40,P4mm,0.6667708007914194
41,Pmmm,0.9090909090909091
42,Cm,0.950591679882884
43,I4mm,0.7149496514329977
44,F-43m,0.8708765981493254
45,I4/mmm,0.24793775778027746
46,Pm,0.9161907126893469
47,Pm,0.9760990183525394
48,I4/mmm,0.9765138653084323
49,F-43m,0.9981159846923756
50,Cmmm,0.5156734693877552
51,C2/m,0.9410734521479345
52,P4/mmm,0.8847641144624904
53,P4mm,0.6882909992034694
54,P4/mmm,0.8526034448624035
55,Fm-3m,0.7880088717178222
56,I4/mmm,0.4897984729002378
57,I4/mmm,0.5434749271584113
58,F-43m,0.9222663298448214
59,I4/mmm,0.5662768988896532
60,P3m1,0.7727107777912181
61,F-43m,0.9954954954954955
62,Imm2,0.4171859016088533
63,P4/mmm,0.8440864773208987
64,C2/m,0.41520725160608996
65,Pm,0.8218507462686567
66,I-4m2,0.7334914264866836
67,F-43m,0.576
68,C2/m,0.7862713006642919
69,R-3m,0.9871257485029941
70,F-43m,0.9356057904870569
71,P4mm,0.7493166103875221
72,Fm-3m,0.883418043202033
73,F-43m,0.993935525055857
74,Cm,0.9853615905615032
75,P4/mmm,0.7764888658726049
76,Cmmm,0.5671990357089046
77,I-4m2,0.5969683845820701
78,Fm-3m,0.3353287232944576
79,P4mm,0.5276042967774169
80,R-3m,0.8281738755258332
81,R-3m,0.8742587194692933
82,C2/m,0.8582297000731529
83,P4mm,0.6704424778761062
84,Fm-3m,0.7223180148436914
85,P2/m,0.4712041884816754
86,C2/m,0.2967046580773043
87,P6_3/mmc,0.19838326200665715
88,Cm,0.9832498021630177
89,P4/mmm,0.43299089423301423
90,F-43m,0.5117290795871364
91,C2/m,0.36367471785676614
92,P6_3/mmc,0.1511908205573233
93,F-43m,0.9981067777357062
94,I-4m2,0.7554807790353829
95,I4/mmm,0.5226727822370478
96,P4mm,0.862631087114526
97,C2/m,0.8589134715626086
98,C2/m,0.8264269872767597
99,R-3m,0.9531134447566928
100,Cmmm,0.4587025877348458
101,P4/mmm,0.909187250346458
102,Pmm2,0.8058349098874839
103,P6_3/mmc,0.10892480674631061
104,F-43m,0.9983187134502924
105,R-3m,0.8159107197706563
106,Fm-3m,0.7374273439474349
107,P-6m2,0.23698310207446077
108,I4/mmm,0.492517138167423
109,Cm,0.8069189828503844
110,C2/m,0.8349451966473244
111,Pmmm,0.3843074459567654
112,Imm2,0.37379903923138513
113,P3m1,0.7460855233037268
114,P2/m,0.37154402381965124
115,P6_3/mmc,0.17959985041136872
116,F-43m,0.9998101385988228
117,Cm,0.9800492291747636
118,Fd-3m,0.3691768826619965
119,Pm,0.9742406056689134
120,Imm2,0.4426900106356868
121,P4/mmm,0.9061137314229777
122,I4/mmm,0.6500694766095415
123,Imm2,0.42142520056630484
124,Cmcm,0.13141466511480265
125,P3m1,0.7367102396514161
126,Cm,0.9632849136452019
127,I-4m2,0.5249423042783596
128,Cmmm,0.4601384767556874
129,Pmmm,0.4651448208149239
130,P4mm,0.5750129065565307
131,R-3m,0.7694505899705014
132,R3m,0.9699521966765309
133,Immm,0.44013157894736843
134,I4/mmm,0.5583063864187551
135,I4mm,0.8043082948664149
136,F-43m,0.9890028723840788
137,Cm,0.9926253687315634
138,Imm2,0.41786077470648053
139,Cm,0.196189764661935
140,F-43m,0.9452473419494493
141,Cmcm,0.20584266095102008
142,Pmmm,0.3713710836447255
143,R-3m,0.8149120248857782
144,I4/mmm,0.449132869042742
145,P2/m,0.4345835534425075
146,Imm2,0.4533712936601625
147,F-43m,0.7570425252759126
148,Imm2,0.42756043256997456
149,Pm,0.9149118511263468
