cluster_id,dominant_point_group,fraction
0,mmm,0.45852559287477196
1,mm2,0.7256772224341854
2,m,0.973272165154084
3,-43m,0.9213863060016906
4,mmm,0.901208656003474
5,2/m,0.40626091817483057
6,-3m,0.8007299270072993
7,mmm,0.4039127284437646
8,-43m,0.9910386029411765
9,mm2,0.9058749210360075
10,mm2,0.8817252510760402
11,-43m,0.9967252313130263
12,mmm,0.42129055778344876
13,mmm,0.5107033639143731
14,m,0.9931534434152235
15,-43m,0.994278303326213
16,-42m,0.8621471488493369
17,-43m,0.9994884619756735
18,4/mmm,0.8714555765595463
19,-3m,0.8071692023974182
20,-42m,0.7259575257349532
21,mmm,0.8729415843300399
22,mmm,0.5164684354986276
23,m-3m,0.43376129339039465
24,-3m,0.8717391304347826
25,4mm,0.722279792746114
26,mmm,0.895117540687161
27,2/m,0.33596796290441566
28,mm2,0.9325396825396826
29,m-3m,0.4338604417670683
30,m-3m,0.5877574702639977
31,6/mmm,0.23597240811283846
32,2/m,0.7123037212303721
33,4mm,0.7935970187177098
34,mm2,0.933502872751248
35,mmm,0.9083929044214986
36,m,0.9346203955939831
37,2/m,0.909483774652314
38,6/mmm,0.27544504643962847
39,4/mmm,0.5223985536359984
40,4mm,0.6667708007914194
41,mmm,0.9099720957556175
42,m,0.9510796632914481
43,4mm,0.7151709638154254
44,-43m,0.8710885074521438
45,4/mmm,0.46006749156355453
46,m,0.9161907126893469
47,m,0.9793000426803243
48,4/mmm,0.9773627617430674
49,-43m,0.9981159846923756
50,mmm,0.8157551020408164
51,2/m,0.9459153188420727
52,4/mmm,0.8847641144624904
53,4mm,0.6882909992034694
54,4/mmm,0.8527024351613541
55,m-3m,0.7882235100522287
56,4/mmm,0.49430466891976466
57,4/mmm,0.747738076982058
58,-43m,0.9222663298448214
59,4/mmm,0.5664734204578953
60,3m,0.7727107777912181
61,-43m,0.9954954954954955
62,mm2,0.9272761089928392
63,4/mmm,0.8440864773208987
64,mmm,0.5121886825662237
65,m,0.8219701492537314
66,-42m,0.7334914264866836
67,-43m,0.5760879120879121
68,2/m,0.7914701068643497
69,-3m,0.9871257485029941
70,-43m,0.9356771019040149
71,4mm,0.7493166103875221
72,m-3m,0.883497458703939
73,-43m,0.993935525055857
74,m,0.9856893161459471
75,4/mmm,0.7764888658726049
76,mmm,0.8768268796142835
77,-42m,0.5969683845820701
78,m-3m,0.6083187119413768
79,4mm,0.5276875676575902
80,-3m,0.8281738755258332
81,-3m,0.8750628203839582
82,2/m,0.8596927578639356
83,4mm,0.672330383480826
84,m-3m,0.7227678236749382
85,2/m,0.4712041884816754
86,mmm,0.49554013875123887
87,4/mmm,0.34645744174988113
88,m,0.9866789765233448
89,4/mmm,0.43952836796637873
90,-43m,0.5117290795871364
91,mmm,0.39151988186900116
92,6/mmm,0.3470253591746215
93,-43m,0.9981067777357062
94,-42m,0.7554807790353829
95,4/mmm,0.5248618784530387
96,4mm,0.862631087114526
97,2/m,0.8618093362678095
98,2/m,0.8341309676666278
99,-3m,0.9563674012720011
100,mmm,0.8676887628500531
101,4/mmm,0.909268769870384
102,mm2,0.8059344817285672
103,6/mmm,0.20038148780242948
104,-43m,0.9983187134502924
105,-3m,0.8162178765229856
106,m-3m,0.738017016258108
107,-6m2,0.37285341393048493
108,4/mmm,0.4929033503910399
109,m,0.8780307510348906
110,2/m,0.840379478677351
111,mmm,0.3843074459567654
112,mm2,0.7586068855084067
113,3m,0.7460855233037268
114,2/m,0.37154402381965124
115,6/mmm,0.25476813762154077
116,-43m,0.9998101385988228
117,m,0.9844539448115041
118,m-3m,0.44985405720957383
119,m,0.974332933247161
120,mm2,0.906487768960157
121,4/mmm,0.9062027231467473
122,4/mmm,0.6509958314034275
123,mm2,0.9175082586125531
124,mmm,0.6595069304835467
125,3m,0.7367102396514161
126,m,0.9658012123984903
127,-42m,0.5249423042783596
128,mmm,0.8537091988130564
129,mmm,0.4651448208149239
130,4mm,0.5758389261744966
131,-3m,0.7698193215339233
132,3m,0.9700660141133621
133,mmm,0.855733082706767
134,4/mmm,0.5635610347615198
135,4mm,0.80444817456987
136,-43m,0.9890028723840788
137,m,0.9927307206068268
138,mm2,0.9541462512711473
139,m,0.2212924915950691
140,-43m,0.9455020054752657
141,mmm,0.6346749226006192
142,mmm,0.37165852256395515
143,-3m,0.8149120248857782
144,4/mmm,0.6450908097774136
145,2/m,0.43467159711216763
146,mm2,0.9534060134712867
147,-43m,0.7571197036351007
148,mm2,0.9228689567430025
149,m,0.9149118511263468
