chemsys,n_elements,n_entries,status,n_prompts
Hg-Pd-Tl,3,51,ok,1
Hg-Pt-Sr,3,68,ok,1
Hg-Pt-Ti,3,58,ok,1
Hg-Rh-Tc,3,37,ok,1
Hg-Ru-Sn-Tc,4,49,ok,1
Hg-Sn-V,3,42,ok,1
Hg-Sr-Tc,3,53,ok,1
Hg-Sr-Te,3,68,ok,1
Hg-Sr-Y,3,58,ok,1
Hg-Te-Yb,3,39,ok,1
Hg-Ti,2,36,ok,1
Hg-Ti-Zr,3,51,ok,1
Hg-Y,2,30,ok,1
Ho-I-Na-Rb,4,61,ok,1
Ho-K,2,27,ok,1
Ho-Mg-Pd-Rh,4,84,ok,1
Ho-Mo-N-O,4,211,ok,1
Ho-Nd,2,15,ok,1
Ho-Pa-Re,3,17,ok,1
In-Ir,2,14,ok,1
In-K-Li,3,58,ok,1
In-K-P,3,66,ok,1
In-K-Re,3,43,ok,1
In-K-Ta,3,46,ok,1
In-La-Li-Zn,4,78,ok,1
In-La-Rb,3,41,ok,1
In-Li-Si,3,85,ok,1
In-Li-W,3,37,ok,1
In-Mg-Pt,3,85,ok,1
In-Mg-Sn,3,145,ok,1
In-Mn-Ru,3,23,ok,1
In-Mn-W,3,25,ok,1
In-Na-Se,3,61,ok,1
In-Np-Ru,3,18,ok,1
In-O-Sn,3,110,ok,1
In-Pb-W,3,27,ok,1
In-Pt-Re,3,34,ok,1
In-Ru-W,3,23,ok,1
In-Se,2,33,ok,2
In-Si-Tl,3,66,ok,1
In-Tc,2,11,ok,1
In-Tc-Y,3,23,ok,1
Ir-K-Mg-P,4,92,ok,1
Ir-K-Ti,3,43,ok,1
Ir-La-Mn,3,29,ok,1
Ir-La-V-Y,4,53,ok,1
Ir-Li-Mo-Sn,4,66,ok,1
Ir-Li-N,3,61,ok,1
Ir-Mg-Mo,3,42,ok,1
Ir-Mn-Nb-Tl,4,39,ok,1
Ir-Mn-Sb,3,49,ok,1
Ir-Nb-Pt,3,28,ok,1
Ir-Nb-Zn,3,30,ok,1
Ir-Ni-Rh,3,24,ok,1
Ir-Ni-Tc,3,20,ok,1
Ir-Np-Ta,3,22,ok,1
Ir-Pb-Ru,3,20,ok,1
Ir-Rh-Se,3,37,ok,1
Ir-Sb,2,21,ok,1
Ir-V,2,19,ok,1
K-Li-Pd,3,48,ok,1
K-Mn-Ru,3,38,ok,1
K-Mn-Ta-Ti,4,65,ok,1
K-Na-Ni,3,48,ok,1
K-Na-Re,3,50,ok,1
K-Nb-Pb,3,40,ok,1
K-Ni-Pd,3,34,ok,1
K-Os-Te,3,43,ok,1
K-Pb-Zn,3,47,ok,1
K-S-Sb,3,97,ok,1
K-S-Sn-Tl,4,146,ok,1
K-Sb-W,3,53,ok,1
K-Sr-W,3,48,ok,1
K-Ti,2,32,ok,1
K-Ti-Y,3,41,ok,1
K-Tl-Y,3,50,ok,1
K-V-Zn,3,39,ok,1
K-Y,2,28,ok,1
La-Li-Zn,3,44,ok,1
La-N-O-Ta,4,199,ok,1
La-Na-Pd,3,34,ok,1
La-Na-Rh,3,41,ok,1
La-Na-Sc-V,4,40,ok,1
La-Na-Sn,3,58,ok,1
La-Nb-Pt-Y,4,46,ok,1
La-Nb-Re,3,15,ok,1
La-Ni-Y,3,41,ok,1
La-P-Sr,3,47,ok,1
La-Pb-Tl,3,31,ok,1
La-Pr-Th,3,20,ok,1
La-Pt-Zr,3,33,ok,1
La-Rh-Ru-Sc,4,58,ok,1
La-Sn,2,26,ok,1
La-Ta-Ti-Zn,4,62,ok,1
La-Tb,2,11,ok,1
La-W,2,11,ok,1
Li-Mn-Nb-O,4,745,ok,1
Li-Mo-Nb-Zr,4,41,ok,1
Li-Ni-Rh,3,30,ok,1
Li-O-Ti-V,4,822,ok,1
Li-Re-Ti,3,31,ok,1
Li-Rh-Tc-Y,4,46,ok,1
Li-Sc-Zr,3,32,ok,1
Li-Si-Sn,3,88,ok,1
Lu-Mg-Nb-Os,4,55,ok,1
Lu-Nd-S,3,66,ok,1
Lu-Nd-Tm,3,21,ok,1
Lu-Pr-Rh,3,30,ok,1
Lu-Rh-Th,3,25,ok,1
Mg-Mo-Ni,3,55,ok,1
Mg-Mo-Sc,3,52,ok,1
Mg-Nb-Si,3,755,ok,1
Mg-O-P-V,4,607,ok,1
Mg-Rh-Tc,3,30,ok,1
Mg-Ru-Sb,3,88,ok,1
Mg-Sc-Zr,3,64,ok,1
Mg-Se-Te,3,46,ok,2
Mg-Sn-Zr,3,157,ok,1
Mg-Ta-Tl,3,40,ok,1
Mg-Ti-Tl,3,117,ok,1
Mg-Tl,2,24,ok,1
Mg-Tl-Y,3,109,ok,1
Mg-Yb,2,8,ok,1
Mn-Mo-Te,3,47,ok,1
Mn-Na-Y,3,33,ok,1
Mn-Ni-Sn,3,54,ok,1
Mn-Ni-W,3,27,ok,1
Mn-O-Se-Sr,4,211,ok,1
Mn-O-Te-Zn,4,268,ok,1
Mn-P-Sb,3,63,ok,1
Mn-Pb-Ru,3,18,ok,1
Mn-Pd-Pt,3,32,ok,1
Mn-Pd-Pt-Rh,4,48,ok,1
Mn-Rh-Se-Te,4,75,ok,1
Mn-Si-Tc-Zr,4,104,ok,1
Mn-Sn,2,28,ok,2
Mn-Sn-Tb,3,47,ok,1
Mn-Ti-Tl,3,32,ok,1
Mn-Zr,2,21,ok,1
Mo-N-O-Sc,4,218,ok,1
Mo-Na-Rh,3,37,ok,1
Mo-Na-Sb,3,42,ok,1
Mo-Na-Sc,3,37,ok,1
Mo-Ni-Se,3,57,ok,1
Mo-Os-Pb,3,26,ok,1
Mo-Os-Ru-Zn,4,43,ok,1
Mo-Os-Se,3,43,ok,1
Mo-Os-Ti,3,36,ok,1
Mo-Re-Ta,3,36,ok,1
Mo-Sb-Tl,3,34,ok,1
Mo-Sc-W,3,29,ok,1
Mo-Sm-Sr,3,27,ok,1
Mo-Sr-Zn,3,41,ok,1
N-Na-Te,3,63,ok,1
N-O-Pr-Th,4,122,ok,1
N-Ta-W-Yb,4,94,ok,1
Na-Nb-Ru,3,35,ok,1
Na-Nb-U,3,37,ok,1
Na-Nb-Y,3,27,ok,1
Na-Ni-O,3,181,ok,1
Na-Ni-Zn,3,49,ok,1
Na-O-P-Pb,4,219,ok,1
Na-O-Re,3,93,ok,1
Na-Os-Rh,3,31,ok,1
Na-Os-Si,3,85,ok,1
Na-Os-Tc,3,32,ok,1
Na-P-Pd,3,49,ok,1
Na-P-Se,3,56,ok,1
Na-Pb-Tl,3,47,ok,1
Na-Sb-Zr,3,50,ok,1
Na-Ti-V,3,32,ok,1
Na-V-Zn,3,32,ok,1
Nb-Ni-Ru-W,4,53,ok,1
Nb-Os-Pb,3,25,ok,1
Nb-P-Pt,3,47,ok,1
Nb-Pb-Se,3,55,ok,1
Nb-Pb-Si,3,69,ok,1
Nb-Pd-Sb,3,49,ok,1
Nb-Re-Ru,3,26,ok,1
Nb-Ru-Ti-Tl,4,44,ok,1
Nb-Sc-Sr,3,32,ok,1
Nb-Sn-Zr,3,61,ok,1
Nb-Tm-W,3,19,ok,1
Nd-O-V,3,260,ok,1
Nd-O-Yb,3,45,ok,1
Nd-Pb-Ru,3,22,ok,1
Ni-Pb-V-Zr,4,56,ok,1
Ni-Re-S,3,75,ok,1
Ni-Re-V,3,24,ok,1
Ni-Rh-Sn,3,42,ok,1
Ni-Sb-Sc,3,56,ok,1
Ni-Si,2,59,ok,1
Ni-Sn,2,24,ok,1
Ni-Sn-V-W,4,50,ok,1
Ni-Ta-V,3,39,ok,1
Np-Te-Zn,3,37,ok,1
O-Os-Pb-Ru,4,79,ok,1
O-Pa-Pb,3,63,ok,1
O-Pb-Se-Sr,4,130,ok,1
O-Pb-Te-Ti,4,260,ok,1
O-Pr-Sb,3,125,ok,1
O-Pt-Tc,3,51,ok,1
O-S-Sm,3,95,ok,1
Os-Pd-Rh,3,17,ok,1
Os-Pd-Sn-Sr,4,57,ok,1
Os-Pt-Si,3,71,ok,1
Os-Sb-Sc-Te-Y,5,109,ok,1
Os-Se,2,16,ok,1
Os-Si-Tl,3,65,ok,1
Os-Sn-Te,3,32,ok,1
Os-Sn-Zr,3,63,ok,1
Os-W,2,15,ok,1
P-Pb-Tl,3,37,ok,1
P-Pr-Rh,3,45,ok,1
P-Re-Tc,3,37,ok,2
P-Rh,2,25,ok,1
P-Sb-Sc,3,55,ok,1
P-Se-W,3,49,ok,1
P-Sr,2,35,ok,1
P-Sr-Tc,3,43,ok,1
P-Sr-Y,3,45,ok,1
Pa-Pd-Ru,3,11,ok,1
Pa-Sn-U,3,32,ok,1
Pb-Pd-Pt,3,28,ok,1
Pb-Se-Ta,3,55,ok,1
Pb-Si-Sn,3,68,ok,1
Pb-Sr,2,24,ok,1
Pb-Y-Zr,3,26,ok,1
Pd-Pu-Zr,3,39,ok,1
Pd-Se-V,3,42,ok,1
Pd-Si,2,53,ok,1
Pd-Tb-Tl,3,34,ok,1
Pd-Tl-Zn,3,40,ok,1
Pd-W,2,15,ok,1
Pm-Te-Y,3,30,ok,1
Pm-Y,2,13,ok,1
Pr-Pt,2,22,ok,1
Pr-Pu,2,19,ok,1
Pr-Sb-Tb,3,48,ok,1
Pr-Sm,2,20,ok,1
Pt-Si-W,3,73,ok,1
Pt-Sn-Zr,3,71,ok,1
Pt-Ta,2,18,ok,1
Pt-Te-W,3,37,ok,1
Pu-Re,2,15,ok,1
Pu-Re-Si,3,71,ok,1
Pu-Sn-Ta,3,38,ok,1
Pu-Tl-Yb,3,15,ok,1
Re-Sc,2,18,ok,1
Re-Ta,2,17,ok,1
Re-Ta-Tl,3,25,ok,1
Re-Ta-V,3,29,ok,1
Re-Ti-Y,3,25,ok,1
Re-W,2,20,ok,1
Re-Y,2,10,ok,1
Re-Yb,2,5,ok,1
Rh-Ru,2,12,ok,1
Rh-Sn-V,3,41,ok,1
Rh-Te,2,26,ok,1
Ru-Sc-Se,3,38,ok,1
Ru-Sn-Ta,3,39,ok,1
Ru-Sr-Ti,3,27,ok,1
Sb-Sc-Se,3,52,ok,1
Sb-Sc-Ti,3,52,ok,1
Sb-Sc-Tl,3,44,ok,1
Sb-Sc-V,3,42,ok,1
Sb-Se,2,27,ok,1
Sb-Se-Tc,3,30,ok,1
Sb-Sn,2,31,ok,1
Sc-Si-Zn,3,78,ok,2
Se-Si-Y,3,78,ok,1
Se-Sn-Zr,3,85,ok,1
Se-Ta-Ti,3,75,ok,1
Se-W-Zr,3,45,ok,1
Si-Ti-Zr,3,90,ok,1
Si-Tl,2,51,ok,1
Sn-Te-W,3,38,ok,1
Sr-Ta-V,3,28,ok,1
Sr-Ti-Tl,3,36,ok,1
Sr-Zr,2,19,ok,1
Ta-Tc,2,14,ok,1
Ta-Ti,2,24,ok,1
Ta-V,2,16,ok,1
Tb-Tl-V,3,24,ok,1
Tl-W-Zn,3,26,ok,1
