alpha,n,median_per_atom,median_ref_per_atom,median_ratio_per_atom,median_ratio_written,written_lattice_consistent,mean_per_atom,parsed_frac
0.0,3000,19.2727,19.23005,1.0,1.0,0.968,20.69648819127591,1.0
40.0,3000,19.3460875,19.23005,1.0040371998762554,1.0040259211615192,0.947,20.838865695305383,1.0
80.0,3000,19.649129166666665,19.23005,1.0055427263238397,1.005078659120954,0.9086666666666666,21.386619312315435,0.9993333333333333
