layer,label_col,split,n_train,n_test,n_classes,majority_acc,composition_acc,composition_macro_f1,embedding_acc,embedding_macro_f1,margin_over_composition,margin_over_majority
0,space_group_symbol,random,6000,1998,65,0.16716716716716717,0.2852852852852853,0.08417874522647127,0.965965965965966,0.9537866219849513,0.6806806806806807,0.7987987987987988
0,space_group_symbol,by_formula,5955,2043,65,0.17474302496328928,0.28291727851199217,0.07979904569151171,0.9623103279490944,0.9523167180336309,0.6793930494371023,0.7875673029858051
5,space_group_symbol,random,6000,2000,66,0.168,0.2885,0.08770014283524404,0.9675,0.876817820361098,0.679,0.7995
5,space_group_symbol,by_formula,6032,1965,64,0.1618320610687023,0.28346055979643764,0.09129795251266605,0.956234096692112,0.9440859346484397,0.6727735368956744,0.7944020356234097
15,space_group_symbol,random,6000,2000,64,0.1785,0.2925,0.0703223963129689,0.954,0.8376218481245654,0.6615,0.7755
15,space_group_symbol,by_formula,5966,2034,64,0.17453294001966568,0.2753195673549656,0.06885279930655508,0.9528023598820059,0.7971976588665047,0.6774827925270404,0.7782694198623402
