bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
5,6,35,0.407931,-0.926565,-1.61832,-0.0615,-0.237014,0.171015,0.750719,-0.0669447,0.862407,0.263189,0.465754,0.500149
6,7,78,0.529911,-0.939533,-1.29854,-0.390516,-0.150166,0.0192981,0.666155,-0.0624381,0.670488,0.139094,0.385886,0.508867
7,8,318,0.228644,0.142725,-0.56278,-0.116349,-0.177587,-0.0936237,0.332236,0.0229293,0.377085,0.280245,0.025008,0.562348
8,9,2410,0.735631,0.428924,0.284591,0.469987,-0.532305,-1.00146,0.0375316,-0.220873,0.174391,0.113968,-0.121861,-0.0468147
9,10,6191,0.0342402,0.0283065,0.345797,0.372741,-0.361822,-0.667889,-0.164718,-0.0792299,0.178196,-0.127912,-0.110962,0.195975
10,11,9291,0.0260118,0.398242,0.258475,0.154048,-0.212136,-0.468463,-0.160439,-0.161737,0.117376,-0.0208636,-0.0588724,0.268202
11,12,11882,0.327155,0.753017,0.21603,0.0358656,-0.194655,-0.385162,-0.0898452,-0.184732,0.0889049,0.0854995,0.0569929,0.186258
12,13,13083,0.123366,0.669036,0.192426,-0.0171495,-0.0220782,-0.169308,-0.171241,-0.105064,0.0881579,0.0991408,0.110205,0.140807
13,14,12073,-0.158844,0.462419,0.138107,-0.0205631,0.0515352,-0.0104236,-0.190858,-0.0484044,0.103569,0.120907,0.11495,0.102719
14,15,10207,-0.326232,0.324367,0.0347769,-0.0308972,0.0780688,0.0741587,-0.158725,-0.0441395,0.102798,0.121394,0.107769,0.070351
15,16,8217,-0.291369,0.155339,0.00228914,-0.0905166,0.133668,0.159997,-0.16283,-0.0172468,0.0920311,0.126234,0.100968,0.0436533
16,17,6416,-0.237569,-0.0552118,-0.10759,-0.115496,0.147395,0.170257,-0.0487253,0.0444262,0.0259017,0.108764,0.111436,0.0585973
17,18,5403,-0.0701709,-0.195552,-0.202956,-0.118839,0.0963572,0.153493,0.0265284,0.0686643,-0.0503611,0.0710484,0.0880584,0.0564298
18,19,4726,0.0579439,-0.386897,-0.23836,-0.0801354,0.125769,0.089594,0.103527,0.141167,-0.120166,0.0292916,0.0261551,0.0446149
19,20,4350,0.0824577,-0.517221,-0.25909,0.0157047,0.140695,0.0702733,0.156262,0.18805,-0.14283,-0.0540221,-0.0269095,0.0318971
20,21,3860,0.0897412,-0.654114,-0.245711,0.0177038,0.178887,0.0483574,0.170999,0.170877,-0.15239,-0.115578,-0.0684851,0.0203047
21,22,3587,0.0632626,-0.784798,-0.218802,-0.00838449,0.228428,0.021025,0.17205,0.172228,-0.176504,-0.17342,-0.154292,0.0104809
22,23,3163,0.0743292,-0.758879,-0.21252,-0.0342217,0.297804,0.0328079,0.139617,0.188239,-0.24123,-0.19163,-0.155631,-0.0430793
23,24,2991,0.0656241,-0.656061,-0.206465,-0.00605935,0.232836,0.0882954,0.155033,0.215054,-0.228452,-0.172661,-0.170872,-0.0998195
24,25,2666,-0.0403346,-0.624167,-0.19841,-0.0389149,0.231478,0.116679,0.195232,0.194409,-0.201584,-0.166308,-0.162384,-0.141167
25,26,2235,-0.0163342,-0.686686,-0.252231,-0.111087,0.270569,0.155747,0.203299,0.186013,-0.180046,-0.106101,-0.149845,-0.198539
26,27,1995,-0.089601,-0.558458,-0.266403,-0.145611,0.239999,0.215353,0.216345,0.17418,-0.131346,-0.0776232,-0.122948,-0.261155
27,28,1939,-0.10114,-0.544839,-0.269523,-0.0952786,0.220118,0.284818,0.220219,0.148488,-0.124347,-0.0732971,-0.0794688,-0.278874
28,29,1773,-0.0506238,-0.582607,-0.363552,-0.0530154,0.234941,0.279583,0.196779,0.192376,-0.0958277,-0.100811,-0.0253555,-0.320909
29,30,1507,-0.0453929,-0.469743,-0.430883,0.0771715,0.21516,0.337398,0.178589,0.210525,-0.0854764,-0.136029,0.0233889,-0.380974
30,31,1368,-0.082253,-0.442991,-0.45071,0.121395,0.148831,0.400533,0.12571,0.226389,-0.0926026,-0.110212,0.061818,-0.378914
31,32,1150,0.00698914,-0.580628,-0.397928,0.119579,0.171656,0.413324,0.165455,0.197164,-0.0799382,-0.0974229,0.0296844,-0.429111
32,33,1046,0.131729,-0.614178,-0.421731,0.204081,0.194833,0.455539,0.103838,0.196197,-0.0749626,-0.0826258,0.0582548,-0.438077
33,34,945,0.147023,-0.508462,-0.578539,0.408252,0.138578,0.537785,0.0965822,0.196727,-0.0995062,-0.169042,0.181378,-0.431532
34,35,709,0.00333443,-0.535243,-0.336447,0.136888,0.230351,0.477533,0.207346,0.180664,-0.0347967,-0.118727,-0.0224566,-0.522982
35,36,619,0.16151,-0.533533,-0.373932,0.237016,0.212578,0.564803,0.126207,0.1463,-0.0565286,-0.161008,0.0646203,-0.500101
36,37,473,-0.16175,-0.316971,-0.122168,-0.0393147,0.207443,0.572694,0.226055,0.161413,-0.0162033,-0.0745932,-0.112845,-0.535152
37,38,445,-0.305266,-0.41518,-0.104114,0.192112,0.117784,0.597198,0.214452,0.192621,0.020946,-0.112997,-0.0942374,-0.569983
38,39,392,-0.151565,-0.575464,-0.0385943,0.225035,0.176043,0.631698,0.175203,0.177118,0.00753306,-0.142135,-0.108709,-0.608206
39,40,304,-0.181538,-0.497769,-0.0301138,0.003728,0.143497,0.599778,0.269502,0.19214,0.0495073,-0.0798986,-0.18426,-0.601741
40,41,296,-0.22291,-0.527636,0.00163587,0.13441,0.0567313,0.675044,0.182551,0.235872,0.073223,-0.118585,-0.166027,-0.608194
41,42,212,-0.184756,-0.566764,0.0807746,-0.0871558,0.169939,0.670778,0.0586694,0.15783,0.0510048,-0.147805,-0.13966,-0.68307
42,43,196,-0.199176,-0.654345,0.164054,-0.116477,0.151637,0.655856,0.1581,0.0630645,0.108712,-0.140597,-0.187267,-0.671341
43,44,193,-0.449264,-0.44275,0.0909307,-0.100276,0.131527,0.633509,0.233876,0.114619,0.116021,-0.0997133,-0.193027,-0.669694
44,45,176,-0.120779,-0.7617,0.143255,-0.159025,0.198643,0.660159,0.248527,0.0291688,0.142689,-0.13195,-0.199091,-0.687122
45,46,175,-0.116895,-0.544422,-0.0274571,0.0264917,0.0663888,0.695369,0.252312,0.0935102,0.161123,-0.251068,-0.135605,-0.694867
