cluster_i,cluster_k,epsilon
0,1,6.780710991747561e-16
0,2,7.041200276988448e-16
0,3,8.744331354508731e-16
0,4,8.693786112003319e-16
0,5,6.504172208001654e-16
0,6,7.829062850232641e-16
0,7,8.834447674390128e-30
0,8,8.142140028327647e-16
0,9,6.466426079360044e-16
0,10,5.022076901644011e-16
0,11,1.1668758952376438e-15
0,12,4.561366235072377e-16
0,13,1.271825992440467e-15
0,14,2.821486538359094e-16
0,15,2.9817452108908263e-16
0,16,4.238254671306664e-30
0,17,1.6128264417283124e-16
0,18,4.545793838993422e-30
0,19,9.93589546896269e-16
0,20,2.2081278443522247e-15
0,21,8.086081927259412e-16
0,22,9.043435955687945e-16
0,23,6.427609712049121e-16
0,24,2.2147773621108906e-15
0,25,3.202162804446024e-16
0,26,2.3716951796561026e-16
0,27,4.717044560818655e-16
0,28,5.932462394863171e-16
0,29,6.181222861436331e-16
0,30,8.16981301237282e-16
0,31,7.891719264846741e-16
0,32,4.400809386948586e-16
0,33,4.90476765977328e-16
0,34,3.285824541276086e-16
0,35,3.108012608937938e-17
0,36,3.8346806975223284e-16
0,37,3.9826168279466837e-16
0,38,6.814814658159874e-16
0,39,1.3888937844629383e-15
0,40,2.2909517737406205e-16
0,41,3.695490540428471e-16
0,42,5.756355182496648e-16
0,43,4.686074339161693e-16
0,44,6.886966900495407e-16
0,45,1.8693921384986307e-15
0,46,1.4230733418013312e-15
0,47,7.406781716266803e-16
0,48,3.755345792037733e-16
0,49,2.047323970336267e-16
1,2,4.340554075341999e-16
1,3,1.6887763577259588e-16
1,4,1.8719628808501115e-21
1,5,1.450069175071899e-30
1,6,3.2967962149901187e-16
1,7,5.786196075826628e-30
1,8,2.2440448094502005e-30
1,9,1.3372953078877201e-21
1,10,1.4889242156917936e-27
1,11,5.967059582276773e-15
1,12,7.886026139130578e-28
1,13,7.494244502156234e-16
1,14,2.167123226264566e-24
1,15,1.7871395231291183e-30
1,16,2.7800218142824533e-30
1,17,2.459347125945696e-22
1,18,1.4024275421016166e-30
1,19,6.876073936540603e-16
1,20,7.295497085144819e-16
1,21,3.4480426075855075e-25
1,22,1.394428525187153e-15
1,23,2.2760055554484e-23
1,24,1.3998863763401027e-15
1,25,1.772910346807453e-30
1,26,1.5450174981227035e-30
1,27,6.3499698669326176e-27
1,28,2.2247825451742148e-30
1,29,8.081576959757626e-25
1,30,6.051323416950503e-16
1,31,6.170097020845695e-16
1,32,5.4684019288838994e-30
1,33,1.913882484718715e-30
1,34,2.2005100212036123e-30
1,35,1.738685473856287e-30
1,36,5.157227544274772e-30
1,37,2.0325443455829285e-25
1,38,2.9082045467588724e-30
1,39,7.960415248073111e-16
1,40,1.4072890656319955e-30
1,41,3.5262308505484584e-16
1,42,1.109263911544468e-25
1,43,4.7779531333140556e-26
1,44,8.499706194124623e-24
1,45,6.976802480972981e-16
1,46,1.476652226591419e-15
1,47,2.7588012099424225e-30
1,48,2.557029330432142e-30
1,49,2.819501432830466e-30
2,3,8.917719681175873e-16
2,4,7.724590406873038e-16
2,5,5.074599900230432e-16
2,6,1.1643014063394481e-15
2,7,2.4006968485376726e-16
2,8,9.649991855496385e-16
2,9,6.887704300462744e-16
2,10,9.469161582254074e-16
2,11,2.932456261534644e-15
2,12,5.363305198967982e-16
2,13,1.4426527225651047e-15
2,14,5.030580312166568e-16
2,15,5.265714464941317e-16
2,16,3.3926402846943164e-16
2,17,6.645779747302828e-16
2,18,4.753522177384933e-16
2,19,1.3872234969559286e-15
2,20,3.1192809400276227e-15
2,21,5.590709922548481e-16
2,22,1.8950512351288278e-15
2,23,7.485559188889232e-16
2,24,2.7103509820713375e-15
2,25,5.47308674323853e-16
2,26,6.753401253851304e-16
2,27,6.307318346082886e-16
2,28,6.535834006958019e-16
2,29,5.742222945351802e-16
2,30,1.4279790511661076e-15
2,31,8.33176475950514e-16
2,32,8.643649931877619e-16
2,33,7.685353620732805e-16
2,34,4.986356944908692e-16
2,35,4.100741573845181e-16
2,36,5.330744133673933e-16
2,37,8.405898563410837e-16
2,38,5.88918909719281e-16
2,39,6.266887432385488e-16
2,40,4.094535411906861e-16
2,41,3.2307158719427055e-16
2,42,8.980377940077963e-16
2,43,5.423064494456388e-16
2,44,6.222629866741172e-16
2,45,5.941643867951618e-16
2,46,7.401495219880149e-16
2,47,4.012614516949156e-16
2,48,6.225530792222968e-16
2,49,4.669210561148118e-16
3,4,1.5056161669467629e-16
3,5,1.959354561349665e-30
3,6,2.9360238377617986e-30
3,7,5.1970952887475864e-30
3,8,4.396265826329423e-30
3,9,3.520800951957683e-30
3,10,1.980022714756797e-16
3,11,1.6900980235956365e-29
3,12,3.7111884054334946e-16
3,13,7.382213242818917e-16
3,14,3.8242932580543955e-30
3,15,2.076960589516754e-30
3,16,2.31735264240207e-30
3,17,4.0953801313260725e-30
3,18,3.183912525905122e-30
3,19,9.774743646438197e-16
3,20,1.4887020490508618e-15
3,21,3.633995750485564e-30
3,22,8.602099119070813e-16
3,23,3.819040460769672e-30
3,24,1.2444739863945406e-15
3,25,1.768086059921355e-30
3,26,1.7559732960368187e-30
3,27,2.6587023123980353e-30
3,28,4.953357481583897e-16
3,29,3.5943120721655494e-30
3,30,1.0774571456198663e-15
3,31,6.17661442191645e-16
3,32,5.386030059006016e-16
3,33,4.1710132672250626e-16
3,34,4.010041941100123e-30
3,35,1.892443725802288e-30
3,36,4.787455515105383e-30
3,37,5.043133395034375e-16
3,38,2.4684042237757794e-30
3,39,8.74742805726682e-16
3,40,6.363176486973588e-16
3,41,4.3538189882809816e-16
3,42,2.630448107644594e-30
3,43,5.283340242176488e-16
3,44,3.0409170045676547e-30
3,45,8.735188625511386e-16
3,46,9.559725327379648e-16
3,47,2.8254499993073154e-16
3,48,2.4596311702232044e-30
3,49,3.8906661051052045e-16
4,5,4.737916131432446e-30
4,6,4.2921722346812803e-16
4,7,1.7900335003003508e-29
4,8,4.755280765986413e-30
4,9,1.1284436479586385e-21
4,10,5.124549476098155e-21
4,11,4.861778216466543e-15
4,12,3.0961576528191898e-21
4,13,8.483665275583211e-16
4,14,1.1876601044586886e-24
4,15,5.3189763164686534e-30
4,16,9.25639289292956e-30
4,17,3.410556517769056e-23
4,18,3.841976807210291e-30
4,19,7.978274900396081e-16
4,20,1.3318350078167287e-15
4,21,9.408640494858505e-25
4,22,1.0771054379099224e-15
4,23,3.1955561208018037e-21
4,24,4.6587131784559505e-15
4,25,5.571568905358215e-30
4,26,4.171509142951469e-30
4,27,8.206176294731731e-28
4,28,6.711021930283301e-16
4,29,5.565143868071292e-25
4,30,6.293146977943961e-16
4,31,6.606655129295364e-16
4,32,4.926305912624576e-16
4,33,9.266318461775506e-22
4,34,6.108835695522502e-30
4,35,6.166005125586983e-30
4,36,1.696472968553975e-29
4,37,3.1897714366111537e-16
4,38,9.215885864534677e-30
4,39,4.906354934726764e-16
4,40,3.9503066940980297e-16
4,41,5.249882018712099e-16
4,42,5.704549981387907e-25
4,43,6.235627763504464e-21
4,44,3.6108150172715543e-23
4,45,1.2916513432109599e-15
4,46,9.471249632007284e-16
4,47,1.8934416797739643e-21
4,48,8.208947779136987e-30
4,49,2.9580031772110877e-16
5,6,3.407904584423529e-16
5,7,3.974169761384649e-30
5,8,3.0783254083407922e-30
5,9,2.915442856285119e-30
5,10,2.923722262525323e-30
5,11,2.5537597260657234e-15
5,12,1.7712876572728334e-30
5,13,8.055688388540323e-16
5,14,2.946383381855368e-30
5,15,1.4643864583486406e-30
5,16,1.9608560506394067e-30
5,17,3.0922590813813694e-30
5,18,2.3191159294531304e-30
5,19,3.306086051697434e-16
5,20,1.0555389665427658e-15
5,21,2.3329976772078404e-30
5,22,6.375890900661837e-16
5,23,2.9762368353690637e-30
5,24,9.992613302376175e-16
5,25,1.4884312928662558e-30
5,26,1.307410246561803e-30
5,27,1.8669908831442397e-30
5,28,1.9296334120920745e-30
5,29,2.4538647042918175e-30
5,30,7.184376238445224e-16
5,31,2.1835659531383168e-16
5,32,4.091024318990324e-30
5,33,2.4927924838080425e-30
5,34,2.7715337089920895e-30
5,35,1.5416220741222316e-30
5,36,3.73106875289195e-30
5,37,1.7885760236814148e-30
5,38,1.9598393809167835e-30
5,39,7.392446291451017e-16
5,40,9.988942907669331e-31
5,41,1.9015986524758196e-30
5,42,1.8907632035184805e-30
5,43,2.7932851930339168e-30
5,44,2.2452954100303173e-30
5,45,4.644558107065309e-16
5,46,4.479694573574657e-16
5,47,2.3332175168764414e-30
5,48,1.7637340844151395e-30
5,49,1.8145132445644795e-30
6,7,3.7362489366055105e-30
