bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
4.75,5,4178,23.8714,-9.12247,-1.43363,-0.34576,0.545106,-2.59183,-0.492267,-1.42403,0.45439,-1.39524,-0.517134,0.25483
5,5.25,3956,23.3845,-8.80759,-1.33919,-0.248466,0.770318,-2.59118,-0.43233,-1.53823,0.411824,-1.37296,-0.492834,0.265058
5.25,5.5,3584,21.4769,-8.51459,-1.39594,-0.133567,0.58788,-2.49876,-0.316001,-1.49087,0.561779,-1.42674,-0.370338,0.229765
5.5,5.75,3348,20.3465,-8.33197,-1.31952,-0.0954596,0.602002,-2.62233,-0.250064,-1.52921,0.522421,-1.45501,-0.346124,0.176649
5.75,6,2982,20.6005,-8.23393,-1.27092,-0.208677,0.775678,-2.54743,-0.269672,-1.46094,0.549487,-1.44737,-0.348745,0.144151
6,6.25,2859,19.1242,-7.9221,-1.399,-0.23118,0.85038,-2.50085,-0.13341,-1.58605,0.523719,-1.39997,-0.318804,0.22973
6.25,6.5,2738,18.7764,-7.97117,-1.24373,-0.193877,1.00468,-2.44811,-0.135296,-1.72171,0.552273,-1.47182,-0.268724,0.184107
6.5,6.75,2366,18.6012,-8.17881,-1.36823,-0.306034,1.0934,-2.5648,-0.184387,-1.81292,0.622153,-1.49437,-0.293547,0.134485
6.75,7,2318,18.0519,-8.08728,-1.37178,-0.281291,1.1204,-2.53503,-0.201837,-1.83912,0.644633,-1.5195,-0.266515,0.157411
7,7.25,1981,18.5259,-8.22092,-1.16662,-0.533927,1.17779,-2.54844,-0.141503,-1.87144,0.533859,-1.54636,-0.384644,0.197507
7.25,7.5,1828,18.889,-8.13449,-1.15908,-0.492705,1.25554,-2.61335,-0.12854,-1.87237,0.525599,-1.53474,-0.333907,0.221175
7.5,7.75,1709,18.3465,-7.90544,-1.21457,-0.545512,1.35626,-2.67765,-0.0247596,-1.86052,0.590384,-1.49197,-0.28256,0.186803
7.75,8,1472,17.9902,-7.63776,-1.20672,-0.503948,1.44997,-2.65557,0.10496,-1.85626,0.618135,-1.55371,-0.20852,0.229602
8,8.25,1331,18.4214,-8.2817,-1.01895,-0.643177,1.64198,-2.7888,0.124523,-1.92415,0.673811,-1.55025,-0.290968,0.209766
8.25,8.5,1113,18.7121,-8.38731,-1.0327,-0.642814,1.69035,-2.77527,0.0255865,-2.08726,0.633557,-1.63994,-0.296653,0.154215
8.5,8.75,847,17.7426,-8.28729,-1.23351,-0.722499,1.71072,-2.72825,0.140642,-2.2914,0.420538,-1.76054,-0.217639,0.282155
8.75,9,675,18.6266,-8.85693,-1.22458,-0.878508,1.92451,-3.05372,0.0110086,-2.54848,0.3518,-1.84277,-0.29454,0.376833
9,9.25,492,17.3104,-7.48386,-1.23324,-0.96804,1.86158,-2.83255,0.235539,-2.09213,0.409524,-1.70505,-0.17485,0.310311
9.25,9.5,346,14.5118,-5.64221,-1.31819,-0.863802,2.01977,-2.76057,0.481726,-1.77617,0.627858,-1.6381,0.240491,0.313535
9.5,9.75,273,13.0296,-5.26892,-1.35774,-0.801855,1.77963,-2.70495,0.53557,-1.52195,0.617122,-1.86671,0.607494,0.360556
9.75,10,236,14.6712,-4.85978,-1.70724,-0.675826,1.7642,-3.41622,0.403187,-1.78102,0.446483,-2.0834,0.588178,0.373744
10,10.25,192,14.0213,-5.88839,-2.09409,-0.603842,1.91282,-3.07578,0.443336,-1.90346,0.316234,-2.27051,0.601323,0.53455
10.25,10.5,127,12.069,-4.9235,-2.16004,-0.154587,1.9614,-3.59335,0.294358,-1.61452,0.166357,-2.67282,0.5989,0.596202
10.5,10.75,117,11.5672,-5.1959,-2.12695,-0.231496,1.69704,-3.56779,0.313415,-1.69053,0.193631,-2.70368,1.07223,0.767769
10.75,11,73,12.1161,-4.48005,-2.2019,-0.323546,1.51516,-3.05614,0.719859,-1.29876,-0.0924373,-2.50066,0.944808,0.713247
11,11.25,43,9.82312,-4.01877,-2.08545,0.30177,1.07766,-2.75397,0.511625,-1.79419,0.171507,-3.45765,0.785924,0.951487
11.25,11.5,42,9.79758,-3.83169,-3.2713,-0.00937203,1.28714,-3.48502,0.366023,-1.95619,-0.253275,-3.41318,0.553933,1.7274
11.5,11.75,34,13.0293,-3.45002,-3.25567,-0.532128,0.656605,-3.5062,-0.23386,-1.00686,-0.275126,-3.34353,0.92268,1.33172
