cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,C2/m | 2a 2d 4i,0.7193121693121693,3780,4588
1,Immm | 2a 2c 4j,0.2811904761904762,4200,5955
2,P4mm | 1a 1a 1b 1b,0.384477075217261,3337,4753
3,P6/mmm | 2c 2e 3g,0.12377380265435661,3466,4327
4,Fm-3m | 4a 4b 8c,0.7445956765412329,1249,5546
5,P4mm | 1a 1a 1b 1b,0.28876566029985623,4869,6560
6,F-43m | 4a 4b 4c 4d,0.8480720871751886,4772,6744
7,F-43m | 4a 4b 4c 4d,1.0,5375,7128
8,R-3m | 3a 3b 6c,0.8769271664008507,3762,5205
9,C2/m | 4i 4i 4i,0.10837887067395265,4392,5482
10,P2/m | 1a 1g 2n,0.417774302840761,3837,5320
11,P3m1 | 1a 1b 1c,0.5089445438282647,3354,4860
12,I4_1/amd | 4a 8e,0.08540417023707512,3501,4388
13,Fmm2 | 4a 4a 4a,0.3435637663885578,3356,4424
14,Imm2 | 2a 2a 2b 2b,0.42992874109263657,5473,7416
15,Imm2 | 2a 2a 2b 2b,0.5058094500387297,3873,5408
16,P4/mmm | 1a 1c 2e,0.742603550295858,3718,5034
17,R-3m | 3a 3b 6c,0.9535358692877202,3917,5566
18,P2/m | 1a 1c 2n,0.23682902584493043,4024,5486
19,Cmm2 | 2a 2a 2b 2b,0.3601213040181956,5276,7193
20,P4/mmm | 1a 1b 2h,0.5209643605870021,3816,5121
21,Im-3m | 2a 8c,0.19331872946330778,3652,5297
22,Cm | 2a 2a 2a 2a,0.9175672279467203,3979,4711
23,Immm | 2a 2c 4j,0.6343873517786561,4554,6404
24,F-43m | 4a 4b 4c 4d,0.9989842559674962,3938,5452
25,F-43m | 4a 4c 16e,0.8898406715778654,5837,8408
26,P2/m | 1a 1g 2n,0.3439777854911489,2881,3873
27,F-43m | 4a 4b 4c 4d,0.9993490995877631,4609,6797
28,Cmmm | 2a 2b 4f,0.5475213135459426,3167,4204
29,P3m1 | 1a 1b 1c,0.8438266557645135,3669,5073
30,I4/mmm | 2a 2b 4d,0.6694363350550191,4453,6050
31,P2/m | 1a 1g 2n,0.34496510468594216,4012,5611
32,Cmmm | 2a 2b 4f,0.6038001407459536,2842,4004
33,P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,0.06174153715137322,4697,6590
34,Cmmm | 2a 2b 4f,0.441477414524582,4007,5573
35,Cm | 2a 2a 2a 2a,0.9885235047450894,4531,5385
36,Immm | 2a 2c 4j,0.39159032182287995,4257,5800
37,P4/mmm | 1a 1c 2e,0.7311699910687705,3359,4609
38,R-3m | 3a 3b 6c,0.8888622179548727,4166,5756
39,I4mm | 2a 2a 2a,0.4169542709232097,4636,5869
40,I4/mmm | 2a 2b 4d,0.8643827285627407,4933,7019
41,Cm | 2a 2a 2a 2a 2a 2a,0.460393541876892,3964,5219
42,F-43m | 4a 4b 4c 4d,0.82567252700699,4721,6603
43,C2/m | 2a 2d 4i,0.3230099201548512,4133,5348
44,C2/m | 2a 2d 4i,0.3820807944030693,4431,5549
45,F-43m | 4a 4b 4c 4d,0.9975006942515968,3601,5367
46,F-43m | 4a 4b 4c 4d,0.78118691966088,4954,7012
47,I-4m2 | 2a 2b 2c 2d,0.4333912180600347,4031,5637
48,Pm | 1a 1a 1b 1b,0.8521434820647419,3429,4595
49,R-3m | 3a 3b 6c,0.699438202247191,3560,4844
50,P4/mmm | 1a 1b 2h,0.654705697198615,3177,4552
51,Pm | 1a 1a 1b 1b,0.8206292572169964,3083,4460
52,P2/m | 1a 1g 2n,0.4945337620578778,3110,4226
53,Cmm2 | 2a 2a 2b 2b,0.4230965763924374,3914,5437
54,F-43m | 4a 4c 16e,0.8682998324958124,4776,6926
55,P4mm | 1a 1a 1b 1b,0.4869497467861317,5134,7142
56,R-3m | 3a 3b 6c,0.9537645275391612,3958,5607
57,F-43m | 4a 4b 4c 4d,0.9994360902255639,5320,6908
58,P4/mmm | 1a 1c 2e,0.8993455905266439,3209,4367
59,R-3m | 3a 3b 6c,0.8148246546227418,3764,4826
60,Cmmm | 2a 2b 4f,0.4334763948497854,3262,4422
61,Im-3m | 2a 8c,0.2251732101616628,3464,5282
62,P4mm | 1a 1a 1b 1b,0.5996321275291232,4893,6974
63,Immm | 2a 2c 4j,0.5851970181043663,3756,5225
64,Pm | 1a 1a 1b 1b,0.819065622468269,3703,4978
65,P4mm | 1a 1a 1b 1b,0.5032568677428491,3531,4785
66,P6_3/mcm | 2b 4d 6g 6g,0.13295553618134262,4588,5983
67,C2/m | 2a 2d 4i,0.8840271877655055,4708,5616
68,P-3m1 | 1a 2d 2d,0.09112210361884926,3841,4902
69,P2/m | 1a 1g 2n,0.5580985915492958,3408,4864
70,Pmmn | 2a 2b 4e 4e 4f 8g,0.13277761238463828,3359,4608
71,Cmm2 | 2a 2a 2b 2b,0.3801000769822941,5196,7055
72,C2/m | 2a 2d 4i,0.6246994535519126,4575,5498
73,P4/mmm | 1a 1c 2e,0.839990258158792,4106,5621
74,R-3m | 3a 3b 6c,0.849294947121034,3404,4772
75,Imm2 | 2a 2a 2b 2b,0.4474550519118764,3949,5566
76,F-43m | 4a 4c 16e,0.9620225694444444,4608,6199
77,Cm | 2a 2a 2a 2a,0.938877974241432,4581,5432
78,P4mm | 1a 1a 1b 1b,0.5908264295817337,4949,6581
79,F-43m | 4a 4b 4c 4d,0.9997894293535481,4749,6467
80,I4/mmm | 2a 8h 8i,0.06944444444444445,3024,3727
81,F-43m | 4a 4b 4c 4d,0.8854421104054714,4094,5924
82,I4mm | 2a 2a 2a,0.5930412371134021,3880,4847
83,P4mm | 1a 1a 1b 1b,0.5063927897715363,4771,6816
84,Pnma | 4c 4c 8d,0.08135593220338982,2950,4081
85,Pmm2 | 1a 1a 1d 1d,0.2856172140430351,4415,5931
86,I-4m2 | 2a 2b 2c 2d,0.646096214511041,5072,7106
87,P6/mmm | 1a 2d,0.22909698996655517,2392,3081
88,Cm | 2a 2a 2a 2a,0.904228855721393,4824,5804
89,F-43m | 4a 4c 16e,0.9283737587497966,6143,8570
90,P4/mmm | 1a 1d,0.25558943089430897,1968,3467
91,Pmmm | 1a 1d 1f 1g,0.6353777112939416,2674,3793
92,Fm-3m | 4a 4b 8c,0.7209302325581395,1032,6042
93,F-43m | 4a 4b 4c 4d,1.0,5128,7842
94,Cmmm | 2a 2b 4f,0.42118380062305294,3210,4322
95,Imm2 | 2a 2a 2b 2b,0.48066682102338504,4319,6050
96,P4/mmm | 1a 1c 2e,0.6610828597068501,3343,4719
97,I4/mmm | 2a 2b 4d,0.38098747236551217,4071,5674
98,Cm | 2a 2a 2a 2a,0.9550589390962672,4072,4835
99,P3m1 | 1a 1b 1c,0.8767284495439835,3399,4582
100,I4_1/amd | 4a 8e,0.07568201818715166,3409,4441
101,I-4m2 | 2a 2b 2c 2d,0.8055611934239902,4927,6640
102,Pmmm | 1a 1d 1f 1g,0.7622167622167623,3663,5243
103,C2/m | 2a 2d 4i,0.743949491406524,2851,3363
104,P4mm | 1a 1a 1b 1b,0.5051571120172703,4169,5692
105,I-4m2 | 2a 2b 2c 2d,0.8087873462214411,5690,7566
106,Immm | 2a 2c 4j,0.3060948081264108,4430,5760
107,I4/mcm | 4a 8h,0.17524377031419286,3692,5108
108,I4mm | 2a 2a 2a,0.6893954410307235,5045,6190
109,I4mm | 2a 2a 2a,0.33276863504356247,4132,5436
110,R-3m | 3a 6c 6c,0.2093367914042238,2699,3430
111,I-4m2 | 2a 2b 2c 2d,0.8127018299246501,4645,6171
112,R-3m | 3a 9e,0.4737240075614367,2645,3414
113,P4mm | 1a 1a 1b 1b,0.570268074735987,4924,6753
114,Pmmm | 1a 1d 1f 1g,0.48129359543436906,3154,4422
115,P4/mmm | 1a 1c 2e,0.8235565819861432,4330,5855
116,P2/m | 1a 1g 2n,0.42891566265060244,3735,5022
117,Imm2 | 2a 2a 2b 2b,0.503235827077401,3863,5474
118,I4/mmm | 2a 2b 4d,0.5549068668334723,3597,4834
119,P4mm | 1a 1a 1b 1b,0.48250050576572934,4943,6852
120,Imm2 | 2a 2a 2b 2b,0.46964567817648384,4431,5986
121,P4mm | 1a 1a 1b 1b,0.59170407057731,6461,8808
122,R3m | 3a 3a 3a 3a,0.9693057946069994,3486,4991
123,C2/m | 2a 2b 4f,0.4555026322386563,3989,5400
124,Immm | 2a 2c 4j,0.28355335533553355,3636,4738
125,P3m1 | 1a 1b 1c,0.4458804523424879,3714,5073
126,R-3m | 3a 3b 6c,0.9406194010749936,3907,5311
127,F-43m | 4a 4b 4c 4d,0.9972075705864102,3223,5048
128,P4mm | 1a 1a 1b 1b,0.5114772306553128,5402,7354
129,Cm | 2a 2a 2a 2a,0.8495119305856833,3688,4435
130,P4/mmm | 1a 1b 2h,0.611784140969163,3632,4833
131,Imm2 | 2a 2a 2b 2b,0.40658727205061407,5374,7015
132,F-43m | 4a 4b 4c 4d,0.995875073659399,3394,5065
133,I4/mmm | 4c 4d 4e 4e,0.1025348253025805,4379,5798
134,P6/mmm | 1a 2d,0.19477513227513227,3024,4426
135,F-43m | 4a 4b 4c 4d,0.9985528219971056,3455,4753
136,F-43m | 4a 4c 16e,0.9026603106258649,6503,9223
137,P4/mmm | 1a 1b 2h,0.5994856959177114,3111,4323
138,Imm2 | 2a 2a 2b 2b,0.3878353376503238,4324,6080
139,Fdd2 | 8a 16b 16b,0.12333791838606144,4362,6050
140,Pmmm | 1a 1d 1f 1g,0.8556521739130435,4025,5628
141,F-43m | 4a 4b 4c 4d,0.7988077496274217,4026,5888
142,Cm | 2a 2a 2a 2a,0.9219425375031782,3933,4704
143,Immm | 2a 2c 4j,0.5006016847172082,3324,4433
144,F-43m | 4a 4b 4c 4d,0.8986901897888265,3741,5511
145,R-3m | 3a 3b 6c,0.6725020199299757,3713,4684
146,P4mm | 1a 1a 1b 1b,0.30785123966942146,3388,4670
147,Pm | 1a 1a 1b 1b,0.715671861217289,3401,4859
148,Fm-3m | 4a 4b 8c,0.8062162162162162,3700,6978
149,Pm | 1a 1a 1b 1b,0.8577623590633131,3459,4923
150,Pm | 1a 1a 1b 1b,0.7360608254887763,2762,3705
151,P2/m | 1a 1g 2n,0.5323058684054535,3374,4740
152,R-3m | 3a 3b 6c,0.8108858650374896,3601,5237
153,R-3m | 3a 6c 6c,0.37059591126576774,2299,3072
154,Fm-3m | 4a 4b 8c,0.7048853439680958,3009,5519
155,Cmm2 | 2a 2a 2b 2b,0.4658108462143044,3817,5429
156,R-3m | 3a 6c 6c 6c 18h,0.33902759526938236,3044,4485
157,I4/mmm | 2a 2b 4d,0.722833260008799,4546,6060
158,Pmmm | 1a 1c 2t,0.27468324169256514,4183,5652
159,Cm | 2a 2a 2a 2a 2a 2a,0.6418816388467374,2636,3527
160,F-43m | 4a 4c 16e,0.9355828220858896,5216,7120
161,Immm | 2a 2c 4j,0.20983765447055974,4127,5747
162,Fm-3m | 4a 4b 8c,0.8501406187223784,2489,7034
163,P4mm | 1a 1a 1b 1b,0.28174284950547984,3741,5194
164,P4/mmm | 1a 1c 2e,0.7676151761517616,2952,4151
165,I-4m2 | 2a 2b 2c 2d,0.8329124579124579,4752,6715
166,Cmmm | 2a 2b 4f,0.5786852589641435,4016,5327
167,F-43m | 4a 4c 16e,0.9380120575050239,6469,8912
168,C2/m | 2a 2d 4i,0.19781718963165076,2199,2936
169,Pmmm | 1a 1d 1f 1g,0.8144809537656296,3439,4855
170,P3m1 | 1a 1b 1c,0.6209902370990237,2868,3960
171,Fmm2 | 4a 4a 4a,0.5849912739965096,2865,3799
172,Pmmm | 1a 1d 1f 1g,0.4308781869688385,3530,5020
173,Fmm2 | 4a 4a 4a,0.5455610899501905,3413,4769
174,F-43m | 4a 4b 4c 4d,0.9997511818860413,4019,5954
175,Pm | 1a 1a 1b 1b,0.8757333333333334,3750,4936
176,Pm | 1a 1a 1b 1b,0.7716959727736812,3526,4843
177,Imm2 | 2a 2a 2b 2b,0.5603168155970756,4924,6582
178,P-6m2 | 1a 1b 2h,0.22255845942228336,3635,4609
179,Imm2 | 2a 2a 2b 2b,0.3476510067114094,4470,5809
180,P4mm | 1a 1a 1b 1b,0.18215223097112862,3810,5218
181,C2/m | 2a 2d 4i,0.7330282227307399,2622,3132
182,F-43m | 4a 4b 4c 4d,0.9965548504079782,5515,7340
183,Cm | 2a 2a 2a 2a,0.9013623978201635,3670,4378
184,F-43m | 4a 4b 4c 4d,0.9985737571312143,4908,7115
185,F-43m | 4a 4c 4d,0.4370725034199726,2924,4336
186,I4mm | 2a 2a 2a,0.26828153564899454,4376,5797
187,Cmmm | 2a 2b 2c 2d 4i 4j 4k 4l 8n 16r 16r,0.37391898042785615,4394,5819
188,Cm | 2a 2a 2a 2a,0.8706446901731693,4793,5767
189,Pm | 1a 1a 1b 1b,0.7094614264919942,3435,4882
190,P6_3/mmc | 2a 2c 2d,0.23339011925042588,2935,3902
191,P4mm | 1a 1a 1b 1b,0.4681634155318366,5434,7365
192,F-43m | 4a 4b 4c 4d,1.0,5470,7334
193,R-3m | 3a 3b 6c,0.9130543099152965,4014,5483
194,Cm | 2a 2a 2a 2a,0.7432937181663837,2945,3527
195,Cmm2 | 2a 2a 2b 2b,0.5338740458015268,4192,5994
196,Fm-3m | 4a 4b 8c,0.8174640037157455,2153,7574
197,P6/mmm | 2c 2e 3g,0.15342796738145575,3311,4440
198,P4/mmm | 1a 1b 2h,0.6620708299540417,3699,5128
199,R-3m | 3a 3b 6c,0.7197690217391305,2944,3858
200,F-43m | 4a 4c 16e,0.7995084988736433,4883,7372
201,I4/mmm | 2a 4e,0.20297372060857538,2892,3899
202,Pm-3m | 1a 1b 3d,0.29213907785336357,2646,4139
203,I4/mmm | 2a 2b 4d,0.49822605169792195,3946,5277
204,Cmmm | 2a 2b 4f,0.7299687825182102,3844,5298
205,F-43m | 4a 4b 4c 4d,0.9988833054159687,3582,4722
206,Cm | 2a 2a 2a 2a 2a 2a,0.16666666666666666,3384,4190
207,P4/mmm | 1a 1c 2e,0.6751724137931034,2900,3965
208,Pmm2 | 1a 1a 1d 1d,0.44002665482007997,4502,6356
209,I4/mmm | 2a 2b 4d,0.4667836000877001,4561,6165
210,P-6m2 | 1a 1b 2h,0.29162969535640343,3381,4563
211,C2/m | 2a 2d 4i,0.32435597189695553,4270,5491
212,I4/mmm | 2a 2b 4d,0.3920650566781666,4058,5319
213,F-43m | 4a 4c 16e,0.9701277667806371,5557,7862
214,P3m1 | 1a 1b 1c,0.3879003558718861,3372,4671
215,P3m1 | 1a 1b 1c,0.8128167994207096,2762,3704
216,Cm | 2a 2a 2a 2a,0.8060941828254847,3249,3992
217,P3m1 | 1a 1b 1c,0.5075794621026894,2045,2798
218,Imm2 | 2a 2a 2b 2b,0.42831605291383623,5594,7285
219,Fm-3m | 4a 4b 8c,0.8451969592259848,2894,8070
220,F-43m | 4a 4b 4c 4d,1.0,4553,7022
221,P4mm | 1a 1a 1b 1b,0.3668986515876468,4598,6335
222,Fm-3m | 4a 4b 8c,0.7638888888888888,720,6729
223,P4mm | 1a 1a 1b 1b,0.575542570951586,4792,6454
224,Immm | 2a 2c 4j,0.3370340999206979,3783,5144
225,P2/m | 1a 1c 2n,0.30058651026392963,4092,5516
226,Cm | 2a 2a 2a 2a,0.8901025412394115,4486,5347
227,F-43m | 4a 4c 16e,0.9643375827013071,6197,8505
228,P2/m | 1a 1g 2n,0.26875146955090523,4253,5795
229,Cm | 2a 2a 2a 2a,0.9129986244841816,5816,6962
230,Fmmm | 4a 8i,0.15887050770108385,3506,4227
231,Cmmm | 2a 2b 4f,0.8225,3600,4925
232,Cmmm | 2a 2b 4f,0.792621243677477,3361,4478
233,F-43m | 4a 4b 4c 4d,0.8734552644587247,4046,5880
234,R3m | 3a 3a 3a 3a,0.8896672504378283,2855,3937
235,Pmmm | 1a 1d 1f 1g,0.2913537867410427,4661,6417
236,I-4m2 | 2a 2b 2c 2d,0.5885643256681169,4827,6443
237,Pm | 1a 1a 1b 1b,0.8645629712370846,3581,5009
238,I4/mmm | 2a 8h 8i,0.231879409878127,3118,4095
239,Imm2 | 2a 2a 2b 2b,0.34867418469978667,3281,4667
240,Pm | 1a 1a 1b 1b,0.4997995991983968,2495,3566
241,Pm | 1a 1a 1b 1b,0.8520696142991533,4252,5990
242,F-43m | 4a 4b 4c 4d,0.999819787349072,5549,7769
243,P2/m | 1a 1g 2n,0.4861859838274933,2968,4097
244,I4/mmm | 2a 2b 4d,0.4078519121236778,4916,6623
245,I4/mmm | 2a 4d 4e,0.2013064133016627,3368,4429
246,P4/mmm | 1a 1c 2e,0.6571974870254029,3661,5084
247,I-43m | 2a 8c 24g 24g,0.13642930856553148,4845,6249
248,Fd-3m | 16c 32e 48f,0.24682971014492755,4416,6611
249,I4mm | 2a 2a 2a,0.6920731707317073,4592,5693
250,Cmmm | 2a 2b 4f,0.5979208584842388,2982,4116
251,I4/mmm | 2a 2b 4d,0.6921301638587584,4333,6043
252,C2/m | 2a 2d 4i,0.5717592592592593,3024,3822
253,I4/mmm | 2a 2b 4d,0.5206169342146679,3177,4327
254,Cmcm | 4c 4c 8g,0.14103629814353005,3609,4604
255,F-43m | 4a 4c 16e,0.8561836690491661,4617,6798
256,P4mm | 1a 1a 1b 1b,0.40889276373147343,3441,4740
257,Pmmm | 1a 1d 1f 1g,0.5937726285300506,4143,5914
258,F-43m | 4a 4b 4c 4d,0.48333711176603944,4411,6422
259,I-4m2 | 2a 2b 2c 2d,0.8155793573515092,5135,6965
260,Cmmm | 2a 2d 4l,0.22146157795652918,5843,7539
261,Fm-3m | 4a 4b 8c,0.7921348314606742,1068,7597
262,Cmmm | 2a 2b 4f,0.48217359232849766,4067,5470
263,P6/mmm | 1a 2d,0.15869657215404148,2363,3069
264,C2/m | 2a 2d 4i,0.4186471663619744,3829,5011
265,R3m | 3a 3a 3a 3a,0.8121368624919303,3098,4020
266,I4/mmm | 2a 8h 8i,0.12738095238095237,3360,4625
267,C2/m | 2a 2b 4f,0.46537059538274606,3292,4526
268,R-3m | 3a 3b 6c,0.9047131147540983,3904,5678
269,I4mm | 2a 2a 2a,0.5608656447249775,3327,4228
270,Cmmm | 2a 2b 4f,0.7869209809264305,3670,4955
271,F-43m | 4a 4b 4c 4d,0.9993611584327087,4696,6971
272,R-3m | 3a 3b 6c,0.9091478696741855,4788,6234
273,Immm | 2a 2c 4j,0.3704386288241799,5426,7248
274,Pmmm | 1a 1d 1f 1g,0.7779746087983466,3387,4753
275,Cm | 2a 2a 2a 2a,0.9211494252873563,4350,5166
276,P2/m | 1a 1g 2n,0.41236793039154757,3218,4645
277,C2/m | 2a 2b 4f,0.5051258154706431,3219,4452
278,R-3m | 3a 3b 6c,0.9148061104582844,3404,4854
279,R-3m | 3a 3b 6c,0.9741311732427489,3827,5516
280,R-3m | 3a 3b 6c,0.7641532160925079,4151,5635
281,Fm-3m | 4a 4b 8c,0.856687898089172,2512,6278
282,I4/mmm | 2a 2b 4d,0.5407657657657657,4440,5951
283,Pmm2 | 1a 1a 1d 1d,0.3437777777777778,4500,6228
