cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
172,Pmmm | a d f g,0.4308781869688385,3530,5020
173,Fmm2 | a,0.5455610899501905,3413,4769
174,F-43m | a b c d,0.9997511818860413,4019,5954
175,Pm | a b,0.8757333333333334,3750,4936
176,Pm | a b,0.7716959727736812,3526,4843
177,Imm2 | a b,0.5617384240454915,4924,6582
178,P-6m2 | a b h,0.22255845942228336,3635,4609
179,Imm2 | a b,0.35145413870246084,4470,5809
180,P4mm | a b,0.18215223097112862,3810,5218
181,C2/m | a d i,0.7330282227307399,2622,3132
182,F-43m | a b c d,0.9965548504079782,5515,7340
183,Cm | a,0.9013623978201635,3670,4378
184,F-43m | a b c d,0.9985737571312143,4908,7115
185,F-43m | a c d,0.4370725034199726,2924,4336
186,I4mm | a,0.26851005484460694,4376,5797
187,Cmmm | a b c d i j k l n r,0.37391898042785615,4394,5819
188,Cm | a,0.8708533277696641,4793,5767
189,Pm | a b,0.7094614264919942,3435,4882
190,P6_3/mmc | a c d,0.23339011925042588,2935,3902
191,P4mm | a b,0.4681634155318366,5434,7365
192,F-43m | a b c d,1.0,5470,7334
193,R-3m | a b c,0.9130543099152965,4014,5483
194,Cm | a,0.7432937181663837,2945,3527
195,Cmm2 | a b,0.5338740458015268,4192,5994
196,Fm-3m | a b c,0.8174640037157455,2153,7574
197,P6/mmm | c e g,0.15342796738145575,3311,4440
198,P4/mmm | a b h,0.6620708299540417,3699,5128
199,R-3m | a b c,0.7197690217391305,2944,3858
200,F-43m | a c e,0.7995084988736433,4883,7372
201,I4/mmm | a e,0.21680497925311204,2892,3899
202,Pm-3m | a b d,0.29213907785336357,2646,4139
203,I4/mmm | a b d,0.49822605169792195,3946,5277
204,Cmmm | a b f,0.7299687825182102,3844,5298
205,F-43m | a b c d,0.9988833054159687,3582,4722
206,Cm | a,0.17760047281323876,3384,4190
207,P4/mmm | a c e,0.6751724137931034,2900,3965
208,Pmm2 | a d,0.44002665482007997,4502,6356
209,I4/mmm | a b d,0.4667836000877001,4561,6165
210,P-6m2 | a b h,0.29162969535640343,3381,4563
211,C2/m | a d i,0.32435597189695553,4270,5491
212,I4/mmm | a b d,0.3920650566781666,4058,5319
213,F-43m | a c e,0.9701277667806371,5557,7862
214,P3m1 | a b c,0.3884934756820878,3372,4671
215,P3m1 | a b c,0.8128167994207096,2762,3704
216,Cm | a,0.8060941828254847,3249,3992
217,P3m1 | a b c,0.5090464547677261,2045,2798
218,Imm2 | a b,0.42831605291383623,5594,7285
219,Fm-3m | a b c,0.8451969592259848,2894,8070
220,F-43m | a b c d,1.0,4553,7022
221,P4mm | a b,0.3668986515876468,4598,6335
222,Fm-3m | a b c,0.7638888888888888,720,6729
223,P4mm | a b,0.575542570951586,4792,6454
224,Immm | a c j,0.3370340999206979,3783,5144
225,P2/m | a c n,0.30058651026392963,4092,5516
226,Cm | a,0.8912171199286669,4486,5347
227,F-43m | a c e,0.9643375827013071,6197,8505
228,P2/m | a g n,0.26875146955090523,4253,5795
229,Cm | a,0.9129986244841816,5816,6962
230,Fmmm | a i,0.15915573302909297,3506,4227
231,Cmmm | a b f,0.8225,3600,4925
232,Cmmm | a b f,0.792621243677477,3361,4478
233,F-43m | a b c d,0.8734552644587247,4046,5880
234,R3m | a,0.8900175131348511,2855,3937
235,Pmmm | a d f g,0.2913537867410427,4661,6417
236,I-4m2 | a b c d,0.5885643256681169,4827,6443
237,Pm | a b,0.8645629712370846,3581,5009
238,I4/mmm | a h i,0.231879409878127,3118,4095
239,Imm2 | a b,0.34867418469978667,3281,4667
240,Pm | a b,0.4997995991983968,2495,3566
241,Pm | a b,0.8520696142991533,4252,5990
242,F-43m | a b c d,0.999819787349072,5549,7769
243,P2/m | a g n,0.4861859838274933,2968,4097
244,I4/mmm | a b d,0.4078519121236778,4916,6623
245,I4/mmm | a d e,0.2013064133016627,3368,4429
246,P4/mmm | a c e,0.6571974870254029,3661,5084
247,I-43m | a c g,0.13642930856553148,4845,6249
248,Fd-3m | c e f,0.24705615942028986,4416,6611
249,I4mm | a,0.6920731707317073,4592,5693
250,Cmmm | a b f,0.5979208584842388,2982,4116
251,I4/mmm | a b d,0.6921301638587584,4333,6043
252,C2/m | a d i,0.5717592592592593,3024,3822
253,I4/mmm | a b d,0.5206169342146679,3177,4327
254,Cmcm | c g,0.17013022998060404,3609,4604
255,F-43m | a c e,0.8561836690491661,4617,6798
256,P4mm | a b,0.4091833769253124,3441,4740
257,Pmmm | a d f g,0.5937726285300506,4143,5914
258,F-43m | a b c d,0.48333711176603944,4411,6422
259,I-4m2 | a b c d,0.8155793573515092,5135,6965
260,Cmmm | a d l,0.22146157795652918,5843,7539
261,Fm-3m | a b c,0.7921348314606742,1068,7597
262,Cmmm | a b f,0.48217359232849766,4067,5470
263,P6/mmm | a d,0.15869657215404148,2363,3069
264,C2/m | a d i,0.4186471663619744,3829,5011
265,R3m | a,0.8140735958683021,3098,4020
266,I4/mmm | a h i,0.12738095238095237,3360,4625
267,C2/m | a b f,0.46537059538274606,3292,4526
268,R-3m | a b c,0.9047131147540983,3904,5678
269,I4mm | a,0.5608656447249775,3327,4228
270,Cmmm | a b f,0.7869209809264305,3670,4955
271,F-43m | a b c d,0.9993611584327087,4696,6971
272,R-3m | a b c,0.9091478696741855,4788,6234
273,Immm | a c j,0.3704386288241799,5426,7248
274,Pmmm | a d f g,0.7779746087983466,3387,4753
275,Cm | a,0.9213793103448276,4350,5166
276,P2/m | a g n,0.41236793039154757,3218,4645
277,C2/m | a b f,0.5051258154706431,3219,4452
278,R-3m | a b c,0.9148061104582844,3404,4854
279,R-3m | a b c,0.9741311732427489,3827,5516
280,R-3m | a b c,0.7641532160925079,4151,5635
281,Fm-3m | a b c,0.856687898089172,2512,6278
282,I4/mmm | a b d,0.5407657657657657,4440,5951
283,Pmm2 | a d,0.3437777777777778,4500,6228
284,F-43m | a b c d,0.9992226972405752,5146,6896
285,F-43m | a b c d,0.9988518943742825,5226,7258
286,P2/m | a g n,0.4869474416985729,2873,4014
287,Amm2 | a b,0.18675352877307275,2763,3727
288,Imm2 | a b,0.3588012958963283,3704,5142
289,P4/mmm | a c e,0.6682708834651083,2909,4136
290,Fmm2 | a,0.36236263736263735,3640,4884
291,P4/mmm | a b h,0.3382867132867133,3432,4672
292,I-4m2 | a b c d,0.6297935103244838,4068,5873
293,F-43m | a b c d,1.0,4525,7272
294,I4/mmm | a b d,0.8613738178198108,4018,5293
295,I4/mmm | c d e,0.0930493273542601,4460,5676
296,P4/mmm | a c e,0.7809292274446246,3702,5070
297,I4/mmm | a h i,0.20947337452191822,3399,4353
298,C2/m | a d i,0.6901749663526245,3715,4657
299,C2/m | a b f,0.4655881546476556,3647,4832
