sg_sites,n_materials
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,193
P-43m | 3c 4e,192
Pmmm | 1a 1d 2r,192
I4mm | 2a 2a 4b 8c 8d,184
Pmmm | 1a 1c 1f 1h,175
P4/mbm | 2a 4g 4h,173
P-3m1 | 1a 2c 2d 2d 2d,172
P4/mmm | 1a 1b 1c 1d 2e 2f 2g 2h 4i 4j 4k 4l 4m 4n 4o 8r 8s 8t,167
P2/m | 1a 1e 1f 1g,166
I4/mmm | 2a 4e 4e,165
P-31m | 1a 2d 6k,163
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,163
Cm | 2a 2a 2a 2a 4b 4b 4b 4b 4b 4b,162
Fmmm | 4a 4b 8d,160
P4_2/mnm | 2a 4f 8i 8i 8j,158
C2/m | 2a 2c 4i,150
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,150
Pmmm | 1a 1e 2p,148
Pmm2 | 1a 1a 1b 1d,148
Im-3m | 2a 6b,141
P-6m2 | 1a 1d 2g 2h,140
Fm-3m | 4a 24d 24e 32f 32f,139
P4/nmm | 2a 2b 2c 2c 2c,135
Cmc2_1 | 4a 4a 4a,135
P-4m2 | 1a 1b 1c 1d 2g 2g 2g 4j 4k 8l,134
P6_3/mmc | 2a 2c 4f,119
R32 | 3a 6c 9e,114
R-3m | 3a 3b 6c 6c 18h,111
P-6m2 | 1a 2h,109
Immm | 2a 4i 4i,109
P6_3/mmc | 2c 2d,106
Immm | 4g 4i 4j,105
F-43m | 4a 4c,104
P2_1/m | 2e 2e 2e 2e 2e 2e 2e,104
P6/mmm | 1a 2d 3f,102
Immm | 2a 2d 4h,100
P-4m2 | 1a 1c 2g,99
Pnma | 4c 4c 4c 4c 4c,97
Pm-3m | 3c 3d,97
P4/mmm | 1a 1b 2e 2f,96
Immm | 2a 4j,92
Cmcm | 4c 4c 8f,91
P-62m | 1a 2d 3f,91
Pmm2 | 1a 1c 1d 1d,90
P-3m1 | 1a 1b 2d 2d,88
Amm2 | 2a 2a 2b 2b 4c 4c 4d 4e 8f,85
Fm-3m | 4a 4b 8c 24e,85
I4/mmm | 2a 2b 4e 8g,85
Pnma | 4a 4c 4c 8d,83
C2/m | 2a 4i 4i 4i 4i,82
Pbam | 2a 2c 4g 4h 4h,81
P4/mmm | 1a 2e 2g 2h 4i,80
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,79
R-3m | 3a 6c 6c 6c,79
I4/mmm | 2a 8f 8i 8j,78
Pnma | 4c 4c 4c 4c 4c 4c 4c,77
P6_3/m | 2c 6h 6h,77
P2_1/c | 4e 4e 4e 4e 4e 4e,76
P3m1 | 1a 1a 1b 1c,76
Pmmm | 1a 1g 2s,76
F-43m | 4a 4d 16e,75
C2/m | 2a 4i 4i 4i,74
Cmcm | 4a 4c 4c 4c 8f,74
Pmmm | 1a 1g 2t,74
P-4m2 | 1a 1b 2g,74
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i,73
P6_3mc | 2a 2a 2a 2b 2b 2b 2b,73
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e,71
Pbam | 4g 4g 4g 4g 4h 4h,70
Imm2 | 2a 2a 4d 4d,70
Cm | 2a 2a 2a 2a 2a 2a 2a 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b,69
P-6m2 | 1a 2i,69
P-3m1 | 1a 1b 2d,68
P6_3mc | 2a 2b 2b,67
P-3m1 | 1a 2d 3e 6i,67
Pnma | 4c 4c 4c 4c 4c 4c 4c 4c 4c,67
P-6m2 | 1a 1d 1e,67
