cluster_id,dominant_space_group_symbol,fraction
0,I4mm,0.22076174112256586
1,Cmmm,0.46350194552529184
2,F-43m,0.7298269438989925
3,P6_3/mmc,0.18715608002799072
4,Cm,0.30903716216216215
5,Cm,0.23018814939623702
6,Cmmm,0.26699714491889687
7,R-3m,0.5250331616127341
8,R-3m,0.7928216062544421
9,F-43m,0.9973003374578178
10,I-4m2,0.312694517596361
11,P4mm,0.29944931889442206
12,C2/m,0.20486411306995453
13,Pm-3m,0.1073568383454315
14,C2/m,0.20031551665852834
15,F-43m,0.9927622111233387
16,I4/mmm,0.4323223461586665
17,P4mm,0.22235820686761312
18,P4/mmm,0.35379721131717884
19,Imm2,0.18376277617969275
20,P-6m2,0.1052253689668927
21,F-43m,0.5461351340015937
22,F-43m,0.5057271463075459
23,R-3m,0.7543084919301263
24,C2/m,0.2500267160616963
25,F-43m,0.9978449622087576
26,P4mm,0.2768714566701377
27,P4/mmm,0.4605317946582595
28,Cmmm,0.4736536868268434
29,P2/m,0.23604571034799587
30,F-43m,0.9985925184536469
31,C2/m,0.17272754845166965
32,I4mm,0.20954779069366355
33,F-43m,0.998043120021972
34,Imm2,0.19383773601829843
35,Immm,0.21506159756259108
36,P4mm,0.31913309195490847
37,I-4m2,0.4180886845434628
38,F-43m,0.7378320299519263
39,R-3m,0.8546907489705223
40,Cm,0.30138935700108604
41,R-3m,0.12540269657558764
42,Pm,0.23358297561421135
43,P2/m,0.3247544353917612
44,I-4m2,0.3337221920781335
45,P4/mmm,0.43904786346721414
46,I-4m2,0.2765750897971071
47,P4mm,0.23769649645535806
48,I4/mmm,0.3169422025514189
49,P4mm,0.217939902358523
