cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Imm2 | a b,0.32239443025574643,28583,39109
1,Fm-3m | a b c,0.45895063725173063,15457,27400
2,P2/m | a g n,0.17699652777777777,23040,30760
3,Cm | a,0.10715104811705885,21801,29613
4,C2/m | a d i,0.056961759644041474,23823,32851
5,I4mm | a,0.12781362545018007,26656,35191
6,Pmm2 | a d,0.2054519761134157,21937,30224
7,R-3m | a b c,0.6866559637359524,21178,28772
8,Imm2 | a b,0.24537874756075928,28185,38670
9,F-43m | a b c d,0.9766615202326667,27851,42334
10,Cm | a,0.3636669328737758,23791,31070
11,I-4m2 | a b c d,0.4819332662642522,23856,32661
12,P4/mmm | a c e,0.553497428728344,20029,27556
13,F-43m | a b c d,0.9090566322298469,26522,40748
14,Fm-3m | a b c,0.6593261810653115,5313,34871
15,I4/mmm | a h i,0.04879996242543798,21291,27768
16,C2/m | a d i,0.1992344559168838,31089,40285
17,C2/m | a d i,0.404450122431598,28179,36620
18,Cm | a,0.23480123962199181,26137,34251
19,I-4m2 | a b c d,0.40777568753919197,22326,30176
20,F-43m | a c e,0.9408037825059101,21150,30116
21,Cmm2 | a b,0.21717001609221212,26721,35407
22,F-43m | a b c d,0.9846743295019157,26361,35903
23,P4mm | a b,0.3369615922873581,32155,43165
24,Cmmm | a b f,0.35162034227454786,24717,33238
25,I-4m2 | a b c d,0.5042861776562717,21581,30057
26,Cm | a,0.10966355823733773,21876,29080
27,F-43m | a c e,0.8018005972277934,22437,31619
28,R-3m | a b c,0.6790846783108556,18092,24823
29,P4mm | a b,0.2311178247734139,19198,26507
30,P4mm | a b,0.40357905982905984,29952,40384
31,I4/mmm | a h i,0.055694560281716245,21582,27616
32,Pmmm | a d f g,0.3110268104513874,23461,31769
33,Cmmm | a b f,0.3141879041460631,18403,24191
34,F-43m | a b c d,0.9915738904987037,26228,37265
35,I4/mmm | a b d,0.43548208960718626,27163,36606
36,Cm | a,0.4708769633507853,27504,35635
37,P4mm | a b,0.5077592895939305,23198,32039
38,F-43m | a b c d,0.4332086839098369,19254,29825
39,I4mm | a,0.178121397622928,25157,33885
40,Pmmm | a d f g,0.4790790580319596,19024,26546
41,P2/m | a g n,0.20998434796935497,24278,33491
42,R-3m | a b c,0.5169895740998691,23691,30585
43,Cm | a,0.2347196963706808,25294,33729
44,Fd-3m | c e f,0.05890538033395176,21560,30807
45,R-3m | a b c,0.7864971700655826,22262,31805
46,Imm2 | a b,0.19609554797238316,25202,32930
47,P4/mmm | a c e,0.3178797384230953,18809,25256
48,F-43m | a c e,0.7968057869711871,24607,34395
49,I-4m2 | a b c d,0.28498126730737905,24556,34085
