cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,Pm | 1a 1a 1b 1b,0.6205813040062844,7638,10767
1,P-6m2 | 1a 1b 2h,0.07469472590283191,7698,9600
2,Fm-3m | 4a 4b 8c,0.8790887850467289,1712,10334
3,Cmmm | 2a 2b 4f,0.4601584855822144,9086,12194
4,Imm2 | 2a 2a 2b 2b,0.3531909418425116,7772,10911
5,Cm | 2a 2a 2a 2a,0.9081621443480171,9103,10810
6,F-43m | 4a 4b 4c 4d,0.9791840906978906,10761,15858
7,R-3m | 3a 3b 6c,0.916403785488959,5072,7201
8,Immm | 2a 2c 4j,0.3421158218536846,7477,10204
9,Cmmm | 2a 2b 4f,0.36650669360949734,7918,10367
10,Pmm2 | 1a 1a 1d 1d,0.23067331670822944,7218,9853
11,Pmmm | 1a 1d 1f 1g,0.5255383765875207,7244,10057
12,I-4m2 | 2a 2b 2c 2d,0.5099561678146525,7985,10864
13,F-43m | 4a 4c 16e,0.5156539459058911,10796,15038
14,P4mm | 1a 1a 1b 1b,0.4969013386217154,8068,11098
15,C2/m | 2a 2d 4i,0.662009672219237,7444,9073
16,Imm2 | 2a 2a 2b 2b,0.3461191335740072,8864,11948
17,I4/mmm | 2a 2b 4d,0.29732883817427386,7712,10186
18,R-3m | 3a 3b 6c,0.6861424482236067,5939,8481
19,P2/m | 1a 1g 2n,0.2957022929457461,7981,11336
20,I4mm | 2a 2a 2a,0.6101327553508534,7382,9355
21,Cm | 2a 2a 2a 2a 2a 2a,0.12699603472296644,9331,11833
22,P4/mmm | 1a 1c 2e,0.41294551413355185,7323,10257
23,P2/m | 1a 1g 2n,0.4035383319292334,8309,11613
24,F-43m | 4a 4b 4c 4d,0.9884461211978307,8482,11377
25,F-43m | 4a 4b 4c 4d,0.9962327877370746,7698,11271
26,I4/mmm | 2a 2b 4d,0.4461665066520368,7291,9927
27,Cm | 2a 2a 2a 2a,0.9051378283939433,7727,9330
28,I-4m2 | 2a 2b 2c 2d,0.6427496236828901,9965,13613
29,F-43m | 4a 4b 4c 4d,0.9677348551360843,9112,13472
30,I4mm | 2a 2a 2a,0.38520089842775146,8014,10170
31,C2/m | 2a 2b 4f,0.23559099626526697,9907,12879
32,Pm | 1a 1a 1b 1b,0.8158211752108151,7471,10190
33,Fm-3m | 4a 4b 8c,0.8131015212666873,3221,10899
34,Pmmm | 1a 1d 1f 1g,0.34366925064599485,5418,7626
35,F-43m | 4a 4c 16e,0.8832580463015246,7084,10158
36,Cmm2 | 2a 2a 2b 2b,0.2301189730745147,9582,13055
37,Fm-3m | 4a 4b 8c,0.8829294369208838,5612,8674
38,P2/m | 1a 1c 2n,0.22545008183306056,7332,10089
39,I-4m2 | 2a 2b 2c 2d,0.4823691039535949,6551,8812
40,Pm | 1a 1a 1b 1b,0.5075578976563584,7211,9760
41,P4mm | 1a 1a 1b 1b,0.4422748352453014,8194,10970
42,P2/m | 1a 1c 2n,0.28630578132188317,6521,9015
