cluster_id,dominant_point_group,fraction,n_labeled,cluster_size
0,m,0.6455778520995912,10764,10767
1,4/mmm,0.30629691409507925,9592,9600
2,m-3m,0.9741629572285659,10334,10334
3,mmm,0.5492125984251969,12192,12194
4,mm2,0.8282309807516041,10910,10911
5,m,0.9227495605513923,10809,10810
6,-43m,0.9987384887094739,15854,15858
7,-3m,0.9329166666666666,7200,7201
8,mmm,0.5614464915719326,10204,10204
9,2/m,0.5040524893863373,10364,10367
10,mm2,0.29036841571095096,9853,9853
11,mmm,0.5598647573587908,10056,10057
12,-42m,0.5064899199116266,10863,10864
13,-43m,0.9723349072288355,15037,15038
14,4mm,0.514375844975214,11095,11098
15,2/m,0.6577758183621735,9073,9073
16,mm2,0.8251590224305323,11948,11948
17,mmm,0.40677466863033873,10185,10186
18,-3m,0.6896592382973706,8481,8481
19,2/m,0.5060878771836951,11334,11336
20,4mm,0.616634594825743,9354,9355
21,mmm,0.32379581816642683,11813,11833
22,4/mmm,0.45943046615954747,10254,10257
23,2/m,0.5507233895969686,11612,11613
24,-43m,0.9989449621944786,11374,11377
25,-43m,0.998047741591978,11269,11271
26,4/mmm,0.45787988714228134,9924,9927
27,m,0.9242066895368782,9328,9330
28,-42m,0.6361699000587889,13608,13613
29,-43m,0.9992573338284441,13465,13472
30,4mm,0.42674532940019666,10170,10170
31,2/m,0.46049258021909717,12871,12879
32,m,0.8313867896751399,10189,10190
33,m-3m,0.9385208295100018,10898,10899
34,mmm,0.39081967213114754,7625,7626
35,-43m,0.9817823732151649,10155,10158
36,mm2,0.5567302535815521,13053,13055
37,m-3m,0.9146777355009801,8673,8674
38,2/m,0.4116772402854877,10088,10089
39,-42m,0.4779795686719637,8810,8812
40,m,0.6317622950819672,9760,9760
41,4mm,0.5287628771993801,10969,10970
42,2/m,0.4603949412025738,9014,9015
43,mm2,0.9673810138566141,11619,11620
44,2/m,0.6804300256873751,10511,10511
45,4/mmm,0.5858242348308573,11174,11175
46,-43m,0.9842043888476625,9433,9435
47,mmm,0.23446940356312937,12910,12921
48,3m,0.2994161801501251,8393,8398
49,4mm,0.7350441188375293,12353,12354
50,4/mmm,0.4612595815206132,9654,9656
51,mm2,0.6092172919443916,10502,10502
52,4/mmm,0.45957655521948826,12233,12234
53,-3m,0.7783957483623779,8091,8094
54,m,0.7935320520197952,8689,8689
55,-43m,0.998537892941272,12311,12311
56,mm2,0.7069694596711041,12770,12770
57,4/mmm,0.5817318073850141,9262,9264
58,mmm,0.318638507279065,9754,9755
59,-3m,0.9442159654117895,9483,9485
60,2/m,0.4097946819252777,11884,11886
61,2/m,0.40502841398312384,11614,11618
62,m-3m,0.459374129445631,10769,10776
63,mmm,0.46148743885249977,12061,12076
64,6/mmm,0.26393319572152374,10658,10662
65,mm2,0.48842958860759494,10112,10114
66,-43m,0.9770422943221321,13808,13810
67,-3m,0.9614584275762237,11053,11054
68,mmm,0.3452724821875602,10386,10387
69,mmm,0.6508281074127673,12438,12439
70,4/mmm,0.5915241791671038,9533,9533
71,mm2,0.2956235945338177,11562,11563
72,-43m,0.9989696032972695,11646,11646
73,-43m,0.9987506507027589,9605,9609
74,4/mmm,0.2600298343408966,12737,12740
75,m,0.9532462615937914,10566,10566
76,mmm,0.4019104760401042,12667,12679
77,mm2,0.5339412360688957,11844,11847
78,-42m,0.5579057905790579,13332,13332
79,4mm,0.4612299465240642,12716,12718
80,4mm,0.5190585294730264,9602,9602
81,mmm,0.513194373138926,9739,9741
82,m,0.9165665611007972,9157,9158
83,-3m,0.9022339935513588,8684,8687
84,mm2,0.8547370239226185,11579,11580
85,6/mmm,0.23534460561325207,11651,11663
86,m-3m,0.8655068880254327,11324,11325
87,mm2,0.7142266763095361,9679,9680
88,4mm,0.6293296907015319,10249,10249
89,-43m,0.71187524990004,12505,12505
90,-3m,0.7517880794701987,7550,7551
91,m,0.6788274312613672,9347,9347
92,4mm,0.6656354958458547,11314,11316
93,3m,0.946231884057971,6900,6901
94,m-3m,0.9372882828107357,11513,11513
95,mmm,0.4294343767160901,10926,10931
96,-42m,0.5658054820010019,13973,13976
97,-43m,0.999032804062223,12407,12409
98,-43m,0.9749297094657919,12804,12804
99,m,0.7352772356790265,8711,8712
100,4/mmm,0.5411272267107953,10273,10273
101,-43m,0.9950545014129996,9908,9909
102,4mm,0.4392361111111111,9792,9793
103,4/mmm,0.4750730688935282,11975,11977
104,mmm,0.4925166748007158,12294,12296
105,6/mmm,0.22847499232893526,16295,16334
106,mm2,0.7628568483974029,9703,9704
107,4mm,0.3122942338444173,10631,10632
108,4/mmm,0.5696445725264169,12492,12493
109,2/m,0.4922087061425555,9947,9949
110,3m,0.9702813784381916,6326,6327
111,3m,0.9467239527389903,4655,4655
112,2/m,0.5199236726905376,8909,8910
113,2/m,0.46022324592487596,11288,11291
114,4/mmm,0.3529274369355341,12844,12846
115,-3m,0.6029427912594707,9107,9108
116,-43m,0.9750201450443191,17374,17378
117,4/mmm,0.5159786950732357,12016,12017
118,-43m,0.9948937722257682,10967,10967
119,m-3m,0.9410305648903825,12498,12498
120,mm2,0.7762840719451141,10786,10788
121,4mm,0.6460890272943762,10918,10918
122,-43m,0.9599663464909206,14263,14266
123,m,0.8491916247018287,11319,11326
124,-43m,0.9995955019820403,12361,12363
125,m-3m,0.5572846188543076,13302,13314
126,m,0.341099564197117,11932,11933
127,-3m,0.9790735951093346,8506,8508
128,mm2,0.8454515161612796,15005,15007
129,-43m,0.9908331635771033,9818,9822
130,-43m,0.9883040935672515,14877,14882
131,-6m2,0.5225813717761009,8879,8881
132,-3m,0.6092197642071797,7549,7560
133,-3m,0.8931089941853272,8083,8084
134,mmm,0.5471007693751173,10658,10661
135,-42m,0.42804744810363665,12814,12817
136,4/mmm,0.25763303285838907,10317,10320
137,4/mmm,0.3735370210668966,8117,8119
138,4mm,0.38179436804191225,9162,9163
139,4/mmm,0.5190509790086435,11338,11340
140,mmm,0.5520986204872321,10221,10223
141,2/m,0.2844245301946098,14953,15158
142,mm2,0.6506646971935007,9478,9482
143,-3m,0.8724505327245053,9855,9858
144,m,0.7188226181254841,12910,12944
145,2/m,0.3480086003890652,9767,9769
146,mmm,0.48670992977153527,11249,11255
147,m,0.7390881590319792,9256,9261
148,-43m,0.8024646346798892,13714,13715
149,4/mmm,0.7344275748871564,12185,12191
