cluster_id,dominant_point_group,fraction
0,2/m,0.9763601599165652
1,-43m,0.9978448275862069
2,mmm,0.3614763398518321
3,-42m,0.9998138611404107
4,mmm,0.9522986247544204
5,-3m,0.9874914531633351
6,mm2,0.99031340491505
7,4/mmm,0.9079792306877186
8,mmm,0.9575030354974645
9,4mm,0.8989403314131285
10,mm2,0.9663506685149578
11,m-3m,0.9443191538999922
12,m,0.9608746766988009
13,4/mmm,0.9952887909936368
14,-6m2,0.6918977942782267
15,3m,0.955922140387795
16,-43m,0.9895975443383356
17,2/m,0.9908936310274837
18,m,0.967108775099577
19,mmm,0.9649417771965876
20,3m,0.9594256356211303
21,4/mmm,0.949924742387403
22,mm2,0.9998687491796824
23,-43m,0.9931814057193228
24,6/mmm,0.6018099547511312
25,4mm,0.8989310009718173
26,m-3m,0.5174775625885687
27,m,0.9977631971368923
28,-43m,0.9981345623275646
29,4/mmm,0.9989368250237816
30,4mm,0.8314655523295255
31,mmm,0.9163496883490491
32,4/mmm,0.8636949942947859
33,2/m,0.9169181440965674
34,4/mmm,0.6836542091355229
35,4mm,0.8053514809372825
36,mm2,0.9908238513130234
37,m-3m,0.9544232611315391
38,m,0.9815899860177109
39,-43m,0.9925080110123211
40,mmm,0.989152756568901
41,-3m,0.9855382967327263
42,2/m,0.9841348713398402
43,-42m,0.9998635743519781
44,mmm,0.9702991316901259
45,mm2,0.9719873491254115
46,-43m,0.9859516875107076
47,m-3m,0.9796754133171546
48,mm2,0.6945497042886992
49,m-3m,0.7199825986078886
