path                                                                                 count      pct
properties.geometry_optimization.structure_optimized.lattice_parameters.b          460,537    28.2%
properties.geometry_optimization.structure_optimized.mass_density                  460,537    28.2%
properties.structures.structure_conventional.lattice_parameters.beta               460,537    28.2%
properties.structures.structure_original.lattice_parameters.alpha                  460,537    28.2%
properties.geometry_optimization.structure_optimized.lattice_parameters.gamma      460,537    28.2%
properties.structures.structure_original.species.name                              460,537    28.2%
properties.structures.structure_conventional.atomic_density                        460,537    28.2%
properties.geometry_optimization.structure_optimized.species.name                  460,537    28.2%
properties.structures.structure_primitive.lattice_parameters.gamma                 460,537    28.2%
properties.structures.structure_primitive.lattice_parameters.c                     460,537    28.2%
properties.structures.structure_original.lattice_parameters.beta                   460,537    28.2%
properties.structures.structure_primitive.lattice_parameters.a                     460,537    28.2%
properties.structures.structure_conventional.lattice_parameters.c                  460,537    28.2%
properties.structures.structure_primitive.cell_volume                              460,537    28.2%
properties.geometry_optimization.structure_optimized.lattice_parameters.alpha      460,537    28.2%
properties.structures.structure_primitive.lattice_parameters.b                     460,537    28.2%
properties.structures.structure_original.atomic_density                            460,537    28.2%
properties.structures.structure_conventional.cell_volume                           460,537    28.2%
properties.structures.structure_original.lattice_parameters.a                      460,537    28.2%
properties.structures.structure_primitive.species.name                             460,537    28.2%
properties.geometry_optimization.structure_optimized.lattice_parameters.a          460,537    28.2%
properties.structures.structure_original.mass_density                              460,537    28.2%
properties.geometry_optimization.structure_optimized.lattice_parameters.beta       460,537    28.2%
properties.structures.structure_original.lattice_parameters.b                      460,537    28.2%
properties.structures.structure_conventional.wyckoff_sets.wyckoff_letter           460,536    28.2%
properties.structures.structure_conventional.wyckoff_sets.element                  460,536    28.2%
method.simulation.geometry_optimization.type                                       460,378    28.2%
method.simulation.geometry_optimization.convergence_tolerance_energy_difference    459,247    28.1%
material.symmetry.prototype_formula                                                396,420    24.3%
material.symmetry.prototype_aflow_id                                               396,420    24.3%
material.topology.symmetry.wyckoff_sets.x                                          320,313    19.6%
material.topology.symmetry.prototype_label_aflow                                   257,539    15.8%
material.symmetry.strukturbericht_designation                                      231,778    14.2%
properties.structures.structure_conventional.wyckoff_sets.z                        226,820    13.9%
material.material_name                                                             198,617    12.2%
properties.structures.structure_conventional.wyckoff_sets.x                         99,214     6.1%
material.symmetry.structure_name                                                    74,765     4.6%
material.topology.symmetry.wyckoff_sets.y                                           37,204     2.3%
material.topology.symmetry.prototype_name                                           23,555     1.4%
method.simulation.precision.planewave_cutoff                                        21,911     1.3%
properties.structures.structure_conventional.wyckoff_sets.y                         12,800     0.8%
method.simulation.dft.hubbard_kanamori_model.u                                       3,218     0.2%
method.simulation.dft.hubbard_kanamori_model.atom_label                              3,218     0.2%
method.simulation.dft.hubbard_kanamori_model.orbital                                 3,218     0.2%
method.simulation.dft.hubbard_kanamori_model.u_effective                             3,218     0.2%
method.simulation.dft.hubbard_kanamori_model.double_counting_correction              3,218     0.2%
method.simulation.dft.spin_polarized                                                 2,804     0.2%
properties.geometry_optimization.convergence_tolerance_force_maximum                 2,719     0.2%
method.simulation.dft.smearing_kind                                                  2,273     0.1%
method.simulation.dft.smearing_width                                                 1,142     0.1%
method.simulation.dft.relativity_method                                                531     0.0%
method.simulation.dft.hubbard_kanamori_model.j                                          90     0.0%
method.simulation.dft.van_der_Waals_method                                              12     0.0%
method.simulation.dft.exact_exchange_mixing_factor                                       5     0.0%
