cluster_id,n_samples,largest_sv,top_sv_fraction
0,11072,521.6601456190414,0.440742794598889
1,10147,314.7149089448157,0.16317047813932262
2,10741,208.53325990338632,0.21164924250100522
3,11674,569.6500695479343,0.4461360262090014
4,11870,261.1840177498021,0.4377729422383448
5,11112,310.35474290651564,0.3995199557378534
6,15877,262.1229202161916,0.44804530057274455
7,10032,248.01798134122907,0.6175712237199422
8,12822,313.4424584086727,0.3669008240590528
9,12775,343.97254748259417,0.43368809722977336
10,10158,240.80841258488414,0.4315834856194582
11,12289,259.5185190830063,0.35501268198393104
12,11217,269.88699804991853,0.3325356948008526
13,12172,274.4594796286241,0.444309933037816
14,9566,137.8449311603899,0.28209046668736565
15,15378,191.180345725634,0.3812897540217516
16,10589,188.24950813743402,0.39906192339592983
17,8837,304.63532698245183,0.31701465466726314
18,7652,108.76328138912531,0.41282997088151485
19,13515,299.68995179553355,0.09965999476907904
20,11382,334.13151672120057,0.46902703712457644
21,9366,234.2620755272039,0.40725714766415105
22,10030,289.6047206003133,0.37447292793621967
23,10587,147.2419080155596,0.526302673584012
24,9514,313.8609407625919,0.3557889507978939
25,15388,364.29531298287685,0.26466394474423666
26,9585,290.83500244865655,0.3548159169026995
27,7352,238.23275209352823,0.47519679151610633
28,15054,165.4265148041466,0.27173031214394544
29,8313,212.34926723803548,0.4739834098327774
30,11473,226.89834241421053,0.2975648895129112
31,12593,244.72667811539807,0.27193676547265727
32,8536,284.52850221998244,0.36470184674277945
33,9469,464.118087945392,0.4721439981397612
34,8329,290.9164077632158,0.5735261188805599
35,8327,232.76124591791833,0.49943923870438733
36,12080,211.03401647556007,0.4923831220156051
37,9613,200.10971576794788,0.383245915093795
38,10802,272.46970004131987,0.3804607467623652
39,11840,162.61286968697868,0.6264406219172989
40,8464,335.0520705563838,0.49598413166366223
41,15423,370.0801157794038,0.5252868638043279
42,11780,324.8815453684792,0.36512228593025436
43,12719,220.36768657945555,0.3855899432555711
44,12238,352.4551280664262,0.45336150524240426
45,10396,281.742950612089,0.36291289215464834
46,7750,117.16623313567612,0.9999999999998891
47,11583,194.8369277514746,0.3673617033539153
48,13011,238.9798605387908,0.5368470801725286
49,9300,272.4179769466281,0.43735716658496937
50,14567,283.15900002475223,0.3266951372017839
51,12992,283.20666427695744,0.3369266294790538
52,9685,366.3871875905343,0.5135309462229833
53,9104,201.79128464600893,0.23554926176567373
54,11590,267.2096799437976,0.4306725126907103
55,11243,259.42424297073234,0.18553153517445012
56,10957,282.172508012062,0.2937866542308449
57,13662,416.29737224347093,0.3626326465757347
58,7884,365.4887531397382,0.5047507459846227
59,10218,286.5773098512504,0.3541234070230755
60,10741,350.5600005672839,0.29875311463987014
61,14872,314.26837332214626,0.4605338944818258
62,8315,307.3828725949597,0.14331416672260056
63,9571,374.189364261721,0.20540723681981052
64,9004,235.0242635884601,0.33314734639371546
65,8719,281.93129492645767,0.5702130570824432
66,13646,281.12126973614045,0.43269721679328
67,6484,203.4261510466453,0.457282447259972
68,12030,271.0953853308535,0.29717014908820777
69,7947,277.7707721835285,0.3036736396834094
70,10945,205.5594873634716,0.5484359301848779
71,10908,275.14969986820074,0.2594159759810219
72,10775,275.12812290477103,0.2851903694331833
73,12607,279.29785566181715,0.43050527839688796
74,9665,199.15530642262178,0.3048726246957298
75,9992,179.8200950956142,0.28218863302255365
76,16000,269.13051774033386,0.7381008928400508
77,9781,346.1702200768133,0.45348673825522007
78,10443,279.3204299256064,0.4555719953735057
79,13262,145.48293537668116,0.3418018220056599
80,17388,220.7987228373309,0.28261170422992327
81,10073,326.3933150154174,0.28177800907937023
82,13175,298.70444124765686,0.34087594951965744
83,10915,602.3634930838497,0.4622248622824435
84,9222,235.30183011671494,0.2901476972955445
85,11411,283.3267643969315,0.3041913623342562
86,9683,394.49091410115267,0.570585080407674
87,10123,273.8255121441654,0.6409994402345909
88,11554,139.8441696969964,0.9999999999998904
89,10019,250.65992220241563,0.10680895573947638
90,11910,264.64181836204085,0.20627990497048507
91,10292,246.8258416227717,0.2646977615382051
92,18417,449.6565155689675,0.48360033122317336
93,12040,206.15572904392337,0.22559086200157769
94,13491,322.5958690636749,0.2971852422334214
95,10991,265.84888794315475,0.38766373335983656
96,10728,163.4369910291109,0.6319987798001694
97,7851,431.6133112150916,0.42983980130448013
98,4561,205.39723898168654,0.4892062585438589
99,11248,374.19988654192656,0.46007950850948454
100,11790,190.8491184999607,0.33941390546065764
101,10445,207.7183381102714,0.48507878926288023
102,12088,127.29985603940807,0.4308874290318757
103,11850,217.4520186566812,0.21383755744635763
104,7756,282.2261321216069,0.43195353602368886
105,9279,313.697703471734,0.37151356972626753
106,10046,208.72506731129005,0.3627979083468233
