sg_sites,n_materials
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,168
Pmmm | 1a 1c 1f 1h,157
I4mm | 2a 2a 4b 8c 8d,155
P-3m1 | 1a 2c 2d 2d 2d,154
P4/mbm | 2a 4g 4h,153
I4/mmm | 2a 4e 4e,148
Cm | 2a 2a 2a 2a 4b 4b 4b 4b 4b 4b,148
P2/m | 1a 1e 1f 1g,148
P4/mmm | 1a 1b 1c 1d 2e 2f 2g 2h 4i 4j 4k 4l 4m 4n 4o 8r 8s 8t,146
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,146
Fmmm | 4a 4b 8d,143
P-31m | 1a 2d 6k,142
P4_2/mnm | 2a 4f 8i 8i 8j,138
C2/m | 2a 2c 4i,134
Pmmm | 1a 1e 2p,134
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,134
Pmm2 | 1a 1a 1b 1d,133
Fm-3m | 4a 24d 24e 32f 32f,128
P-6m2 | 1a 1d 2g 2h,127
Im-3m | 2a 6b,124
P4/nmm | 2a 2b 2c 2c 2c,120
Cmc2_1 | 4a 4a 4a,119
P-4m2 | 1a 1b 1c 1d 2g 2g 2g 4j 4k 8l,116
R32 | 3a 6c 9e,111
R-3m | 3a 3b 6c 6c 18h,104
P6_3/mmc | 2a 2c 4f,102
P-6m2 | 1a 2h,98
P6_3/mmc | 2c 2d,98
P6/mmm | 1a 2d 3f,95
Immm | 4g 4i 4j,95
Immm | 2a 4i 4i,94
P2_1/m | 2e 2e 2e 2e 2e 2e 2e,94
P4/mmm | 1a 1b 2e 2f,89
P-4m2 | 1a 1c 2g,88
F-43m | 4a 4c,88
Immm | 2a 2d 4h,88
Pm-3m | 3c 3d,87
Pnma | 4c 4c 4c 4c 4c,84
Cmcm | 4c 4c 8f,83
Amm2 | 2a 2a 2b 2b 4c 4c 4d 4e 8f,82
Immm | 2a 4j,81
P-62m | 1a 2d 3f,81
Pmm2 | 1a 1c 1d 1d,80
Pnma | 4a 4c 4c 8d,77
P-3m1 | 1a 1b 2d 2d,76
I4/mmm | 2a 2b 4e 8g,75
Fm-3m | 4a 4b 8c 24e,74
Pbam | 2a 2c 4g 4h 4h,74
P4/mmm | 1a 2e 2g 2h 4i,73
Cmcm | 4a 4c 4c 4c 8f,72
C2/m | 2a 4i 4i 4i 4i,72
P2_1/c | 4e 4e 4e 4e 4e 4e,70
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,70
P6_3/m | 2c 6h 6h,70
R-3m | 3a 6c 6c 6c,70
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i,69
P3m1 | 1a 1a 1b 1c,69
Pmmm | 1a 1g 2t,69
P-4m2 | 1a 1b 2g,68
F-43m | 4a 4d 16e,67
Pmmm | 1a 1g 2s,67
Pnma | 4c 4c 4c 4c 4c 4c 4c,66
P6_3mc | 2a 2a 2a 2b 2b 2b 2b,66
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e,65
C2/m | 2a 4i 4i 4i,65
Pbam | 4g 4g 4g 4g 4h 4h,64
I4/mmm | 2a 8f 8i 8j,64
Cm | 2a 2a 2a 2a 2a 2a 2a 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b,62
P-6m2 | 1a 1d 1e,62
Imm2 | 2a 2a 4d 4d,62
P-3m1 | 1a 2d 3e 6i,61
P2_1/c | 4e 4e 4e 4e 4e 4e 4e,61
Cmcm | 4a 4c 4c,61
P-3m1 | 1a 1b 2d,60
Pnma | 4c 4c 4c 4c 4c 4c 4c 4c 4c,59
P-6m2 | 1a 2i,59
P4/mmm | 1a 1b 2h 4i,58
P1 | 1a 1a 1a 1a 1a 1a 1a 1a,58
P6_3mc | 2a 2b 2b,57
Fddd | 8a 16g 16g,57
P4/nmm | 2a 2b 2c 2c,56
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e,56
Immm | 2a 2c,56
P-3m1 | 1a 2d 2d 2d,55
P6/mmm | 1a 2c 2d 2e 6i,55
Pmma | 2a 2e 2e 2f 4j,55
P6_3/mmc | 2a 2c 6h,54
Fmmm | 4a 8i 8i,54
C2/c | 4e 8f 8f,54
Fm-3m | 4a 8c 24e,53
I4mm | 2a 2a 2a 4b,53
P6_3/mmc | 2a 2c 6h 6h 12k,53
Cm | 2a 2a 2a 2a 2a 2a 2a 2a,52
C2/m | 4i 4i 4i 4i 4i 4i 4i,51
Pnma | 4c 4c 4c 4c 4c 4c,51
Pnma | 4c 4c 4c 4c,50
Imm2 | 2a 2b 4d 4d 4d,48
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,47
P2_1/c | 4e 4e 4e,47
Pm-3n | 2a 6c 8e 24k,47
P-1 | 2i 2i 2i 2i 2i 2i,47
Pna2_1 | 4a 4a 4a 4a,47
Cmcm | 4c 4c 4c 4c,47
P2_1/c | 2a 2d 4e 4e 4e 4e,46
P4/mmm | 1a 1b 1c 1d 2e 2f 4j 4k 4l 4m 4n 4o,45
C2/m | 4g 4h 4i 4i 8j 8j,45
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,45
P4/mmm | 1a 1c,45
R-3m | 3a 6c 6c 9d 18h,44
P2_1/c | 4e 4e 4e 4e 4e,44
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,44
P-3m1 | 2d 2d 2d,44
Pmmn | 2a 2b 4f,44
P6_3 | 2a 2b 2b 6c 6c 6c,43
Pmmm | 1a 1b 1c 1d 1e 1f 1g 1h 2m 2n 2o 2p 2q 2r 2s 2t 4u 4v,42
Fd-3m | 8a,42
F-43m | 4a 4d,41
Pnma | 4c 4c 4c 4c 4c 8d,41
P2_1/m | 2e 2e 2e 2e,41
Pbam | 2a 4g 4g 4h 4h 4h,41
P-3m1 | 2c 2d 2d 2d 2d 2d 2d,41
P2_1/m | 2e 2e 2e 2e 2e,41
I4cm | 4a 4b 8c 16d,40
R-3m | 3a 6c 9d,40
Pmmm | 1a 1h 2q 2t,40
P4/nmm | 2a 2c 2c 2c,39
P6_3/mmc | 2a 2b 4f 4f,39
I4/mmm | 2a 4d 8h,39
I4/mcm | 4a 8h 16l,39
P4_132 | 8c 12d,39
Pbam | 2a 4g 4g 4g 4h 4h 4h,39
I-42d | 4a 4b 8d,38
Pbcm | 4c 4d 4d 8e 8e,38
P-6m2 | 1a 1b 2i,38
P-1 | 2i 2i 2i 2i,38
C2 | 2a 2b 4c 4c 4c,38
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,37
I4/mmm | 2a 8j,37
Pmm2 | 1a 1a 1c 1d,37
Cmcm | 4c 4c 8f 8f 8f,36
Imma | 4a 4c 4e 8h 8i,36
Pnma | 4c 4c 4c 4c 8d,36
P3m1 | 1a 1a 1a 1b 1b 1b 1c,36
P-6m2 | 1a 1d 2i,36
Pbam | 2a 4g 4h,36
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,35
P6_3/mmc | 2b 2c 4f 6g 12j 12k,35
P2_1/m | 2e 2e 2e,35
C2/c | 4e 8f,35
P4/mmm | 1a 1b 1c 4i,34
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,34
Immm | 2a 2d 4i 8l,34
Pm | 1a 1a 1a 1a 1b 1b 1b 1b,34
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,33
I4/mmm | 2a 4c 4e 4e,33
Pmma | 2a 2e 2f 2f,33
Cmmm | 2a 2d 4i 4j,33
P4_2/mnm | 4d 4f 4g 8j,32
Pnma | 4a 4c 4c 4c 4c 8d,32
P6_3cm | 2a 4b 6c 6c 6c,32
P-3m1 | 2c 2d 2d 2d,32
I4/m | 2a 8h 8h 8h,32
P4/mmm | 1a 1b 1c,32
P6/mmm | 1a 1b 4h,31
Pbam | 4g 4g 4g 4g 4g 4g 4h 4h 4h,31
P2/m | 1a 1c 1e 1h,31
R3m | 3a 3a 3a 3a 9b 9b,31
P4/mmm | 1a 1b 1c 1d,31
Pmm2 | 1a 1a 1b 1b 1c 1c 1d 1d,31
Immm | 2a 2d 4j 8l,31
P-1 | 2i 2i 2i 2i 2i,30
R-3m | 3a,30
Cm | 2a 2a 2a 2a 2a 2a 2a,30
Amm2 | 2a 2a 2a 2b,30
Fmm2 | 4a 4a 8b 8c 8c 8c 8c 8c 8d,30
Im-3 | 2a 8c 24g,29
Ibam | 4a 4b 8g 8j 8j 8j,29
Pc | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,29
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,29
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i,29
Immm | 2a 4h 4j,29
Cmcm | 4a 4c 4c 8f 8f,29
P2/m | 1a 1e 2m 2n,29
P3m1 | 1a 1b 1b 1c,29
P2_13 | 4a 4a 4a,29
Cmcm | 4c,28
C2/m | 4i 4i 4i 4i 4i,28
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,28
Pm-3m | 1a 3c 3d 8g,28
Pbam | 2a 4g 4h 4h,28
Pm | 1a 1a 1a 1a 1a 1a 1b 1b 1b 1b 1b 1b 2c 2c,28
P-62m | 2c 3f 3g,28
P-1 | 1a 1e 2i 2i,28
Pm | 1a 1a 1a 1a 1b 1b 1b 1b 2c 2c 2c 2c,28
Pnma | 4c 4c 4c 4c 8d 8d,27
Pbca | 8c 8c 8c 8c 8c 8c 8c 8c,27
P4/mmm | 1a 1c 1d 4i,27
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,27
R-3 | 3a 3b 18f 18f,27
Cmcm | 4c 4c 8e 8g,27
R-3m | 6c 6c 18h 18h,27
Im-3m | 2a,26
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,26
Ibam | 4a 8j 8j,26
P1 | 1a 1a 1a 1a 1a 1a 1a,26
R-3m | 3a 3b 6c 6c 6c,26
P2_1/m | 2e 2e 2e 2e 2e 2e 4f,26
Fmm2 | 4a 4a 8b 8c 8d,26
Cmm2 | 2a 2b 4c 4d 4e,26
Cmc2_1 | 4a 4a 4a 4a 4a,26
Immm | 2a 2c 4i,26
Cmcm | 4a 4c 4c 8g,26
Imma | 4e 4e 8g,26
P2/m | 1a 1f 2m 2n,25
C2/c | 4e 8f 8f 8f 8f 8f,25
Cmcm | 4a 4c 8g,25
Pnma | 4c 4c 4c 8d 8d 8d,25
Pnma | 4a 4c 4c 4c 4c 4c 4c 4c 4c 4c 8d 8d,25
P2_1/c | 2a 4e 4e 4e 4e,25
R-3 | 3a 6c 18f 18f,25
P2_1/c | 4e 4e 4e 4e,25
C2/m | 2a 4h 4i 8j,25
C2/c | 4e 8f 8f 8f 8f,24
R3m | 3a 3a 9b,24
P6_3/mmc | 2c 4f,24
R3m | 3a 3a 3a 9b 9b,24
P-3m1 | 2c 2d 2d,24
P4/nmm | 2c 2c 2c,24
R-3 | 3a 3b 18f,23
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a,23
R-3m | 6c,23
Amm2 | 2a 2a 2b 4d 4e 4e,23
Pmmn | 4e 4e 4e,23
P4_2/mnm | 2a 4e 4f 8j,23
Pbcm | 4c 4c 4d 4d 4d,23
Cmcm | 4a 4c 4c 8f,22
Pmn2_1 | 2a 2a 2a 2a 4b 4b 4b,22
P2_1/m | 2a 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 4f 4f 4f,22
Pnma | 4c 4c 4c 4c 4c 8d 8d,22
C2 | 2a 2b 4c 4c,22
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,22
C2/c | 4e 4e 8f 8f,22
Pbcn | 4c 4c 8d 8d,22
Cmcm | 4c 4c 8e 8g 8g,22
P-6m2 | 1a 1d 3j 3k,22
Imm2 | 2a 2a 2a 2b,22
P-62c | 2b 4f 6g 6h,21
P2_1/m | 2e 2e 2e 2e 2e 2e,21
I4/mcm | 4a 4c 8h 16l,21
Fd-3m | 8a 16d 32e,21
C2/c | 4e 4e 8f 8f 8f 8f,21
C2/c | 4e 8f 8f 8f 8f 8f 8f,21
I4/mmm | 2a 2b,21
Pbca | 8c 8c 8c,21
Imma | 4e 8h,21
P4_2/mnm | 2a 4f 8i,21
P6_3/mmc | 2a 2b 2c 2d 4f 12k,21
P4/mmm | 1a 1b 1d 4i,21
P6/mmm | 1a 2c 3f 6m,21
Cmce | 8f,21
C2/m | 4i 4i 4i 4i,21
Cmmm | 2a 2c 4i,21
Pmma | 2e 2e 2f 2f,21
Cmmm | 2a 4i 4j 4j,21
P-6 | 1a 1c 1f 3j 3j 3j 3k 3k 3k,20
P-1 | 1a 2i 2i 2i 2i 2i,20
Cm | 2a 2a 2a 2a 4b 4b,20
P6_3/mmc | 2c,20
P-3m1 | 2d 2d 2d 2d,20
R3m | 3a 3a,20
Pmmn | 2a 2a 2b 4e 4e,20
C2/c | 4e 4e 8f 8f 8f 8f 8f 8f 8f 8f,19
P6/mmm | 1a 2d 3f 6k 6l,19
P6_3mc | 2b 2b 6c 6c 6c,19
P3m1 | 1a 1a 1a 1b 1b 1b,19
R3c | 6a 6a 6a 18b 18b 18b 18b 18b,19
Pnma | 4c 4c 4c 4c 4c 4c 4c 4c,19
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,19
C2/c | 4e 4e 8f 8f 8f 8f 8f,19
Pnna | 4c 4d 8e 8e,19
P6/mmm | 1a 2c,19
Fmmm | 8f 8g 8h 8i 16m 16m,19
P3m1 | 1a 1a 1b 1b 1c 1c,19
Immm | 2a 2c 4i 4j 4j,19
P3m1 | 1a 1a 1a 1b 1c 1c 1c,19
Cmmm | 2a 4i 4j,19
P3m1 | 1a 1a 1a 1a 1b 1b 1b 1b,19
Pbam | 2a 2d 4g 4g 4g 4g 4g 4h 4h 4h 4h 4h,19
Pm-3m | 1a 1b 3c 3d,18
P2/c | 2e 2f 4g 4g 4g 4g 4g,18
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,18
P2/c | 2e 2f 4g 4g,18
C2/c | 4e 4e 8f,18
I4_1/amd | 4a,18
P3_121 | 3a,18
I4/mmm | 2a 2b 4e,18
Pbcm | 4c 4d 4d,18
Cmmm | 2a 2b 2c 2d,18
C2/m | 2a 2d 4g 4h,18
Pmm2 | 1a 1b 1c 1d 2g 2h,18
Pbcn | 4c 8d 8d 8d 8d,18
Cmmm | 2a 4j,18
P-6m2 | 1a 1b 2h 2i,18
Pmmn | 2a 2a 2a,18
Ima2 | 4a 4b 4b 8c 8c 8c,17
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,17
R3 | 3a 3a 3a 3a 3a 3a 9b 9b 9b 9b 9b 9b 9b 9b 9b 9b,17
Fm-3m | 4a,17
P4_2/nmc | 2a 8g 8g,17
Pbam | 4e 4g 4g 4g 4h 4h 8i 8i 8i,17
P2_1 | 2a 2a 2a 2a 2a,17
Cmmm | 4e 4g 4j 4j,17
R3 | 3a 3a 3a 3a 9b 9b,17
Cmme | 4g 4g 4g,17
R3m | 3a 3a 3a 3a 3a 9b 9b 9b,16
R-3c | 6a 6b 18e 36f,16
Pbcm | 4c 4c 4c 4d 4d 4d 8e 8e,16
R-3 | 6c 6c 18f,16
P-6m2 | 1a 1b 2g 2h 2h,16
P2/m | 2m 2m 2n 2n,16
Pm | 1a 1a 1a 1a 1a 1a 1b 1b 1b 1b 1b 1b,16
R3 | 3a 9b 9b,16
Amm2 | 2a 2b 2b 4d 4d 4e,16
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,15
P2_13 | 4a 4a 4a 4a 12b,15
I4/mmm | 2a 4d,15
C2/m | 4i 4i 8j,15
F-43m | 16e 16e 16e 24f 24g,15
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,15
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,15
P4/mbm | 2a 2c 4g 4g 8j,15
Ima2 | 4a 4b 4b 8c 8c 8c 8c 8c,15
C2/m | 4i 4i 4i 4i 4i 4i,15
R-3m | 6c 9d,15
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 4b 4b 4b 4b,15
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,14
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,14
I4/mmm | 2a,14
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,14
P4/mnc | 4d 4e 8g 8h 8h 8h,14
C2/c | 4e 8f 8f 8f,14
Fd-3m | 16c 16d 32e 48f,14
P2_12_12_1 | 4a 4a 4a 4a 4a 4a 4a 4a 4a,14
Fddd | 8a 16f 16g,14
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,14
P-42_1c | 2a 8e,14
Fmmm | 4a 8f 8i,14
P2_1/m | 2e 2e 2e 2e 2e 4f,14
P-1 | 1a 1c 2i 2i,14
R3m | 3a 3a 3a 3a 3a 3a 3a 3a,14
Fmmm | 4a 8i 8i 8i,14
P2_1/m | 2e 2e 2e 2e 2e 4f 4f 4f,14
F-43m | 4a 4b 4c 16e 24g,14
P1 | 1a 1a 1a 1a 1a 1a,14
Imma | 4e 4e 4e 4e,14
R3m | 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a,14
R3m | 3a 3a 3a 3a 3a 3a 3a,14
P4/mbm | 2a 2d 4h,14
C2/m | 2a 2d 4i 4i 4i 4i 4i 4i,13
I-43d | 12a 12b 16c,13
Immm | 2a 4h 4i 4j 8l,13
I4/mcm | 4a 4b 4c 8h 16l,13
Im-3 | 2a 6b 8c 24g,13
I4/mmm | 2a 2b 4d 4e,13
C2/m | 2a 4i 4i 4i 4i 4i 4i 4i 4i 4i,13
C2/m | 2a 2d 4i 4i 8j,13
I-4 | 2a 2b 2c 8g,13
R3c | 6a 6a 18b,13
Pnma | 4c 4c 4c 4c 4c 4c 4c 4c 4c 4c,13
P-43m | 1a 3d 4e,13
I4/mmm | 4e 4e,13
P4/mbm | 2a 2c 4g 8j 8k,13
Fmmm | 8i,13
R-3 | 3a 3b 6c 18f,13
Pmc2_1 | 2a 2a 2b 2b,13
P4mm | 1a 1a 1a 1b 1b 1b,13
Pnnm | 4g 4g 4g 4g 4g,13
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,13
Cmcm | 4c 8e 8f,13
P6_3/mmc | 2b 4f 4f 6h 12k,13
I4mm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,13
Pmmm | 1a 1c 1f 1h 2r 2s,13
P2/c | 2e 2f 4g,13
Cmmm | 2a 2c 4k 4l,13
R3 | 3a 3a 9b 9b,13
Imm2 | 2a 2a 2a 2a 2a 2b 2b 2b 2b 2b,13
Cm | 2a 2a 2a 2a 2a 2a 4b 4b,13
P4_2/n | 2a 8g 8g,13
I4/mmm | 2a 2b 4e 4e 4e 8g,13
I-42m | 2a 2b 4d 8i,12
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,12
I4/mmm | 4c 4e 4e,12
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,12
I4_1/amd | 4a 4b 16h,12
P6/mmm | 1a 1b 2c 2d 6i,12
P-62m | 1a 2c 3f 3f 3f 3g 3g 6j 6k 6k,12
P-1 | 1a 2i 2i 2i 2i 2i 2i 2i,12
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b,12
P6_3mc | 2a 2b 2b 6c 6c 6c,12
