cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
50,P3m1 | 1a 1b 1c,0.2093206951026856,3798,5412
51,Pmmm | 1a 1c 2t,0.4880920524484881,3737,5197
52,I-4m2 | 2a 2b 2c 2d,0.835054347826087,3680,4926
53,F-43m | 4a 4c 16e,0.9190541155070486,4398,6296
54,P2/m | 1a 1c 2n,0.27527910685805423,3135,4301
55,P4mm | 1a 1a 1b 1b,0.7948016415868673,4386,6016
56,P4/mmm | 1a 1c 2e,0.8449279803861477,3263,4366
57,Cmmm | 2a 2b 4e 4h 4j,0.06833449154505443,4317,5583
58,Cmmm | 2a 2b 4f,0.6418392040871201,3719,4874
59,Pm | 1a 1a 1b 1b,0.747483989021043,3279,4652
60,P4mm | 1a 1a 1b 1b,0.8091324200913242,4380,5918
61,R-3m | 3a 3b 6c,0.8684057971014493,3450,4297
62,I-4m2 | 2a 2b 2c 2d,0.8547322083639032,4089,5725
63,P4mm | 1a 1a 1b 1b,0.7540453074433657,4944,6916
64,R-3m | 3a 3b 6c,0.7442748091603053,3930,4948
65,P3m1 | 1a 1b 1c,0.7909243697478991,2975,4093
66,F-43m | 4a 4b 4c 4d,0.9944246208742195,4484,5709
67,I-4m2 | 2a 2b 2c 2d,0.48407960199004973,4020,5322
68,F-43m | 4a 4b 4c 4d,0.9477219626168224,3424,5346
69,F-43m | 4a 4c 16e,0.8849441157133465,4563,6673
70,Cm | 2a 2a 2a 2a 2a 2a,0.1023247300018305,5463,7503
71,F-43m | 4a 4b 4c 4d,0.9823439878234399,3285,5281
72,C2/m | 2a 2d 4i,0.5540781901170867,5039,6391
73,Pmm2 | 1a 1a 1d 1d,0.8479589342459056,4091,5575
74,Imm2 | 2a 2a 2b 2b,0.4503735325506937,3748,5098
75,P4/mmm | 1a 1c 2e,0.9093581577658011,4082,5445
76,P4mm | 1a 1a 1b 1b,0.7895730125029488,4239,6076
77,Im-3m | 2a 8c,0.10529531568228107,4910,6322
78,Cm | 2a 2a 2a 2a 2a 2a,0.5172166427546628,2788,3774
79,Pm | 1a 1a 1b 1b,0.8912762101993269,3863,5189
80,Fm-3m | 4a 4b 8c,0.9145141451414515,1626,5918
