cluster_id,dominant_sg_wyckoff,fraction
157,Pmmm | a d f g,0.18388087922476956
158,Immm | a c j,0.3960726968874034
159,Immm | a c j,0.38805672059117235
160,R-3m | a b c,0.7156366835276006
161,I-4m2 | a b c d,0.6332688588007737
162,Cmmm | a b f,0.44418052256532065
163,P4/mmm | a c e,0.6344868265827762
164,Pmm2 | a d,0.46318342151675485
165,Cmmm | a b c d i j k l n r,0.2559456398640997
166,Immm | a c j,0.3380172946263125
167,P4/mmm | a c e,0.5100794135613927
168,P4mm | a b,0.3360744427613071
169,Cm | a,0.21025277580911883
170,P-3m1 | a d,0.0862956033676333
171,Fm-3m | a b c,0.13814593612048817
172,P4/mmm | a c e,0.6465263157894737
173,Pm | a b,0.39488256635478325
174,P2/m | a g n,0.3793529775396662
175,Immm | a c j,0.4072154260833506
176,Imm2 | a b,0.3152871768176297
177,Cm | a,0.8449939686369119
178,R-3m | a e,0.2582005623242737
179,Pmmm | a d f g,0.6440233823825842
180,Cm | a,0.7570826952526799
181,P4mm | a b,0.5990872388976655
182,C2/m | a d i,0.26548967355096603
183,I4/mmm | a b d,0.6583941605839416
184,Imm2 | a b,0.2576374745417515
185,Cm | a,0.854640628145762
186,R-3m | a b c,0.7009413468501087
187,P4mm | a b,0.5747663551401869
188,Fm-3m | a b c,0.5257093723129836
189,C2/m | a d i,0.7233944247651317
190,Imm2 | a b,0.3198773633111906
191,Imm2 | a b,0.34401114206128136
192,Cm | a,0.8285860918655376
193,P4/mmm | a b h,0.4649545211342964
194,Pm | a b,0.6088003502626971
195,P4/mmm | a c e,0.42469664525339046
196,P-6m2 | a b h,0.20754716981132076
197,Immm | a c j,0.13833333333333334
198,I4mm | a,0.5856070316791796
199,Pmmm | a d f g,0.22951807228915663
200,R-3m | a b c,0.3240645382766907
201,Cm | a,0.8445692883895131
202,I4/mmm | a e,0.10481400437636762
203,I4/mmm | a b d,0.5921938088829072
204,Cmm2 | a b,0.244723774053383
205,P4/mmm | a c e,0.6272603538790589
206,Immm | a c j,0.38905056384139686
207,P-3m1 | a d,0.0913081650570676
208,Pm | a b,0.3295650507760107
209,I-4m2 | a b c d,0.6805044666316342
210,I4mm | a,0.6066100094428706
211,P4mm | a b,0.4496478202931658
212,F-43m | a c e,0.6495519240906695
213,F-43m | a b c d,0.684375
214,I4/mmm | a b d,0.39955938313639094
215,P2/m | a g n,0.2589477451682176
216,Immm | a c j,0.290608625554212
217,I4/mmm | a e,0.12670957361222848
218,R-3m | a b c,0.6961157654226962
219,I-4m2 | a b c d,0.37739827113641156
220,P6/mmm | a d,0.1244752692097098
221,F-43m | a b c d,0.5740283775447255
222,C2/m | a d i,0.3239737524797803
223,R-3m | a b c,0.7110986126734158
224,P4/mmm | a b h,0.4928684627575277
225,Immm | a c j,0.3789781524169964
226,Pmmm | a d f g,0.3086572074850915
227,I-4m2 | a b c d,0.6764111049825335
228,Immm | a c j,0.6049838486386709
229,F-43m | a b c d,0.6231174698795181
230,P2/m | a c n,0.18571428571428572
231,I4/mmm | a e,0.10605784973621976
232,P2/m | a g n,0.4906015037593985
233,Cm | a,0.8058823529411765
234,F-43m | a b c d,0.5075978014872292
235,P4/mmm | a c e,0.5532200357781754
236,Cmmm | a b f,0.3807447774750227
237,I4/mmm | a b d,0.6441466592220361
238,P4/mmm | a c e,0.6024486024486024
239,P4mm | a b,0.6161290322580645
240,P3m1 | a b c,0.6723562152133581
241,Imm2 | a b,0.2231585518102372
242,Cm | a,0.1966490299823633
243,I4/mmm | a b d,0.6392823418319169
244,R3m | a,0.6929287305122495
245,P3m1 | a b c,0.2795222500481603
246,Imm2 | a b,0.34182626538987687
247,Imm2 | a b,0.23990963855421688
248,P2/m | a g n,0.5050609378227638
249,Imm2 | a b,0.36074918566775244
250,Cm | a,0.8503042596348884
251,C2/m | a d i,0.3098568640208198
252,P3m1 | a b c,0.7286628733997155
253,P2/m | a g n,0.535602328705777
254,C2/m | i,0.04707792207792208
255,F-43m | a b c d,0.6344718030182684
256,Cmm2 | a b,0.25235273614499826
257,Cmcm | c g,0.0663761801016703
258,I-4m2 | a b c d,0.6875567665758402
259,Pmmm | a d f g,0.32210446631339895
260,R-3m | a b c,0.707313091740124
261,P2/m | a g n,0.23537688442211055
262,Pm | a b,0.4760712298274903
263,F-43m | a c e,0.6047139700466486
264,Immm | a c j,0.4192634560906516
265,Pmm2 | a d,0.35712790454259996
266,Fm-3m | a b c,0.06984512602490131
267,P4/mmm | a b h,0.3512536162005786
268,Cmmm | a b f,0.41910372396381235
269,P6_3/mmc | a c d,0.05534541110889907
270,Im-3m | a c,0.09095707248416608
271,F-43m | a c e,0.6791866704320814
272,I4/mmm | a e,0.1714736367733213
273,F-43m | a b c d,0.7578786616687492
274,P3m1 | a b c,0.7135766423357665
275,C2/m | a d i,0.24598849530729638
276,Pm | a b,0.6520395550061805
277,R3m | a,0.7000523012552301
278,F-43m | a b c d,0.7035009364644864
279,Cm | a,0.8307192042846213
280,R-3m | a b c,0.6854985680812289
281,P4mm | a b,0.6079629239519697
282,P4mm | a b,0.5001908396946565
283,P4/mmm | a c e,0.4330042313117066
284,I-4m2 | a b c d,0.5862331241680928
285,R3m | a,0.7033150488910088
286,F-43m | a b c d,0.7485462555066079
287,C2/m | a b f,0.3185505678745268
288,F-43m | a b c d,0.6800533851007037
289,Fm-3m | a b c,0.18019480519480519
290,I4/mmm | a b d,0.5430659474508439
291,Immm | a c j,0.42813299232736574
292,F-43m | a c e,0.6148680306106512
293,I4/mmm | a h i,0.12507926442612555
294,P-6m2 | a b h,0.1072438546878399
295,I-4m2 | a b c d,0.5426129975264223
296,Pmmm | a d f g,0.479171409059868
297,F-43m | a b c d,0.6629799336388055
298,F-43m | a b c d,0.6078959174517721
299,P2/m | a c n,0.22985283812193413
