cluster_id,dominant_space_group_symbol,fraction,n_labeled,cluster_size
124,F-43m,0.968400447427293,7152,7152
125,F-43m,0.52935303514377,5008,5009
126,Immm,0.6525252525252525,5445,5446
127,P4mm,0.7822715523795043,6577,6578
128,F-43m,1.0,6682,6682
129,P4/mmm,0.6962398623740477,4069,4070
130,R-3m,0.9996214988644966,5284,5284
131,Pmmm,0.9548927779147153,4057,4057
132,F-43m,1.0,7906,7908
133,Imm2,0.4227922189705629,5809,5809
134,I4mm,0.7100542344597414,4794,4795
135,I4mm,0.5717175804167509,4943,4946
136,Cmmm,0.5456019456830158,4934,4934
137,Pm-3m,0.29902611775121735,4518,4521
138,I-4m2,0.7590900615327242,5363,5364
139,I4/mmm,0.9906150159744409,5008,5010
140,R-3m,0.994581707845687,4614,4615
141,Cm,0.9918869405914682,3821,3823
142,Fm-3m,0.9292982456140351,5700,5700
143,Imm2,0.3682225365393682,6363,6363
144,Pmm2,0.7161562829989441,4735,4735
145,Fm-3m,0.9841875681570338,7336,7336
146,F-43m,0.9151210311222886,6362,6365
147,Pm,0.8534573534573534,5698,5699
148,Pm,0.9594312003345881,4782,4782
149,R3m,0.7874082439299831,3542,3542
150,Cm,0.9907780979827089,5205,5206
151,R-3m,1.0,5619,5619
152,P4mm,0.636956927093045,5363,5364
153,Immm,0.7377118644067797,4720,4721
154,I-4m2,0.9313296556971656,5257,5257
155,F-43m,0.997949699289229,7316,7318
156,I-4m2,0.9199835863766926,4874,4874
157,Pmmm,0.47979201134483573,4231,4231
158,Immm,0.5372073578595318,4784,4787
159,Immm,0.5179784258889333,5006,5007
160,R-3m,0.9905390539053905,4545,4547
161,I-4m2,0.9005802707930367,5170,5170
162,Cmmm,0.6717000339328131,5894,5894
163,P4/mmm,0.9057828481510621,5084,5086
164,Pmm2,0.6338183421516755,4536,4536
165,Cmmm,0.3351210791483829,6153,6181
166,Immm,0.45784434836318716,6476,6476
167,P4/mmm,0.7765328987573844,4909,4911
168,P4mm,0.4542306859987016,4621,4621
169,Cm,0.2823975361288794,4221,4233
170,P6/mmm,0.2813376987839102,4276,4276
171,Fm-3m,0.9648143339392365,7702,7702
172,P4/mmm,0.9,4750,4750
173,Pm,0.5628342245989305,5236,5237
174,P2/m,0.7296517617968267,4853,4853
175,Immm,0.5476980506014102,4822,4823
176,Imm2,0.5507724353410867,5761,5763
177,Cm,0.9927609089081038,4973,4974
178,R-3m,0.6194047340051558,4267,4268
179,Pmmm,0.9199758113283613,4961,4961
180,Cm,0.9077837423312883,5216,5224
181,P4mm,0.8035808320168509,5697,5697
182,C2/m,0.5220722971847409,6003,6004
183,I4/mmm,0.9632874426366291,4794,4795
184,Imm2,0.5242784380305603,5890,5892
185,Cm,0.9979867123011879,4967,4967
186,R-3m,0.9974651457541192,5523,5524
187,P4mm,0.800588540765103,5777,5778
188,Fm-3m,0.9428964568283453,5814,5815
189,C2/m,0.8692438010164792,6493,6493
190,Imm2,0.48185998978027594,5871,5871
191,Imm2,0.4955223880597015,5025,5026
192,Cm,0.9745958429561201,3897,3897
193,P4/mmm,0.8183034519668183,3737,3738
194,Pm,0.8355594482154587,4567,4568
195,P4/mmm,0.6070918610185626,4202,4203
196,P-6m2,0.3251347708894879,2968,2968
197,Immm,0.21163825055596738,5396,5400
198,I4mm,0.7185497161691998,5461,5461
199,Pmmm,0.47329317269076304,4980,4980
200,R-3m,0.8660714285714286,2912,2913
201,Cm,0.999625468164794,5340,5340
202,I4/mmm,0.4111597374179431,4570,4570
203,I4/mmm,0.9229475100942126,5944,5944
204,Cmm2,0.32189973614775724,6443,6444
205,P4/mmm,0.9084014002333722,5142,5143
206,Immm,0.5529283375773009,5498,5498
207,P6/mmm,0.2497804321096083,5693,5695
208,Pmm2,0.504885993485342,5219,5219
209,I-4m2,0.9532235459004905,5708,5709
210,I4mm,0.7325779036827196,5295,5295
211,P4mm,0.6393754760091394,5252,5253
212,F-43m,0.9857654997891185,9484,9485
213,F-43m,0.9947265625,5120,5120
214,I4/mmm,0.5884237933106349,4993,4993
215,P2/m,0.6402362627528191,5587,5588
216,Immm,0.3901209677419355,4960,4962
217,I4/mmm,0.4107825387246027,4971,4972
218,R-3m,0.9784802894686726,5251,5252
219,I-4m2,0.5010544074230282,4742,4743
220,P6/mmm,0.30558598028477546,5478,5479
221,F-43m,0.9813358013265463,6483,6484
222,C2/m,0.5685286935286935,6552,6553
223,R-3m,0.9913760779902512,5334,5334
224,P4/mmm,0.6896460644479662,3786,3786
225,Immm,0.5409638554216868,5810,5813
226,Pmmm,0.6004523956405511,4863,4863
227,I-4m2,0.9248023533737819,5439,5439
228,Immm,0.804754211862451,4333,4334
229,F-43m,0.9981171154208247,5311,5312
230,P2/m,0.4355212355212355,5180,5180
231,I4/mmm,0.18868267831149926,5496,5497
232,P2/m,0.9300334168755221,4788,4788
233,Cm,0.9785579146520916,4757,4760
234,F-43m,0.9637833468067907,6185,6186
235,P4/mmm,0.7492730932677253,4471,4472
236,Cmmm,0.5486098491731782,5503,5505
237,I4/mmm,0.9787788533134772,5372,5373
238,P4/mmm,0.8447678447678447,4329,4329
239,P4mm,0.8122616603109416,6818,6820
240,P3m1,0.9368968077208611,2694,2695
241,Imm2,0.40059300873907616,6408,6408
242,Cm,0.29423637586902895,8918,9072
243,I4/mmm,0.8736305251227805,5294,5295
244,R3m,0.9955456570155902,3592,3592
245,P-6m2,0.41456366788672705,5191,5191
246,Imm2,0.5326607387140903,5848,5848
247,Imm2,0.4858433734939759,6640,6640
248,P2/m,0.9716883653647448,4839,4841
249,Imm2,0.6440643453471798,4911,4912
250,Cm,0.9989858012170385,4930,4930
251,C2/m,0.534028003907522,6142,6148
252,P3m1,0.9829302987197724,2812,2812
253,P2/m,0.9482758620689655,4466,4466
254,C2/m,0.17297979797979798,5544,5544
255,F-43m,0.998570293884035,6295,6295
256,Imm2,0.3612757058208435,5738,5738
257,Cmcm,0.14736230199098968,6881,6885
258,I-4m2,0.9385901162790697,5504,5505
259,Pmmm,0.5838380015140046,5284,5284
260,R-3m,1.0,6126,6126
261,P2/m,0.4878391959798995,4975,4975
262,Pm,0.6686143572621035,3594,3594
263,F-43m,0.9740945365254757,8145,8146
264,Immm,0.6003022289384209,5294,5295
265,Pmm2,0.6420347498429977,4777,4777
266,Fm-3m,0.9681141815973276,6586,6586
267,P4/mmm,0.5151880424300868,4148,4148
268,Cmmm,0.5878762365817722,4751,4753
269,P6_3/mmc,0.18247011952191236,5020,5023
270,Fm-3m,0.18785211267605634,5680,5684
271,F-43m,0.9882768361581921,7080,7082
272,I4/mmm,0.5569078205995042,4437,4438
273,F-43m,1.0,7202,7203
274,P3m1,0.9737226277372263,3425,3425
275,C2/m,0.5176381529144587,6605,6606
276,Pm,0.9278945199835188,4854,4854
277,R3m,0.9591943499869212,3823,3824
278,F-43m,1.0,6937,6941
279,Cm,0.9833588370313695,5228,5228
280,R-3m,0.9940104166666667,3840,3841
281,P4mm,0.836738993048241,4747,4747
282,P4mm,0.6690839694656489,5240,5240
283,P4/mmm,0.6723095525997581,4962,4963
284,I-4m2,0.7797222750618223,5257,5259
285,R3m,0.9673109043187783,4191,4193
286,F-43m,0.9985898113872731,5673,5675
287,C2/m,0.7229132864611502,5547,5547
288,F-43m,1.0,8241,8242
289,Fm-3m,0.953862806115546,7391,7392
290,I4/mmm,0.8293277603622431,5742,5747
291,Immm,0.5938618925831202,5865,5865
292,F-43m,0.9853170884098719,6402,6403
293,I4/mmm,0.18372203712517848,6303,6308
294,P4/mmm,0.22019147084421237,4596,4597
295,I-4m2,0.7256358316452847,4443,4447
296,Pmmm,0.7033917596175734,4393,4393
297,F-43m,1.0,6327,6329
298,F-43m,1.0,6685,6687
299,P2/m,0.47652417659425367,5708,5708
