property,composition_r2,layer0_r2,peak_layer,peak_r2,gain_over_layer0
volume per atom,0.514469,0.934015,12,0.987671,0.053656
formation energy,0.494114,0.870017,8,0.949415,0.079398
band gap,0.270046,0.37303,6,0.689348,0.316318
