cluster_id,dominant_point_group,fraction
0,mmm,0.7367818968290852
1,mm2,0.5754690450363585
2,-43m,0.9993204423302651
3,4/mmm,0.8658549385955705
4,-3m,0.8124152716037706
5,m,0.6718951995173662
6,m-3m,0.4086976672331222
7,m,0.9687432403201385
8,4mm,0.6376138828633405
9,mm2,0.7085258607840215
10,-43m,0.7203216900732206
11,-42m,0.711350514466342
12,m,0.8511766180737133
13,-42m,0.5939369517373919
14,-3m,0.7364076798851606
15,2/m,0.5163539995815608
16,4mm,0.7171526829038489
17,-43m,0.9905604401531906
18,6/mmm,0.30294127933410275
19,mmm,0.6345995530989063
20,mmm,0.6470428963756624
21,mmm,0.47076315332523005
22,-43m,0.995444363343485
23,4mm,0.2913427561837456
24,-3m,0.781142656852436
25,2/m,0.42085748114912447
26,4mm,0.5001175149505132
27,m,0.8676986683332532
28,4mm,0.6113401341531582
29,mm2,0.5347880646960401
30,2/m,0.6747197843736646
31,mm2,0.749089395358518
32,3m,0.5994363929146538
33,m,0.9367628414460794
34,m-3m,0.5980486142178479
35,2/m,0.8292864707959048
36,m-3m,0.19808398531055404
37,4/mmm,0.5156934632924975
38,-3m,0.6035458317615994
39,4/mmm,0.2422763015689636
40,-43m,0.7406979783896828
41,4/mmm,0.539112709153195
42,-43m,0.9989481916988052
43,4/mmm,0.8562991558871828
44,mmm,0.7036708111308466
45,2/m,0.41901585703498617
46,4/mmm,0.6232488993081365
47,mmm,0.3030445813700616
48,-43m,0.5518196080844125
49,2/m,0.7203228578443408
