cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,Pmmm | 1a 1d 1f 1g,0.557487491950265,20187,27973
1,Immm | 2a 2c 4j,0.28409878322569915,36079,49782
2,F-43m | 4a 4b 4c 4d,0.9981383617583474,33304,48561
3,P4/mmm | 1a 1c 2e,0.5012094823415578,20670,28581
4,R-3m | 3a 3b 6c,0.7157466837826273,23370,31719
5,Pm | 1a 1a 1b 1b,0.6748724641119943,16858,23206
6,I4/mmm | 2a 8h 8i,0.0922488236206629,19339,25892
7,Cm | 2a 2a 2a 2a,0.9346181787103115,23401,27738
8,P4mm | 1a 1a 1b 1b,0.6169783318492135,16845,23050
9,Imm2 | 2a 2a 2b 2b,0.26859627576592426,30127,40254
10,F-43m | 4a 4c 16e,0.5863774376310765,31947,49986
11,I-4m2 | 2a 2b 2c 2d,0.7106268945218117,22763,31003
12,Pm | 1a 1a 1b 1b,0.8477684939881801,19628,27919
13,I-4m2 | 2a 2b 2c 2d,0.5924422497489119,23896,32261
14,R-3m | 3a 3b 6c,0.7175859510264655,20215,27865
15,C2/m | 2a 2d 4i,0.29732754375755405,22339,28678
16,I4mm | 2a 2a 2a,0.7409777777777777,16875,21227
17,F-43m | 4a 4b 4c 4d,0.934119560797072,27049,37078
18,P6_3/mmc | 2a 2c 2d,0.03312439729990357,20740,28593
19,Pmmm | 1a 1d 1f 1g,0.45204131824889326,24396,34012
20,Pnnm | 2a 4g,0.0726518927989734,20261,25853
21,Immm | 2a 2c 4j,0.2602800688304753,33706,46072
22,F-43m | 4a 4b 4c 4d,0.987617598229109,28912,39731
23,P4mm | 1a 1a 1b 1b,0.286304661220567,20810,28300
24,R-3m | 3a 3b 6c,0.7647440699126092,20025,28530
25,Pm | 1a 1a 1b 1b,0.26477681404696424,23635,32094
26,P4mm | 1a 1a 1b 1b,0.5021290299495473,27947,38293
27,Cm | 2a 2a 2a 2a,0.8215519226341239,17372,20801
28,P4mm | 1a 1a 1b 1b,0.6120986099675497,20647,28624
29,Immm | 2a 2c 4j,0.2445664174631715,31701,43032
30,C2/m | 2a 2d 4i,0.4721161512315891,23831,30423
31,Imm2 | 2a 2a 2b 2b,0.26214151895085747,27756,38436
32,P3m1 | 1a 1b 1c,0.5947231833910035,23120,32292
33,Cm | 2a 2a 2a 2a,0.9149664521429549,21909,26029
34,F-43m | 4a 4c 16e,0.6970265673567533,17051,46941
35,C2/m | 2a 2d 4i,0.6679160784695517,20543,25493
36,I-43m | 2a 8c 24g 24g,0.10833041652082605,22856,31315
37,I4/mmm | 2a 4e,0.08849658314350797,17560,22366
38,R-3m | 3a 3b 6c,0.5367542807285418,18338,23859
39,P4/mmm | 1a 2e,0.08097733049748405,19277,26833
40,F-43m | 4a 4c 16e,0.8937716523572827,26556,45904
41,I4/mmm | 2a 2b 4d,0.491091098828895,25873,35321
42,F-43m | 4a 4b 4c 4d,0.9968842374370855,25034,37079
43,P4/mmm | 1a 1c 2e,0.6884688389750079,25288,34711
44,Cmmm | 2a 2b 4f,0.42768677586895726,30036,40536
45,Pmm2 | 1a 1a 1d 1d,0.26579752560862047,22551,31784
46,I4/mmm | 2a 2b 4d,0.5698621553884712,25536,34978
47,Cm | 2a 2a 2a 2a 2a 2a,0.15145914396887158,20560,27590
48,Fm-3m | 4a 4b 8c,0.36929500873956106,20596,32507
49,P2/m | 1a 1g 2n,0.49599172485130594,23202,32584
