cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,F-43m | a b c d,0.9937723492305838,24889,36678
1,Immm | a c j,0.1958629139788821,27749,37444
2,Cm | a,0.1279011099899092,27748,37007
3,Pm | a b,0.5359832427310358,20051,28468
4,R-3m | a b c,0.747714470403546,21658,29206
5,F-43m | a b c d,0.35274247350420135,23683,38965
6,P2/m | a g n,0.31479646780099074,23215,31696
7,F-43m | a c e,0.8784976938282452,22765,32441
8,Immm | a c j,0.265077192181915,26298,36416
9,Cmm2 | a b,0.1979804298288727,22381,30548
10,Pmm2 | a d,0.1954454169982191,26391,37075
11,Cm | a,0.7962955391094574,24457,29905
12,I-4m2 | a b c d,0.4841466435471885,24222,33212
13,Imm2 | a b,0.29154529182606254,28493,38958
14,I-4m2 | a b c d,0.4532551810759891,23885,32550
15,R-3m | a b c,0.7195901095253899,24104,34210
16,P4mm | a b,0.4360451390528354,21179,28614
17,R-3m | a b c,0.4633045720519687,20166,26147
18,Immm | a c j,0.20773507179138503,25003,34187
19,F-43m | a b c d,0.9849659020458772,25808,35370
20,Imm2 | a b,0.19825374679328503,22219,30045
21,F-43m | a b c d,0.9903823413480489,25370,37677
22,F-43m | a c e,0.62576766436098,15469,45997
23,Cm | a,0.7498345466578424,24176,29575
24,C2/m | a d i,0.27170695064292344,22631,29010
25,P-3m1 | a d,0.10115571020255996,16094,22441
26,F-43m | a b c d,0.4633341083468961,21505,31857
27,R-3m | a b c,0.6780964668519254,20152,27587
28,P4mm | a b,0.40818316726733095,23585,32816
29,Cmmm | a b f,0.34681449750115495,23811,31067
30,P4/mmm | a c e,0.3976840649844452,23144,31529
31,I-4m2 | a b c d,0.44369509273227437,22538,30579
32,P4mm | a b,0.48222530875783626,26639,36212
33,Pmmm | a d f g,0.3304150707418119,25586,35277
34,I4/mmm | a e,0.06941644953542107,20341,27561
35,P3m1 | a b c,0.5447126493289416,20341,28388
36,F-43m | a c e,0.7984523390784383,22744,39835
37,I-4m2 | a b c d,0.5515352330461675,22635,30419
38,Pm | a b,0.4018633540372671,20930,28505
39,Imm2 | a b,0.18421052631578946,24700,32853
40,I4/mmm | a h i,0.0548645863997645,27176,34667
41,Pm | a b,0.17708448168154925,27213,36995
42,P4mm | a b,0.4833927826932876,21587,29518
43,C2/m | a d i,0.47470028208744713,22688,28911
44,P4/mmm | a c e,0.32203786843646304,25615,35368
45,C2/m | i,0.049470120047491316,22741,31003
46,Cm | a,0.560707171314741,20080,24664
47,C2/m | a d i,0.3487394957983193,24276,31784
48,F-43m | a b c d,0.9733061675530078,28958,39724
49,I-43m | a c g,0.10564282055659895,23428,32728
