cluster_id,dominant_space_group_symbol,fraction,n_labeled,cluster_size
0,F-43m,0.9983910114810876,36669,36678
1,Immm,0.20057696930843819,37437,37444
2,Cm,0.13566281441196465,36775,37007
3,Pm,0.5425801011804384,28464,28468
4,R-3m,0.7833829925682386,29199,29206
5,F-43m,0.625,38960,38965
6,P2/m,0.4315958856565911,31694,31696
7,F-43m,0.8908894712501927,32435,32441
8,Immm,0.2642882645354426,36411,36416
9,Imm2,0.23497249869041384,30544,30548
10,P2/m,0.30017805114923923,37068,37075
11,Cm,0.7722894789646177,29902,29905
12,I-4m2,0.4826381569040807,33205,33212
13,Imm2,0.34024747137649536,38954,38958
14,I4/mmm,0.45928588987217306,32544,32550
15,R-3m,0.7505554256314313,34208,34210
16,P4mm,0.4422734104652382,28609,28614
17,R-3m,0.5036345550539445,26138,26147
18,Imm2,0.2840802714720337,34184,34187
19,F-43m,0.9972000678771423,35358,35370
20,Imm2,0.2406963584315292,30042,30045
21,F-43m,0.9985666507405638,37674,37677
22,Fm-3m,0.6260219168551052,45992,45997
23,Cm,0.7241857476240403,29567,29575
24,C2/m,0.46319674392935983,28992,29010
25,Pm-3m,0.22157798492484723,22421,22441
26,F-43m,0.6134480160723255,31856,31857
27,R-3m,0.7273287646397621,27579,27587
28,P4mm,0.4060642998628676,32815,32816
29,Cmmm,0.4131603515436371,31063,31067
30,P4/mmm,0.41038573785052657,31524,31529
31,I-4m2,0.4431216065938379,30574,30579
32,P4mm,0.4805833287300447,36206,36212
33,Pmmm,0.4165343615332275,35272,35277
34,I4/mmm,0.18036297640653356,27550,27561
35,P3m1,0.5454641536022548,28385,28388
36,F-43m,0.7229768749843072,39827,39835
37,I-4m2,0.5509338419045113,30412,30419
38,Pm,0.40335426827128873,28501,28505
39,Imm2,0.21361380863953242,32849,32853
40,P6_3/mmc,0.1306983861188902,34637,34667
41,Pmmm,0.2105917655645968,36991,36995
42,P4mm,0.485160590865971,29516,29518
43,C2/m,0.5901747102577408,28905,28911
44,P4/mmm,0.38874593524671286,35365,35368
45,C2/m,0.08973820975499532,30979,31003
46,Cm,0.5461476074614761,24660,24664
47,C2/m,0.5435350388621417,31779,31784
48,F-43m,0.997356495468278,39720,39724
49,I-43m,0.1521472768486185,32646,32728
