cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,Imm2 | 2a 2a 2b 2b,0.32200958611762237,28583,39109
1,Fm-3m | 4a 4b 8c,0.45895063725173063,15457,27400
2,P2/m | 1a 1g 2n,0.17699652777777777,23040,30760
3,Cm | 2a 2a 2a 2a 2a 2a,0.10173845236457044,21801,29613
4,C2/m | 2a 2d 4i,0.05683583091969945,23823,32851
5,I4mm | 2a 2a 2a,0.12781362545018007,26656,35191
6,Pmm2 | 1a 1a 1d 1d,0.2054519761134157,21937,30224
7,R-3m | 3a 3b 6c,0.6864198696760789,21178,28772
8,Imm2 | 2a 2a 2b 2b,0.24534326769558276,28185,38670
9,F-43m | 4a 4b 4c 4d,0.9766615202326667,27851,42334
10,Cm | 2a 2a 2a 2a,0.35534445798831493,23791,31070
11,I-4m2 | 2a 2b 2c 2d,0.4819332662642522,23856,32661
12,P4/mmm | 1a 1c 2e,0.553497428728344,20029,27556
13,F-43m | 4a 4b 4c 4d,0.9090566322298469,26522,40748
14,Fm-3m | 4a 4b 8c,0.6593261810653115,5313,34871
15,I4/mmm | 2a 8h 8i,0.04879996242543798,21291,27768
16,C2/m | 2a 2d 4i,0.1992344559168838,31089,40285
17,C2/m | 2a 2d 4i,0.404450122431598,28179,36620
18,Cm | 2a 2a 2a 2a,0.2336917014194437,26137,34251
19,I-4m2 | 2a 2b 2c 2d,0.40777568753919197,22326,30176
20,F-43m | 4a 4c 16e,0.9408037825059101,21150,30116
21,Cmm2 | 2a 2a 2b 2b,0.21717001609221212,26721,35407
22,F-43m | 4a 4b 4c 4d,0.9846743295019157,26361,35903
23,P4mm | 1a 1a 1b 1b,0.3369615922873581,32155,43165
24,Cmmm | 2a 2b 4f,0.35162034227454786,24717,33238
25,I-4m2 | 2a 2b 2c 2d,0.5042861776562717,21581,30057
26,Cm | 2a 2a 2a 2a 2a 2a,0.09764125068568294,21876,29080
27,F-43m | 4a 4c 16e,0.8017560279894816,22437,31619
28,R-3m | 3a 3b 6c,0.6787530400176873,18092,24823
29,P4mm | 1a 1a 1b 1b,0.2311178247734139,19198,26507
30,P4mm | 1a 1a 1b 1b,0.4035456730769231,29952,40384
31,I4/mmm | 2a 8h 8i,0.055694560281716245,21582,27616
32,Pmmm | 1a 1d 1f 1g,0.3110268104513874,23461,31769
33,Cmmm | 2a 2b 4f,0.3141879041460631,18403,24191
34,F-43m | 4a 4b 4c 4d,0.9915738904987037,26228,37265
35,I4/mmm | 2a 2b 4d,0.43548208960718626,27163,36606
36,Cm | 2a 2a 2a 2a,0.4708769633507853,27504,35635
37,P4mm | 1a 1a 1b 1b,0.5074144322786447,23198,32039
38,F-43m | 4a 4b 4c 4d,0.4332086839098369,19254,29825
39,I4mm | 2a 2a 2a,0.1780418968875462,25157,33885
40,Pmmm | 1a 1d 1f 1g,0.4790790580319596,19024,26546
41,P2/m | 1a 1g 2n,0.20998434796935497,24278,33491
42,R-3m | 3a 3b 6c,0.5166096830019838,23691,30585
43,Cm | 2a 2a 2a 2a,0.23420574049181625,25294,33729
44,Fd-3m | 16c 32e 48f,0.05890538033395176,21560,30807
45,R-3m | 3a 3b 6c,0.7862725720959483,22262,31805
46,Imm2 | 2a 2a 2b 2b,0.19609554797238316,25202,32930
47,P4/mmm | 1a 1c 2e,0.3178797384230953,18809,25256
48,F-43m | 4a 4c 16e,0.7967651481285813,24607,34395
49,I-4m2 | 2a 2b 2c 2d,0.28498126730737905,24556,34085
