cluster_id,dominant_point_group,fraction,n_labeled,cluster_size
0,mm2,0.7467331543280911,39105,39109
1,m-3m,0.5926412614980289,27396,27400
2,2/m,0.2895695148914033,30756,30760
3,mmm,0.2131404255319149,29375,29613
4,mmm,0.19837982701912535,32836,32851
5,mm2,0.30033819308267257,35187,35191
6,m,0.3562187737815571,30223,30224
7,-3m,0.7451416652181471,28765,28772
8,mm2,0.5840424156213629,38665,38670
9,-43m,0.9702575005905977,42330,42334
10,m,0.5506663233116591,31066,31070
11,-42m,0.4809665268122378,32653,32661
12,4/mmm,0.5729011651119742,27551,27556
13,-43m,0.8921453117329406,40740,40748
14,m-3m,0.9316337357689771,34871,34871
15,mmm,0.24308934299203516,27747,27768
16,mm2,0.31735233507957394,40277,40285
17,2/m,0.525318184301087,36614,36620
18,m,0.4002453700999007,34234,34251
19,-42m,0.4066953927742791,30170,30176
20,-43m,0.9772825401042877,30109,30116
21,mm2,0.4830051140055943,35393,35407
22,-43m,0.9968514906659236,35890,35903
23,4mm,0.3475358152904632,43138,43165
24,mmm,0.404285413343766,33229,33238
25,-42m,0.4996173681583763,30055,30057
26,mmm,0.18467786343612336,29056,29080
27,-43m,0.9647579879784878,31610,31619
28,-3m,0.724507473510334,24821,24823
29,4mm,0.23099271780553146,26503,26507
30,4mm,0.41097654605344625,40377,40384
31,6/mmm,0.21820421769693457,27598,27616
32,mmm,0.3605566400100749,31762,31769
33,2/m,0.4644643816926448,24187,24191
34,-43m,0.9855609232420827,37260,37265
35,4/mmm,0.4659016393442623,36600,36606
36,m,0.5541397698568622,35630,35635
37,4mm,0.5055871153005805,32038,32039
38,-43m,0.5447290772532188,29824,29825
39,mm2,0.42594888141195913,33882,33885
40,mmm,0.5148044903186921,26546,26546
41,2/m,0.309451993429894,33485,33491
42,-3m,0.5807464590625102,30571,30585
43,m,0.4420128695549032,33723,33729
44,m-3m,0.26674034585879597,30764,30807
45,-3m,0.8232501100559714,31802,31805
46,mm2,0.4693090356871678,32925,32930
47,4/mmm,0.37059918419072513,25251,25256
48,-43m,0.9656837084860117,34386,34395
49,-42m,0.2825621313928582,34081,34085
