cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,P3m1 | 1a 1b 1c,0.4111387016672579,5638,7874
1,R-3m | 3a 3b 6c,0.6383224873463486,6915,8917
2,C2/m | 2a 2d 4i,0.39425287356321836,8700,10728
3,F-43m | 4a 4c 16e,0.8893849206349206,12096,17197
4,Immm | 2a 2c 4j,0.17788515563546467,8899,12125
5,I-4m2 | 2a 2b 2c 2d,0.6868131868131868,8190,11199
6,P2/m | 1a 1g 2n,0.3646522570210263,6801,9605
7,F-43m | 4a 4b 4c 4d,0.9911909795630726,8514,12986
8,I4mm | 2a 2a 2a,0.5344581440622972,7705,9677
9,R-3m | 3a 3b 6c,0.9196145723336854,7576,10658
10,F-43m | 4a 4c 16e,0.9218481447780811,9891,13847
11,Pmm2 | 1a 1a 1d 1d,0.5098343685300207,7728,10596
12,I4/mmm | 2a 2b 4d,0.5940940292708199,7721,10498
13,F-43m | 4a 4b 4c 4d,0.994384236453202,10150,13495
14,R-3m | 3a 3b 6c,0.8092521202775637,6485,9015
15,P4/mmm | 1a 1b 2h,0.6853448275862069,6960,9562
16,F-43m | 4a 4b 4c 4d,0.9986671744097486,10504,14154
17,P4/mmm | 1a 1c 2e,0.8153795160755718,9051,12606
18,Fm-3m | 4a 4b 8c,0.8837852794687328,3614,15066
19,Imm2 | 2a 2a 2b 2b,0.47445691095726905,8378,11876
20,I4/mmm | 2a 8h 8i,0.08835173994582204,9598,12113
21,Pm | 1a 1a 1b 1b,0.8228287841191066,6045,8260
22,Cm | 2a 2a 2a 2a,0.9191696113074205,9056,10752
23,I-4m2 | 2a 2b 2c 2d,0.6577487362840587,8111,11438
24,Cmmm | 2a 2b 4f,0.42961911521173407,8454,11542
25,Pm | 1a 1a 1b 1b,0.6343894624421502,5618,7569
26,Pmmm | 1a 1d 1f 1g,0.6463300919142134,7507,10418
27,P4mm | 1a 1a 1b 1b,0.673516219881089,9587,13124
28,I4/mmm | 2a 2b 4d,0.43659598371015307,7121,9610
29,Cm | 2a 2a 2a 2a,0.9590224635892373,8102,9659
30,F-43m | 4a 4b 4c 4d,0.9992803166606693,8337,12344
31,Pmmm | 1a 1d 1f 1g,0.4851707609346914,6676,9333
32,R-3m | 3a 9e,0.2149807233339453,5447,7046
33,Imm2 | 2a 2a 2b 2b,0.31261889663918835,7885,10915
34,Cmmm | 2a 2b 2c 2d 4i 4j 4k 4l 8n 16r 16r,0.17418677859391396,8577,11074
35,P4/mmm | 1a 1c 2e,0.5259179265658748,6482,8992
36,Imm2 | 2a 2a 2b 2b,0.437242374278648,9704,13125
37,Fm-3m | 4a 4b 8c,0.8172174622603019,2451,15264
38,P4mm | 1a 1a 1b 1b,0.3564025794564717,8684,11809
39,P4mm | 1a 1a 1b 1b,0.4221366128315306,6749,9258
40,Cm | 2a 2a 2a 2a 2a 2a,0.1589585474477561,5838,8048
41,P-6m2 | 1a 1c 1f,0.21667729591836735,6272,9425
42,Cm | 2a 2a 2a 2a,0.8446787035998654,8917,10717
43,R-3m | 3a 3b 6c,0.6685612788632327,8445,10862
44,P2/m | 1a 1g 2n,0.43619407389918546,8471,11907
