cluster_id,dominant_point_group,fraction
0,-6m2,0.49479298958597917
1,-3m,0.6960861276213973
2,2/m,0.3978374347501864
3,-43m,0.980229109728441
4,mm2,0.6157525773195877
5,-42m,0.6893472631484954
6,2/m,0.47621030713170226
7,-43m,0.9979208378253503
8,4mm,0.5400434018807482
9,-3m,0.9285982360668043
10,-43m,0.9684408175055969
11,mm2,0.5033975084937712
12,4/mmm,0.649457039436083
13,-43m,0.9982956650611338
14,-3m,0.812867443150305
15,4/mmm,0.7139719723907132
16,-43m,0.9987989260986294
17,4/mmm,0.8204823100111058
18,m-3m,0.9719235364396654
19,mm2,0.9567194341529134
20,m-3m,0.2760670354164947
21,m,0.8346246973365617
22,m,0.9368489583333334
23,-42m,0.6522119251617415
24,mmm,0.5242592271703345
25,m,0.7633769322235434
26,mmm,0.6789210980994432
27,4mm,0.6768515696434014
28,4/mmm,0.50894901144641
29,m,0.9614866963453774
30,-43m,0.9988658457550227
31,mmm,0.5110896817743491
32,-3m,0.6576781152426909
33,mm2,0.8017407237746221
34,mmm,0.5082174462705437
35,4/mmm,0.529470640569395
36,mm2,0.9021714285714286
37,m-3m,0.9659329140461216
38,4mm,0.3511728342789398
39,4mm,0.42147332037157054
40,mmm,0.2944831013916501
41,m-3m,0.406684350132626
42,m,0.8555565923299431
43,-3m,0.7107346713312466
44,2/m,0.5755437977660199
45,4/mmm,0.47844788959584195
46,mmm,0.5644970414201184
47,2/m,0.6247197880578765
48,m,0.9149747754398917
49,6/mmm,0.3716856060606061
50,-43m,0.9792433617921203
51,2/m,0.5266821345707656
52,4/mmm,0.7218321358589157
53,-3m,0.600879545210769
54,-43m,0.9976705490848585
55,-43m,0.8455255037211835
56,-42m,0.6088774525570924
57,4mm,0.397433423388653
58,-3m,0.563442860095061
59,4/mmm,0.5789806614856317
60,mmm,0.5587871287128713
61,mmm,0.43095916429249764
62,2/m,0.5067943456452348
63,m,0.8521474325317652
64,4mm,0.6410958904109589
65,4/mmm,0.6685100585076541
66,mmm,0.3030673347183185
67,4/mmm,0.27624264224983647
68,4/mmm,0.49484142147497134
69,-43m,0.9232104121475054
70,-43m,0.9892944892944893
71,mm2,0.8089402221830365
72,mmm,0.5366889023650697
73,2/m,0.4302552013938711
74,-43m,0.9938491647445307
75,mmm,0.6739811912225705
76,4mm,0.5038542990258366
77,4/mmm,0.3990221377156051
78,3m,0.9167924844824694
79,-3m,0.8654725047913903
80,mmm,0.9216916228247674
81,m,0.3739281074058034
82,mmm,0.3980147917477618
83,4/mmm,0.7476851851851852
84,mmm,0.5161702545954979
85,4mm,0.5241168478260869
86,mmm,0.7281098413220423
87,-43m,0.9829579515286461
88,-43m,0.9648537035409893
89,-43m,0.9886610373944511
90,m,0.6991374936580416
91,4mm,0.6484689985834151
92,m-3m,0.9709360219068957
93,4/mmm,0.5839992389649924
94,mmm,0.5974149895905622
95,m,0.7521781219748306
96,4/mmm,0.4856262833675565
97,m,0.9830044377301482
98,-3m,0.88950097213221
99,mmm,0.5419737723748445
100,m,0.4245465951864948
101,mmm,0.3925438596491228
102,2/m,0.5799565131448903
103,-42m,0.8547505126452495
104,mmm,0.5492085949243966
105,-43m,0.965131216737016
106,mm2,0.8174223127865512
107,4mm,0.5877587758775877
108,m-3m,0.46110761044598475
109,2/m,0.6873677431226424
110,-43m,0.9991875923190546
111,-3m,0.8440436639772187
112,mm2,0.5668624241840763
113,4mm,0.6434186655916146
114,mm2,0.940112792050846
115,6/mmm,0.2686185567010309
116,m,0.9017201834862385
117,mm2,0.36741088915001957
118,-43m,0.989100590731342
119,mm2,0.7239086694077509
120,4/mmm,0.22592194772645902
121,3m,0.9026994359387591
122,m,0.7825325325325325
123,m,0.7116082933114677
124,4/mmm,0.7209677419354839
125,m-3m,0.3106095501305082
126,m-3m,0.9430129370255533
127,m,0.7437671477991172
128,-42m,0.6064854703532545
129,mmm,0.3178470254957507
130,-42m,0.5513400242638138
131,-43m,0.9949771991276188
132,mmm,0.5511217522390707
133,mmm,0.2877326317840787
134,mm2,0.7096475733871646
135,2/m,0.49425395629238883
136,6/mmm,0.22173138029915523
137,4mm,0.5082555098991408
138,-43m,0.9698681732580038
139,-43m,0.9810559262004778
140,-3m,0.8558640021701781
141,m-3m,0.9588353413654619
142,4/mmm,0.8135013677217663
143,mm2,0.8069159356102547
144,4mm,0.6607483772432226
145,2/m,0.7294184829161512
146,2/m,0.4138937076170951
147,mmm,0.4562893943546177
148,mm2,0.7752283601565898
149,4/mmm,0.7085091899251191
