cluster_i,cluster_k,epsilon
0,1,1.1762834805341423e-15
0,2,1.1743981060343048e-15
0,3,2.36456343950887e-15
0,4,9.344760516122484e-16
0,5,1.5473459093185048e-15
0,6,7.356382289019215e-16
0,7,3.0665794489136856e-15
0,8,4.606923918098426e-16
0,9,2.982814171890227e-16
0,10,8.313642801202195e-30
0,11,1.1316959337796789e-15
0,12,8.429476593059322e-16
0,13,9.216591207550719e-16
0,14,4.0555402460685817e-16
0,15,7.486270881901362e-16
0,16,6.755562032224987e-16
0,17,4.2747939997192134e-16
0,18,2.1758672296519803e-15
0,19,4.858593754879518e-16
0,20,7.011824390849737e-16
0,21,4.850483511319054e-16
0,22,3.795496640348871e-16
0,23,4.037137981977158e-16
0,24,4.3852920829631184e-16
0,25,1.688823807214838e-15
0,26,1.8939669848925032e-16
0,27,7.46674275336177e-16
0,28,5.938084139504147e-16
0,29,4.725130694627034e-16
0,30,3.8083391138992924e-16
0,31,5.704392285068037e-16
0,32,3.8716023329973897e-16
0,33,3.967210725409719e-16
0,34,2.170912042334915e-15
0,35,1.275033265235883e-15
0,36,3.4500205828972886e-16
0,37,2.820938255337357e-30
0,38,6.0790612809036295e-16
0,39,1.242723355110194e-16
0,40,8.103076092181427e-16
0,41,5.617772821845227e-16
0,42,2.0922224510741507e-15
0,43,1.5242719049607272e-15
0,44,9.005846695576059e-16
0,45,5.902267572880197e-16
0,46,7.463188168040631e-16
0,47,5.519317917449226e-16
0,48,1.1659124600392786e-15
0,49,4.4542397804481266e-30
1,2,5.108563787679408e-16
1,3,1.5616224771053643e-15
1,4,2.984361752142207e-16
1,5,2.35696623731831e-15
1,6,4.7388944242337466e-30
1,7,1.2483539831605593e-15
1,8,1.5438349419322274e-15
1,9,2.2537602867244406e-30
1,10,3.695203292811554e-30
1,11,9.63052112967628e-16
1,12,4.8253278123000546e-30
1,13,2.9561928573060144e-30
1,14,4.753985157845522e-16
1,15,1.0427326220187597e-15
1,16,3.865286717886701e-30
1,17,3.333053799764742e-30
1,18,6.473627899036468e-16
1,19,4.638129204494367e-16
1,20,2.7326859288174045e-30
1,21,4.0072921675570294e-30
1,22,4.597017211338539e-17
1,23,3.1203990337809556e-30
1,24,5.2283782203280394e-30
1,25,1.1809510581909648e-15
1,26,2.169500082432649e-19
1,27,2.7686643179004323e-16
1,28,4.035313030435098e-30
1,29,7.848719252581131e-16
1,30,4.677988244263131e-30
1,31,3.441990904483046e-30
1,32,3.2583858220238126e-30
1,33,3.727971097467669e-30
1,34,7.431164716497687e-16
1,35,1.5307687792218842e-15
1,36,3.343780780070432e-30
1,37,3.3489227954834036e-30
1,38,3.389745606734416e-30
1,39,2.7202114853852714e-30
1,40,3.7510564090945166e-30
1,41,4.4844049566295974e-30
1,42,2.150216217150309e-15
1,43,1.7362695746609342e-15
1,44,2.4233231107529097e-15
1,45,3.499183837384717e-30
1,46,3.061063580934657e-30
