cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,C2/m | a d i,0.2376677816826862,23617,31723
1,Cmm2 | a b,0.20964328436033494,32603,43560
2,F-43m | a c e,0.8859193268992823,20205,28523
3,Fd-3m | c e f,0.06228937525460134,27003,37326
4,R-3m | a b c,0.7944938218079342,18452,25491
5,Pm | a b,0.34108560767128043,23047,31272
6,Cmmm | a b f,0.18272425249169436,28595,40095
7,F-43m | a b c d,0.9831145966709347,24992,37734
8,Cm | a,0.3695228442226727,25652,33168
9,F-43m | a b c d,0.9905203871172458,25212,34127
10,I-4m2 | a b c d,0.4277519432470045,29461,40708
11,C2/m | a d i,0.1247358106290589,26023,33770
12,Cmmm | a b f,0.27337146760010245,23426,31866
13,F-43m | a b c d,0.40882978723404256,18800,31479
14,P4/mmm | a c e,0.4463331920305214,23590,32505
15,C2/m | a d i,0.09151448298402581,24477,31825
16,Imm2 | a b,0.12953288260602336,19524,26131
17,F-43m | a b c d,0.9967739267102325,24178,33650
18,P4mm | a b,0.381622420025654,25727,35011
19,C2/m | a b f,0.12785145888594165,24505,32285
20,I4/mmm | a b d,0.4234661827319048,28654,38698
21,P4/mmm | a c e,0.28223644228363065,27973,38192
22,I-4m2 | a b c d,0.37791718009036257,26781,37552
23,R-3m | a b c,0.7935522930225518,19821,28302
24,Cm | a,0.3648783866995074,25984,33151
25,Cm | a,0.10603378921962993,24860,33395
26,P4mm | a b,0.24754620777565328,23535,31679
27,I4/mmm | a h i,0.04635021015694289,25933,34436
28,P4mm | a b,0.33060899754086503,27652,37248
29,C2/m | a d i,0.23520419305525223,22895,30645
30,Fm-3m | a b c,0.4013299013299013,9324,27065
31,Imm2 | a b,0.28436592449177156,28924,39894
32,F-43m | a c e,0.7142722384680691,21202,29915
33,Cm | a,0.2855721393034826,24120,31022
34,Immm | a c j,0.16520140397793748,29915,39735
35,Immm | a c j,0.19366829018200463,23406,31889
36,Pm | a b,0.2587308170883451,24110,32764
37,P4/mmm | a c e,0.47616497054097484,20537,28735
38,P2/m | a c n,0.13866719872306466,20048,27037
39,Pmmm | a d f g,0.16136707765520225,23115,30468
40,Fm-3m | a b c,0.35163147792706334,7815,28630
41,Cm | a,0.3971564913661632,20327,26736
42,R-3m | a b c,0.6090666207015427,23206,30180
43,I-4m2 | a b c d,0.3827398913699457,24855,33286
44,P3m1 | a b c,0.2533638111070705,19249,26193
45,P4mm | a b,0.2543578947368421,23750,31273
46,F-43m | a b c d,0.9841087252897068,23472,34107
47,F-43m | a c e,0.7871757180882762,25171,35422
48,R-3m | a b c,0.7844001036537963,15436,21433
49,F-43m | a b c d,0.478041015076318,21358,32358
