cluster_id,dominant_point_group,fraction
0,-43m,0.9981460275914718
1,mm2,0.43339386817647685
2,mmm,0.2804604534277299
3,m,0.5593297737810875
4,-3m,0.7842566595904951
5,-43m,0.6250481201077891
6,2/m,0.4335562847046946
7,-43m,0.8910021269381339
8,mm2,0.4591663005272408
9,mm2,0.5708393348173366
10,2/m,0.3003371544167229
11,m,0.7945494064537703
12,-42m,0.48253643261471757
13,mm2,0.6663843113096155
14,4/mmm,0.45963133640552994
15,-3m,0.752060800935399
16,4mm,0.5124414622212903
17,-3m,0.5311890465445367
18,mm2,0.589112820662825
19,-43m,0.9968617472434267
20,mm2,0.4966883008820103
21,-43m,0.9984871406959153
22,m-3m,0.626279974780964
23,m,0.7431614539306847
24,2/m,0.4798690106859704
25,m-3m,0.22142507018403815
26,-43m,0.6136798819725648
27,-3m,0.732228948417733
28,4mm,0.41626036079960993
29,mmm,0.5064859819100653
30,4/mmm,0.4107964096546037
31,-42m,0.44304915137839695
32,4mm,0.5193858389484148
33,mmm,0.43254811917113134
34,4/mmm,0.33511120786618775
35,3m,0.5455474144004508
36,-43m,0.723007405547885
37,-42m,0.5508070613761136
38,m,0.4380284160673566
39,mm2,0.46327580434054727
40,6/mmm,0.2445841866905126
41,mmm,0.22273280172996351
42,4mm,0.5635883189918016
43,2/m,0.5926809864757359
44,4/mmm,0.38876950916082337
45,mmm,0.35399800019352967
46,m,0.5510866039571846
47,2/m,0.5465013843443242
48,-43m,0.9972560668613433
49,m-3m,0.2642996822292838
