cluster_id,dominant_space_group_symbol,fraction
0,F-43m,0.9981460275914718
1,Immm,0.20053947227860272
2,Cm,0.13481233280190233
3,Pm,0.5425038639876353
4,R-3m,0.7831952338560569
5,F-43m,0.6249197998203516
6,P2/m,0.43156865219586066
7,F-43m,0.8907247002250239
8,Immm,0.26425197715289983
9,Imm2,0.23494173104622235
10,P2/m,0.3001213755900202
11,Cm,0.7722120046814914
12,I-4m2,0.48253643261471757
13,Imm2,0.34021253657785305
14,I4/mmm,0.4592012288786482
15,R-3m,0.750511546331482
16,P4mm,0.44219612776962325
17,R-3m,0.5034612001376831
18,Imm2,0.2840553426741159
19,F-43m,0.9968617472434267
20,Imm2,0.24067232484606424
21,F-43m,0.9984871406959153
22,Fm-3m,0.6259538665565145
23,Cm,0.7239898562975486
24,C2/m,0.4629093416063426
25,Pm-3m,0.22138050888997818
26,F-43m,0.6134287597702232
27,R-3m,0.7271178453619458
28,P4mm,0.4060519258898099
29,Cmmm,0.41310715550262334
30,P4/mmm,0.41032065717276156
31,I-4m2,0.44304915137839695
32,P4mm,0.48050370043079643
33,Pmmm,0.41647532386540803
34,I4/mmm,0.1802909908929284
35,P3m1,0.5454065097928702
36,F-43m,0.7228316806828167
37,I-4m2,0.5508070613761136
38,Pm,0.4032976670759516
39,Imm2,0.2135878002008949
40,P6_3/mmc,0.1305852828338189
41,Pmmm,0.21056899581024463
42,P4mm,0.4851277186801274
43,C2/m,0.5900522292553008
44,P4/mmm,0.38871296086858176
45,C2/m,0.08966874173467083
46,Cm,0.5460590334090172
47,C2/m,0.5434495343569091
48,F-43m,0.9972560668613433
49,I-43m,0.15176607186506966
