cluster_id,dominant_space_group_symbol,fraction
0,Pmmm,0.7367461480713545
1,Imm2,0.3179663332128078
2,F-43m,0.9993204423302651
3,P4/mmm,0.8657849620377174
4,R-3m,0.8050379898483558
5,Pm,0.6717659226062225
6,Fm-3m,0.18596477676502396
7,Cm,0.9685269305645685
8,P4mm,0.6168763557483731
9,Imm2,0.3218065285437472
10,F-43m,0.7200216060496939
11,I-4m2,0.711350514466342
12,Pm,0.8507826211540528
13,I-4m2,0.5939369517373919
14,R-3m,0.7356540462946348
15,C2/m,0.5050910105307204
16,I4mm,0.7163989258962642
17,F-43m,0.9905604401531906
18,P6_3/mmc,0.17756094148917567
19,Pmmm,0.6344231447724332
20,Cmcm,0.17030905504196805
21,Immm,0.2577487411008856
22,F-43m,0.995444363343485
23,P4mm,0.2869964664310954
24,R-3m,0.7811076060287416
25,P2/m,0.42085748114912447
26,P4mm,0.4999085994829342
27,Cm,0.8656314600259603
28,P4mm,0.6074972051425377
29,Immm,0.24507343372374046
30,C2/m,0.6686059888899846
31,Imm2,0.3096315953793319
32,P3m1,0.599405425492382
33,Cm,0.9210495985247225
34,Fm-3m,0.5978781875119831
35,C2/m,0.8178715725885537
36,I-43m,0.1570174038000958
37,I4/mmm,0.3302333899669141
38,R-3m,0.5811224275954566
39,P4/mmm,0.23355569634405396
40,F-43m,0.7405237016382015
41,I4/mmm,0.5382067325387163
42,F-43m,0.9989481916988052
43,P4/mmm,0.8559534441531503
44,Cmmm,0.5429494770080916
45,P2/m,0.41901585703498617
46,I4/mmm,0.6202184230087484
47,Cm,0.16476984414642987
48,F-43m,0.5517888454794352
49,P2/m,0.7201694082985515
