layer,variant,distance,mean_cos
4,raw,9,0.98087
4,raw,10,0.980766
4,raw,11,0.980679
4,raw,12,0.980571
4,raw,13,0.980476
4,raw,14,0.9804
4,raw,15,0.98032
4,raw,16,0.98022
4,raw,17,0.980104
4,raw,18,0.980002
4,raw,19,0.979913
4,raw,20,0.979832
4,raw,21,0.979779
4,raw,22,0.979735
4,raw,23,0.979663
4,raw,24,0.979591
4,raw,25,0.97951
4,raw,26,0.97945
4,raw,27,0.979391
4,raw,28,0.979325
4,raw,29,0.979178
4,raw,30,0.97905
4,raw,31,0.978877
4,raw,32,0.978758
4,raw,33,0.978633
4,raw,34,0.978441
4,raw,35,0.978274
4,raw,36,0.978117
4,raw,37,0.977897
4,raw,38,0.97775
4,raw,39,0.977501
4,raw,40,0.977118
4,raw,41,0.976727
4,raw,42,0.976429
4,raw,43,0.976085
4,raw,44,0.975813
4,raw,45,0.975375
4,raw,46,0.974687
4,raw,47,0.974045
4,raw,48,0.973793
4,raw,49,0.973146
4,raw,50,0.97253
4,raw,51,0.972389
4,raw,52,0.971847
4,centered,0,0.160252
4,centered,1,0.148702
4,centered,2,0.133672
4,centered,3,0.123184
4,centered,4,0.115837
4,centered,5,0.109793
4,centered,6,0.103102
4,centered,7,0.0949036
4,centered,8,0.0888128
4,centered,9,0.0844455
4,centered,10,0.0804572
4,centered,11,0.0777289
4,centered,12,0.0739479
4,centered,13,0.0700428
4,centered,14,0.0666761
4,centered,15,0.0634769
4,centered,16,0.0586928
4,centered,17,0.0537193
4,centered,18,0.0490625
4,centered,19,0.0449083
4,centered,20,0.0418648
4,centered,21,0.0394928
4,centered,22,0.0374317
4,centered,23,0.0343586
4,centered,24,0.0309922
4,centered,25,0.0281416
4,centered,26,0.0252684
4,centered,27,0.022779
4,centered,28,0.019461
4,centered,29,0.0137764
4,centered,30,0.00818242
4,centered,31,0.00138466
4,centered,32,-0.00337909
4,centered,33,-0.00809493
4,centered,34,-0.0147061
4,centered,35,-0.0211942
4,centered,36,-0.0271072
4,centered,37,-0.0349319
4,centered,38,-0.0407046
4,centered,39,-0.0482108
4,centered,40,-0.0614135
4,centered,41,-0.072359
4,centered,42,-0.0762768
4,centered,43,-0.0790502
4,centered,44,-0.0783734
4,centered,45,-0.0788601
4,centered,46,-0.0822841
4,centered,47,-0.0685535
4,centered,48,-0.0380849
4,centered,49,-0.00957398
4,centered,50,0.0471905
4,centered,51,0.082798
4,centered,52,0.0613843
6,raw,0,0.965548
6,raw,1,0.965252
6,raw,2,0.964816
6,raw,3,0.964582
6,raw,4,0.964366
6,raw,5,0.964158
6,raw,6,0.96389
6,raw,7,0.963536
6,raw,8,0.963329
6,raw,9,0.963148
6,raw,10,0.962943
6,raw,11,0.962756
6,raw,12,0.962525
6,raw,13,0.96233
6,raw,14,0.962151
6,raw,15,0.961954
6,raw,16,0.961721
6,raw,17,0.961461
6,raw,18,0.961218
6,raw,19,0.961009
6,raw,20,0.960809
6,raw,21,0.96064
6,raw,22,0.960503
6,raw,23,0.960363
6,raw,24,0.960194
6,raw,25,0.960059
6,raw,26,0.959917
6,raw,27,0.959781
6,raw,28,0.959638
6,raw,29,0.959367
6,raw,30,0.959112
6,raw,31,0.958763
6,raw,32,0.95846
6,raw,33,0.958125
6,raw,34,0.95765
6,raw,35,0.957193
6,raw,36,0.956724
6,raw,37,0.956154
6,raw,38,0.955694
6,raw,39,0.955019
6,raw,40,0.954082
6,raw,41,0.953203
6,raw,42,0.952434
6,raw,43,0.951499
6,raw,44,0.950588
6,raw,45,0.949419
6,raw,46,0.947973
6,raw,47,0.946782
6,raw,48,0.94592
6,raw,49,0.943944
6,raw,50,0.941772
6,raw,51,0.940041
6,raw,52,0.937926
6,centered,0,0.167736
6,centered,1,0.154871
6,centered,2,0.139343
6,centered,3,0.12922
6,centered,4,0.122295
6,centered,5,0.116519
6,centered,6,0.109847
6,centered,7,0.102281
6,centered,8,0.0973988
6,centered,9,0.093931
6,centered,10,0.0902553
6,centered,11,0.0875196
6,centered,12,0.0835604
6,centered,13,0.0795815
6,centered,14,0.0761482
6,centered,15,0.0727278
6,centered,16,0.0678554
6,centered,17,0.0630027
6,centered,18,0.0585111
6,centered,19,0.0545183
6,centered,20,0.0516064
6,centered,21,0.0487874
6,centered,22,0.0464544
6,centered,23,0.0435234
6,centered,24,0.0398669
6,centered,25,0.0373063
6,centered,26,0.0340184
6,centered,27,0.0311448
6,centered,28,0.0279042
6,centered,29,0.0227542
6,centered,30,0.0175908
6,centered,31,0.011001
6,centered,32,0.00608385
6,centered,33,0.00104063
6,centered,34,-0.00585936
6,centered,35,-0.0133723
6,centered,36,-0.0197703
6,centered,37,-0.0275426
6,centered,38,-0.0336699
6,centered,39,-0.0420505
6,centered,40,-0.0554883
6,centered,41,-0.0663343
6,centered,42,-0.0699095
6,centered,43,-0.0730453
6,centered,44,-0.0739497
6,centered,45,-0.0760719
6,centered,46,-0.0790034
6,centered,47,-0.0614812
6,centered,48,-0.0316076
6,centered,49,-0.00825469
6,centered,50,0.0298873
6,centered,51,0.0580247
6,centered,52,0.0532494
8,raw,0,0.917128
8,raw,1,0.916339
8,raw,2,0.9153
8,raw,3,0.914669
8,raw,4,0.914227
8,raw,5,0.913831
8,raw,6,0.913253
8,raw,7,0.912538
8,raw,8,0.912119
8,raw,9,0.911778
8,raw,10,0.911348
8,raw,11,0.910975
8,raw,12,0.910479
8,raw,13,0.910117
8,raw,14,0.909721
8,raw,15,0.90933
8,raw,16,0.908836
8,raw,17,0.908307
8,raw,18,0.907922
8,raw,19,0.907558
8,raw,20,0.9072
8,raw,21,0.90692
8,raw,22,0.906632
8,raw,23,0.906379
8,raw,24,0.906041
8,raw,25,0.905867
8,raw,26,0.905619
8,raw,27,0.905363
8,raw,28,0.905161
8,raw,29,0.904759
8,raw,30,0.904294
8,raw,31,0.903688
8,raw,32,0.903187
8,raw,33,0.902655
8,raw,34,0.901845
8,raw,35,0.901105
8,raw,36,0.900406
8,raw,37,0.899468
8,raw,38,0.898678
8,raw,39,0.897522
8,raw,40,0.895934
8,raw,41,0.894641
8,raw,42,0.893336
8,raw,43,0.891968
8,raw,44,0.890477
8,raw,45,0.888975
8,raw,46,0.887011
8,raw,47,0.885367
8,raw,48,0.884886
8,raw,49,0.883031
8,raw,50,0.882158
8,raw,51,0.881272
8,raw,52,0.876822
8,centered,0,0.14385
8,centered,1,0.132529
8,centered,2,0.119328
8,centered,3,0.110533
8,centered,4,0.104764
8,centered,5,0.0999767
8,centered,6,0.0941455
8,centered,7,0.0877516
8,centered,8,0.0838712
8,centered,9,0.0806995
8,centered,10,0.0775083
8,centered,11,0.0744895
8,centered,12,0.0709156
8,centered,13,0.06744
8,centered,14,0.064285
8,centered,15,0.0612894
8,centered,16,0.0571068
8,centered,17,0.0527667
8,centered,18,0.0492672
8,centered,19,0.0459934
8,centered,20,0.0432881
8,centered,21,0.04111
8,centered,22,0.0390867
8,centered,23,0.03646
8,centered,24,0.033267
8,centered,25,0.0310917
8,centered,26,0.02806
8,centered,27,0.0252838
8,centered,28,0.0228052
8,centered,29,0.0183881
8,centered,30,0.0138929
8,centered,31,0.00823444
8,centered,32,0.00428816
8,centered,33,-0.000321516
8,centered,34,-0.00659895
8,centered,35,-0.0133498
8,centered,36,-0.0196013
8,centered,37,-0.0264448
8,centered,38,-0.0323205
8,centered,39,-0.0405055
8,centered,40,-0.0518459
8,centered,41,-0.0619879
8,centered,42,-0.06656
8,centered,43,-0.0717761
8,centered,44,-0.0750152
8,centered,45,-0.0784118
8,centered,46,-0.0818117
8,centered,47,-0.0732652
8,centered,48,-0.0515995
8,centered,49,-0.0354938
8,centered,50,-0.00555797
8,centered,51,0.0168076
8,centered,52,0.00792526
10,raw,0,0.724605
10,raw,1,0.721808
10,raw,2,0.718484
10,raw,3,0.716465
10,raw,4,0.715325
10,raw,5,0.714314
10,raw,6,0.712832
10,raw,7,0.711002
10,raw,8,0.709932
10,raw,9,0.70912
10,raw,10,0.708085
10,raw,11,0.707143
10,raw,12,0.70588
10,raw,13,0.704822
10,raw,14,0.703803
10,raw,15,0.702801
10,raw,16,0.701527
10,raw,17,0.700223
10,raw,18,0.69945
10,raw,19,0.698627
10,raw,20,0.69798
10,raw,21,0.697491
10,raw,22,0.696779
10,raw,23,0.696244
10,raw,24,0.695491
10,raw,25,0.695387
10,raw,26,0.69493
10,raw,27,0.694515
10,raw,28,0.694309
10,raw,29,0.69369
10,raw,30,0.692722
10,raw,31,0.691475
10,raw,32,0.690496
10,raw,33,0.689431
10,raw,34,0.688113
10,raw,35,0.686733
10,raw,36,0.685652
10,raw,37,0.68407
10,raw,38,0.682575
10,raw,39,0.68042
10,raw,40,0.676918
10,raw,41,0.673902
10,raw,42,0.671305
10,raw,43,0.668625
10,raw,44,0.665455
10,raw,45,0.662401
10,raw,46,0.657951
10,raw,47,0.654623
10,raw,48,0.653553
10,raw,49,0.651927
10,raw,50,0.655675
10,raw,51,0.652487
10,raw,52,0.63778
10,centered,0,0.111735
10,centered,1,0.101445
10,centered,2,0.0898954
10,centered,3,0.0825442
10,centered,4,0.0777808
10,centered,5,0.0741766
10,centered,6,0.0698482
10,centered,7,0.0649674
10,centered,8,0.0622345
10,centered,9,0.0600575
10,centered,10,0.0578942
10,centered,11,0.0556668
10,centered,12,0.0528138
10,centered,13,0.0499796
10,centered,14,0.0475983
10,centered,15,0.0452321
10,centered,16,0.0419263
10,centered,17,0.0383989
10,centered,18,0.0357394
10,centered,19,0.0332888
10,centered,20,0.0313134
10,centered,21,0.0298207
10,centered,22,0.0282066
10,centered,23,0.0262921
10,centered,24,0.0239824
10,centered,25,0.0225802
10,centered,26,0.020275
10,centered,27,0.01848
