layer,variant,distance,mean_cos
2,centered,8,0.167202
2,centered,9,0.165543
2,centered,10,0.163509
2,centered,11,0.163138
2,centered,12,0.162122
2,centered,13,0.160776
2,centered,14,0.160269
2,centered,15,0.158508
2,centered,16,0.157553
2,centered,17,0.156858
2,centered,18,0.155028
2,centered,19,0.153988
2,centered,20,0.152635
2,centered,21,0.15094
2,centered,22,0.149349
2,centered,23,0.148176
2,centered,24,0.146173
2,centered,25,0.144214
2,centered,26,0.142552
2,centered,27,0.139975
2,centered,28,0.137437
2,centered,29,0.13515
2,centered,30,0.132697
2,centered,31,0.130413
2,centered,32,0.127303
2,centered,33,0.124899
2,centered,34,0.122592
2,centered,35,0.119972
2,centered,36,0.116816
2,centered,37,0.114329
2,centered,38,0.111539
2,centered,39,0.109161
2,centered,40,0.106735
2,centered,41,0.104653
2,centered,42,0.101485
2,centered,43,0.0992643
2,centered,44,0.0974452
2,centered,45,0.0944984
2,centered,46,0.0921388
2,centered,47,0.0887823
2,centered,48,0.0856204
2,centered,49,0.0819088
2,centered,50,0.0791168
2,centered,51,0.0752404
2,centered,52,0.0727653
2,centered,53,0.0672038
2,centered,54,0.0636336
2,centered,55,0.0590698
2,centered,56,0.0536301
2,centered,57,0.0493288
2,centered,58,0.0453797
2,centered,59,0.0391532
2,centered,60,0.0382991
2,centered,61,0.0340808
2,centered,62,0.0322401
2,centered,63,0.0355438
2,centered,64,0.0309064
2,centered,65,0.0263763
2,centered,66,0.0269377
2,centered,67,0.0230325
2,centered,68,0.0250545
2,centered,69,0.0288258
2,centered,70,0.0233318
2,centered,71,0.0510187
2,centered,72,0.00518419
2,centered,73,-0.0770158
4,raw,0,0.987245
4,raw,1,0.987253
4,raw,2,0.987218
4,raw,3,0.987219
4,raw,4,0.987208
4,raw,5,0.987219
4,raw,6,0.987177
4,raw,7,0.987148
4,raw,8,0.987197
4,raw,9,0.987161
4,raw,10,0.987113
4,raw,11,0.987156
4,raw,12,0.98716
4,raw,13,0.987143
4,raw,14,0.987145
4,raw,15,0.987124
4,raw,16,0.987109
4,raw,17,0.987099
4,raw,18,0.987078
4,raw,19,0.987055
4,raw,20,0.987035
4,raw,21,0.987
4,raw,22,0.986979
4,raw,23,0.986958
4,raw,24,0.98693
4,raw,25,0.986893
4,raw,26,0.986879
4,raw,27,0.986843
4,raw,28,0.986783
4,raw,29,0.98675
4,raw,30,0.986708
4,raw,31,0.986663
4,raw,32,0.986608
4,raw,33,0.986557
4,raw,34,0.9865
4,raw,35,0.986447
4,raw,36,0.986396
4,raw,37,0.986329
4,raw,38,0.98624
4,raw,39,0.986175
4,raw,40,0.986117
4,raw,41,0.986055
4,raw,42,0.985977
4,raw,43,0.985923
4,raw,44,0.985861
4,raw,45,0.985798
4,raw,46,0.985726
4,raw,47,0.985622
4,raw,48,0.985549
4,raw,49,0.985456
4,raw,50,0.985399
4,raw,51,0.985293
4,raw,52,0.985232
4,raw,53,0.985121
4,raw,54,0.985016
4,raw,55,0.984894
4,raw,56,0.984746
4,raw,57,0.984666
4,raw,58,0.984593
4,raw,59,0.984478
4,raw,60,0.984449
4,raw,61,0.984386
4,raw,62,0.984311
4,raw,63,0.984387
4,raw,64,0.984472
4,raw,65,0.984365
4,raw,66,0.984338
4,raw,67,0.984442
4,raw,68,0.984252
4,raw,69,0.984045
4,raw,70,0.983759
4,raw,71,0.98475
4,raw,72,0.983141
4,raw,73,0.981092
4,centered,0,0.162102
4,centered,1,0.159124
4,centered,2,0.156725
4,centered,3,0.157227
4,centered,4,0.156009
4,centered,5,0.154941
4,centered,6,0.153119
4,centered,7,0.151106
4,centered,8,0.150388
4,centered,9,0.148841
4,centered,10,0.146643
4,centered,11,0.145966
4,centered,12,0.145036
4,centered,13,0.143655
4,centered,14,0.142639
4,centered,15,0.140788
4,centered,16,0.13972
4,centered,17,0.138777
4,centered,18,0.136908
4,centered,19,0.135601
4,centered,20,0.134274
4,centered,21,0.1328
4,centered,22,0.131007
4,centered,23,0.129897
4,centered,24,0.128017
4,centered,25,0.126163
4,centered,26,0.124845
4,centered,27,0.122586
4,centered,28,0.120214
4,centered,29,0.118559
4,centered,30,0.116724
4,centered,31,0.114565
4,centered,32,0.111829
4,centered,33,0.109883
4,centered,34,0.107747
4,centered,35,0.105172
4,centered,36,0.102478
4,centered,37,0.100425
4,centered,38,0.0977224
4,centered,39,0.0955138
4,centered,40,0.0931931
4,centered,41,0.090778
4,centered,42,0.0880275
4,centered,43,0.0860429
4,centered,44,0.0841645
4,centered,45,0.0813386
4,centered,46,0.0794335
4,centered,47,0.0760728
4,centered,48,0.0730515
4,centered,49,0.0696931
4,centered,50,0.0670691
4,centered,51,0.0629693
4,centered,52,0.060327
4,centered,53,0.0558608
4,centered,54,0.0523911
4,centered,55,0.0484434
4,centered,56,0.0438752
4,centered,57,0.0404265
4,centered,58,0.03728
4,centered,59,0.031871
4,centered,60,0.0311249
4,centered,61,0.0272496
4,centered,62,0.0263018
4,centered,63,0.0294438
4,centered,64,0.0263127
4,centered,65,0.0221032
4,centered,66,0.023213
4,centered,67,0.0208853
4,centered,68,0.0200607
4,centered,69,0.0227353
4,centered,70,0.0176646
4,centered,71,0.0451046
4,centered,72,-0.00577058
