layer,variant,label_col,n_structures,same_sg_pairs,diff_sg_pairs,mean_cos_same_sg,mean_cos_diff_sg,ratio,delta,macro_mean_cos_same_sg,null_ratio,cc_n_structures,cc_same_sg_pairs,cc_diff_sg_pairs,cc_mean_cos_same_sg,cc_mean_cos_diff_sg,cc_ratio,cc_delta,cc_null_ratio
0,raw,space_group_symbol,132839,277451635.0,8545581906.0,0.9983393396273125,0.9964493234049653,1.0018967509716288,0.0018900162223471906,0.9981815589593565,0.9999999132051475,63173,172643.0,436066.0,0.9997048824711845,0.9987344186124258,1.0009716936161137,0.0009704638587586523,1.0003995445868865
0,centered,space_group_symbol,132839,277451635.0,8545581906.0,0.44241822365793393,-0.003228581299433703,-137.0317742147409,0.44564680495736764,0.36622331865729885,0.9415540892237704,63173,172643.0,436066.0,0.8389339088409175,0.4607342339408409,1.8208629770468459,0.37819967490007655,1.232076823814226
2,raw,space_group_symbol,132839,277451635.0,8545581906.0,0.9937704674863522,0.9892303613067952,1.0045895338003572,0.004540106179557024,0.9937388886666866,0.9999639396759621,63173,172643.0,436066.0,0.9992678892447119,0.9964035520798203,1.0028746757866456,0.0028643371648915394,1.0012310677176652
2,centered,space_group_symbol,132839,277451635.0,8545581906.0,0.3188355202025767,-0.0025825234373357225,-123.45890673948946,0.32141804363991244,0.3447804652074539,0.961088029152865,63173,172643.0,436066.0,0.8950244164034343,0.6234692712514145,1.4355549786871773,0.27155514515201984,1.153508787320741
4,raw,space_group_symbol,132839,277451635.0,8545581906.0,0.9902076680602844,0.9830472354259475,1.00728391513276,0.007160432634336855,0.9906118670824283,0.9999557227991327,63173,172643.0,436066.0,0.9984347617918095,0.9931718960489953,1.0052990481947293,0.0052628657428142045,1.0019592919893257
4,centered,space_group_symbol,132839,277451635.0,8545581906.0,0.3824481475916793,-0.00781732461280957,-48.923150378710744,0.3902654722044889,0.3868878359871594,0.9268461541334294,63173,172643.0,436066.0,0.868566179935998,0.513196004934176,1.6924648118556627,0.355370175001822,1.1888406242815097
6,raw,space_group_symbol,132839,277451635.0,8545581906.0,0.9776738510499153,0.965141378494896,1.0129851157915986,0.012532472555019325,0.980817703894875,1.000066069524761,63173,172643.0,436066.0,0.9961825599297742,0.9850617674988071,1.0112894366606109,0.011120792430967086,1.0039748827397945
6,centered,space_group_symbol,132839,277451635.0,8545581906.0,0.3658676527106603,-0.009471839577556476,-38.626884430938176,0.3753394922882168,0.3740306391944402,0.9571552029709078,63173,172643.0,436066.0,0.890698920489259,0.5484247228838012,1.6241042449830951,0.34227419760545785,1.177606119564788
8,raw,space_group_symbol,132839,277451635.0,8545581906.0,0.9443632108385557,0.9122118811333276,1.0352454625621443,0.03215132970522805,0.9537028444307385,1.0001460261533415,63173,172643.0,436066.0,0.981546630395162,0.9478191295236255,1.0355843217560803,0.03372750087153653,1.0105535453643804
8,centered,space_group_symbol,132839,277451635.0,8545581906.0,0.401557253968408,-0.011389922940422324,-35.25548470071728,0.41294717690883037,0.41579173509447953,1.029808851473076,63173,172643.0,436066.0,0.8246439482375983,0.452555492030488,1.8221941016286314,0.37208845620711034,1.2351794448602826
10,raw,space_group_symbol,132839,277451635.0,8545581906.0,0.8132961782527701,0.7059331790877889,1.1520866313490412,0.10736299916498127,0.8530918010386013,0.9999917036592469,63173,172643.0,436066.0,0.9159342243047426,0.7957261784669534,1.1510670995761156,0.12020804583778921,1.0437828573153534
10,centered,space_group_symbol,132839,277451635.0,8545581906.0,0.39818497561703314,-0.011404287725451516,-34.91537439277194,0.40958926334248463,0.4624595633346721,0.9925885678765382,63173,172643.0,436066.0,0.7971292246603423,0.4113383468183919,1.9378918372817773,0.38579087784195043,1.2836019790627884
12,raw,space_group_symbol,132839,277451635.0,8545581906.0,0.741295287075442,0.5776480915127781,1.283299119251126,0.16364719556266394,0.7965094635651374,1.0005295409743984,63173,172643.0,436066.0,0.8659424352317319,0.6989377558090094,1.238940703996477,0.16700467942272246,1.0785030566167881
12,centered,space_group_symbol,132839,277451635.0,8545581906.0,0.4109023745570717,-0.011637771880348943,-35.307649847554096,0.4225401464374206,0.4795539513429098,1.0600994524454261,63173,172643.0,436066.0,0.7418266685694593,0.3247021506150912,2.2846373735566545,0.4171245179543681,1.3904833140978146
14,raw,space_group_symbol,132839,277451635.0,8545581906.0,0.75338986666,0.5861464138960137,1.2853270937074373,0.16724345276398622,0.7979389561220911,0.9992311179529934,63173,172643.0,436066.0,0.8754209735721292,0.7140473486097232,1.225998493344463,0.16137362496240604,1.0727570416646572
