layer,variant,distance,mean_cos
6,raw,2,0.971349
6,raw,3,0.97052
6,raw,4,0.96964
6,raw,5,0.968685
6,raw,6,0.967727
6,raw,7,0.96684
6,raw,8,0.966001
6,raw,9,0.965294
6,raw,10,0.964479
6,raw,11,0.96357
6,raw,12,0.962719
6,raw,13,0.961971
6,raw,14,0.961272
6,raw,15,0.960623
6,raw,16,0.960012
6,raw,17,0.959465
6,raw,18,0.958976
6,raw,19,0.958623
6,raw,20,0.958217
6,raw,21,0.957729
6,raw,22,0.957178
6,raw,23,0.956904
6,raw,24,0.956693
6,raw,25,0.956729
6,raw,26,0.95665
6,raw,27,0.956476
6,raw,28,0.956376
6,raw,29,0.956603
6,raw,30,0.956778
6,raw,31,0.956829
6,raw,32,0.956502
6,raw,33,0.956305
6,raw,34,0.955442
6,raw,35,0.954888
6,raw,36,0.954097
6,centered,0,0.296545
6,centered,1,0.283415
6,centered,2,0.26453
6,centered,3,0.243578
6,centered,4,0.222041
6,centered,5,0.199749
6,centered,6,0.177911
6,centered,7,0.157479
6,centered,8,0.138462
6,centered,9,0.122273
6,centered,10,0.104699
6,centered,11,0.0855118
6,centered,12,0.0669959
6,centered,13,0.0486828
6,centered,14,0.0315484
6,centered,15,0.0140034
6,centered,16,-0.00342672
6,centered,17,-0.0222439
6,centered,18,-0.0415346
6,centered,19,-0.0623841
6,centered,20,-0.0821252
6,centered,21,-0.10403
6,centered,22,-0.124901
6,centered,23,-0.139468
6,centered,24,-0.150539
6,centered,25,-0.156792
6,centered,26,-0.160427
6,centered,27,-0.165104
6,centered,28,-0.169219
6,centered,29,-0.167439
6,centered,30,-0.165539
6,centered,31,-0.164758
6,centered,32,-0.165108
6,centered,33,-0.159468
6,centered,34,-0.163277
6,centered,35,-0.149142
6,centered,36,-0.15114
8,raw,0,0.930004
8,raw,1,0.92886
8,raw,2,0.927102
8,raw,3,0.925182
8,raw,4,0.92311
8,raw,5,0.92081
8,raw,6,0.918452
8,raw,7,0.916322
8,raw,8,0.914357
8,raw,9,0.912642
8,raw,10,0.910862
8,raw,11,0.908836
8,raw,12,0.906909
8,raw,13,0.905106
8,raw,14,0.903416
8,raw,15,0.901851
8,raw,16,0.900334
8,raw,17,0.898943
8,raw,18,0.897599
8,raw,19,0.89658
8,raw,20,0.89528
8,raw,21,0.893877
8,raw,22,0.89248
8,raw,23,0.891784
8,raw,24,0.891054
8,raw,25,0.890873
8,raw,26,0.890729
8,raw,27,0.890467
8,raw,28,0.890412
8,raw,29,0.890409
8,raw,30,0.890562
8,raw,31,0.890407
8,raw,32,0.889441
8,raw,33,0.888122
8,raw,34,0.885855
8,raw,35,0.8851
8,raw,36,0.884119
8,centered,0,0.267653
8,centered,1,0.255485
8,centered,2,0.23757
8,centered,3,0.218218
8,centered,4,0.198074
8,centered,5,0.176795
8,centered,6,0.155472
8,centered,7,0.135847
8,centered,8,0.118096
8,centered,9,0.103156
8,centered,10,0.0874253
8,centered,11,0.0703756
8,centered,12,0.0542912
8,centered,13,0.0385941
8,centered,14,0.0243981
8,centered,15,0.0101004
8,centered,16,-0.00352651
8,centered,17,-0.0170241
8,centered,18,-0.0304359
8,centered,19,-0.0446793
8,centered,20,-0.058232
8,centered,21,-0.0731265
8,centered,22,-0.0871135
8,centered,23,-0.0968544
8,centered,24,-0.104387
8,centered,25,-0.108581
8,centered,26,-0.110151
8,centered,27,-0.112672
8,centered,28,-0.114893
8,centered,29,-0.112737
8,centered,30,-0.111603
8,centered,31,-0.11076
8,centered,32,-0.112461
8,centered,33,-0.110975
8,centered,34,-0.116639
8,centered,35,-0.111017
8,centered,36,-0.110099
10,raw,0,0.761775
10,raw,1,0.758327
10,raw,2,0.75296
10,raw,3,0.747341
10,raw,4,0.74116
10,raw,5,0.733995
10,raw,6,0.726509
10,raw,7,0.719571
10,raw,8,0.712925
10,raw,9,0.707003
10,raw,10,0.700869
10,raw,11,0.694065
10,raw,12,0.687151
10,raw,13,0.680524
10,raw,14,0.674429
10,raw,15,0.668396
10,raw,16,0.663291
10,raw,17,0.659232
10,raw,18,0.65575
10,raw,19,0.653175
10,raw,20,0.649773
10,raw,21,0.646225
10,raw,22,0.642875
10,raw,23,0.640604
10,raw,24,0.637317
10,raw,25,0.634718
10,raw,26,0.633189
10,raw,27,0.631841
10,raw,28,0.629869
10,raw,29,0.627099
10,raw,30,0.624915
10,raw,31,0.623303
10,raw,32,0.619703
10,raw,33,0.614851
10,raw,34,0.608419
10,raw,35,0.604843
10,raw,36,0.600966
10,centered,0,0.250606
10,centered,1,0.239185
10,centered,2,0.22271
10,centered,3,0.205897
10,centered,4,0.188358
10,centered,5,0.168884
10,centered,6,0.148901
10,centered,7,0.130163
10,centered,8,0.112488
10,centered,9,0.0972228
10,centered,10,0.0813561
10,centered,11,0.0636812
10,centered,12,0.0463999
10,centered,13,0.030335
10,centered,14,0.0162799
10,centered,15,0.00196814
10,centered,16,-0.00921464
10,centered,17,-0.0170556
10,centered,18,-0.0232672
10,centered,19,-0.0289691
10,centered,20,-0.0342843
10,centered,21,-0.0397474
10,centered,22,-0.0454822
10,centered,23,-0.0501196
10,centered,24,-0.0557663
10,centered,25,-0.0606327
10,centered,26,-0.0640459
10,centered,27,-0.0676206
10,centered,28,-0.0716162
10,centered,29,-0.0746453
10,centered,30,-0.0782579
10,centered,31,-0.0792254
10,centered,32,-0.0850176
10,centered,33,-0.0868734
10,centered,34,-0.0910701
10,centered,35,-0.0917783
10,centered,36,-0.0976152
12,raw,0,0.666283
12,raw,1,0.662
12,raw,2,0.655526
12,raw,3,0.648694
12,raw,4,0.641213
12,raw,5,0.632283
12,raw,6,0.622929
12,raw,7,0.614124
12,raw,8,0.60567
12,raw,9,0.598068
12,raw,10,0.590456
12,raw,11,0.581889
12,raw,12,0.573275
12,raw,13,0.565382
12,raw,14,0.558304
12,raw,15,0.551555
12,raw,16,0.546527
12,raw,17,0.543432
12,raw,18,0.541144
12,raw,19,0.540379
12,raw,20,0.53825
12,raw,21,0.536031
12,raw,22,0.533893
12,raw,23,0.532408
12,raw,24,0.529438
12,raw,25,0.526901
12,raw,26,0.52534
12,raw,27,0.52448
12,raw,28,0.523621
12,raw,29,0.521076
12,raw,30,0.518886
12,raw,31,0.517134
12,raw,32,0.512511
12,raw,33,0.506921
12,raw,34,0.500787
12,raw,35,0.496223
12,raw,36,0.491279
12,centered,0,0.240934
12,centered,1,0.230855
12,centered,2,0.216231
12,centered,3,0.201382
12,centered,4,0.185583
12,centered,5,0.167372
12,centered,6,0.148366
12,centered,7,0.130215
12,centered,8,0.112684
12,centered,9,0.0971639
12,centered,10,0.0809924
12,centered,11,0.0630185
12,centered,12,0.0454908
12,centered,13,0.0297889
12,centered,14,0.0162524
12,centered,15,0.00267526
12,centered,16,-0.00724498
12,centered,17,-0.0130654
12,centered,18,-0.0169751
12,centered,19,-0.0204394
12,centered,20,-0.0237732
12,centered,21,-0.0275073
12,centered,22,-0.0312533
12,centered,23,-0.034345
12,centered,24,-0.0389532
12,centered,25,-0.0433753
12,centered,26,-0.046793
12,centered,27,-0.0503824
12,centered,28,-0.0547751
12,centered,29,-0.0593998
12,centered,30,-0.0643348
12,centered,31,-0.0667398
12,centered,32,-0.0731463
12,centered,33,-0.0776193
12,centered,34,-0.0829535
12,centered,35,-0.0855205
12,centered,36,-0.0919363
14,raw,0,0.673711
14,raw,1,0.66979
14,raw,2,0.663638
14,raw,3,0.656957
14,raw,4,0.649738
14,raw,5,0.641039
14,raw,6,0.631811
14,raw,7,0.623157
14,raw,8,0.614699
14,raw,9,0.607043
14,raw,10,0.599172
14,raw,11,0.590222
14,raw,12,0.581235
14,raw,13,0.572987
14,raw,14,0.565527
14,raw,15,0.558391
14,raw,16,0.553149
14,raw,17,0.550095
14,raw,18,0.547967
14,raw,19,0.547012
14,raw,20,0.544743
14,raw,21,0.542636
14,raw,22,0.540407
14,raw,23,0.538629
14,raw,24,0.535284
14,raw,25,0.53256
14,raw,26,0.530835
14,raw,27,0.529826
14,raw,28,0.529066
14,raw,29,0.526302
14,raw,30,0.524091
14,raw,31,0.522342
14,raw,32,0.518396
14,raw,33,0.513184
14,raw,34,0.507358
14,raw,35,0.500807
14,raw,36,0.495407
14,centered,0,0.242231
14,centered,1,0.232726
14,centered,2,0.218633
14,centered,3,0.204191
14,centered,4,0.188741
14,centered,5,0.170742
14,centered,6,0.151777
14,centered,7,0.133573
14,centered,8,0.115857
14,centered,9,0.100169
14,centered,10,0.0833772
14,centered,11,0.0645428
14,centered,12,0.0462876
14,centered,13,0.0299134
14,centered,14,0.0157393
14,centered,15,0.00138833
14,centered,16,-0.0091764
14,centered,17,-0.0153744
14,centered,18,-0.0191274
14,centered,19,-0.0229808
14,centered,20,-0.0268211
14,centered,21,-0.0308627
14,centered,22,-0.0350125
14,centered,23,-0.0385329
14,centered,24,-0.0434593
14,centered,25,-0.0479793
14,centered,26,-0.0514922
14,centered,27,-0.0551118
14,centered,28,-0.0588951
14,centered,29,-0.0629092
14,centered,30,-0.0673536
14,centered,31,-0.0702296
14,centered,32,-0.0762008
14,centered,33,-0.0808816
14,centered,34,-0.0864003
14,centered,35,-0.0888422
14,centered,36,-0.0949729
16,raw,0,0.714028
16,raw,1,0.710491
16,raw,2,0.7049
16,raw,3,0.69879
16,raw,4,0.692186
16,raw,5,0.684341
16,raw,6,0.676118
16,raw,7,0.668433
16,raw,8,0.661105
16,raw,9,0.654481
16,raw,10,0.647588
16,raw,11,0.639575
16,raw,12,0.631391
16,raw,13,0.623839
16,raw,14,0.616946
16,raw,15,0.610369
16,raw,16,0.605523
16,raw,17,0.602747
16,raw,18,0.600834
16,raw,19,0.599988
16,raw,20,0.598111
16,raw,21,0.596491
16,raw,22,0.594476
16,raw,23,0.592699
16,raw,24,0.589292
16,raw,25,0.586346
16,raw,26,0.58418
16,raw,27,0.582672
16,raw,28,0.581565
16,raw,29,0.57973
16,raw,30,0.578644
16,raw,31,0.577524
16,raw,32,0.574501
16,raw,33,0.5698
16,raw,34,0.565298
16,raw,35,0.558713
16,raw,36,0.551204
16,centered,0,0.248524
16,centered,1,0.238788
16,centered,2,0.224556
16,centered,3,0.209795
16,centered,4,0.193826
16,centered,5,0.17556
16,centered,6,0.156336
16,centered,7,0.137975
16,centered,8,0.120073
16,centered,9,0.104004
16,centered,10,0.0870424
16,centered,11,0.0678205
16,centered,12,0.049037
16,centered,13,0.0320818
16,centered,14,0.0172909
16,centered,15,0.00224261
16,centered,16,-0.00927793
16,centered,17,-0.0164878
16,centered,18,-0.0211165
16,centered,19,-0.026284
16,centered,20,-0.0308154
16,centered,21,-0.0354345
16,centered,22,-0.0403269
16,centered,23,-0.0444
16,centered,24,-0.049926
16,centered,25,-0.0549629
16,centered,26,-0.0589129
16,centered,27,-0.0632908
16,centered,28,-0.067747
16,centered,29,-0.0716398
16,centered,30,-0.0754349
16,centered,31,-0.0774879
16,centered,32,-0.0823835
16,centered,33,-0.0857923
16,centered,34,-0.0890887
16,centered,35,-0.0906878
16,centered,36,-0.0965474
18,raw,0,0.765093
18,raw,1,0.762327
18,raw,2,0.757819
18,raw,3,0.752877
18,raw,4,0.7475
18,raw,5,0.74113
18,raw,6,0.734453
18,raw,7,0.728059
18,raw,8,0.722097
18,raw,9,0.716885
18,raw,10,0.711316
18,raw,11,0.70471
18,raw,12,0.698057
18,raw,13,0.691989
18,raw,14,0.686432
18,raw,15,0.681036
18,raw,16,0.676875
18,raw,17,0.674426
18,raw,18,0.672874
18,raw,19,0.67226
18,raw,20,0.670642
18,raw,21,0.669282
18,raw,22,0.667652
18,raw,23,0.666628
18,raw,24,0.66472
18,raw,25,0.663379
18,raw,26,0.662452
18,raw,27,0.6618
18,raw,28,0.661603
18,raw,29,0.661384
18,raw,30,0.66086
18,raw,31,0.659343
18,raw,32,0.656591
18,raw,33,0.652132
18,raw,34,0.646364
18,raw,35,0.640469
18,raw,36,0.632618
18,centered,0,0.24926
18,centered,1,0.239726
18,centered,2,0.225886
18,centered,3,0.211471
18,centered,4,0.196021
18,centered,5,0.178308
18,centered,6,0.159444
18,centered,7,0.141291
18,centered,8,0.123671
18,centered,9,0.107837
18,centered,10,0.0908289
18,centered,11,0.0712728
18,centered,12,0.0521177
18,centered,13,0.0345433
18,centered,14,0.0189558
18,centered,15,0.00317478
18,centered,16,-0.0095293
18,centered,17,-0.0181249
18,centered,18,-0.0237353
18,centered,19,-0.0302825
18,centered,20,-0.0360408
18,centered,21,-0.0421388
18,centered,22,-0.0479937
18,centered,23,-0.0518856
18,centered,24,-0.0565235
18,centered,25,-0.0602188
18,centered,26,-0.0627648
18,centered,27,-0.0661276
18,centered,28,-0.0696593
18,centered,29,-0.0717938
18,centered,30,-0.074601
18,centered,31,-0.0766671
18,centered,32,-0.0806109
18,centered,33,-0.0827501
18,centered,34,-0.0872003
18,centered,35,-0.0850551
18,centered,36,-0.0886982
20,raw,0,0.78944
20,raw,1,0.786799
20,raw,2,0.782666
20,raw,3,0.7781
20,raw,4,0.773188
20,raw,5,0.767477
20,raw,6,0.76153
20,raw,7,0.755869
20,raw,8,0.750544
20,raw,9,0.745866
20,raw,10,0.740936
20,raw,11,0.735162
20,raw,12,0.729269
20,raw,13,0.723797
20,raw,14,0.718753
20,raw,15,0.713878
20,raw,16,0.710018
20,raw,17,0.70758
20,raw,18,0.706122
20,raw,19,0.705474
20,raw,20,0.704011
20,raw,21,0.702655
20,raw,22,0.701068
20,raw,23,0.700078
20,raw,24,0.698464
20,raw,25,0.697407
20,raw,26,0.696657
20,raw,27,0.696222
20,raw,28,0.696165
20,raw,29,0.696248
20,raw,30,0.696004
20,raw,31,0.694883
20,raw,32,0.692562
20,raw,33,0.689092
20,raw,34,0.684049
20,raw,35,0.679188
20,raw,36,0.673592
20,centered,0,0.251378
20,centered,1,0.241368
20,centered,2,0.227294
20,centered,3,0.212671
20,centered,4,0.197151
20,centered,5,0.179608
20,centered,6,0.161
20,centered,7,0.143205
20,centered,8,0.125819
20,centered,9,0.110078
20,centered,10,0.0933027
20,centered,11,0.0740942
20,centered,12,0.0551143
20,centered,13,0.037297
20,centered,14,0.0213374
20,centered,15,0.00540226
20,centered,16,-0.0077888
20,centered,17,-0.0173707
20,centered,18,-0.0238119
20,centered,19,-0.0314993
20,centered,20,-0.0380779
20,centered,21,-0.0451562
20,centered,22,-0.0518462
20,centered,23,-0.056344
20,centered,24,-0.0613278
20,centered,25,-0.0651865
20,centered,26,-0.068056
20,centered,27,-0.0718217
20,centered,28,-0.0756535
20,centered,29,-0.0776244
20,centered,30,-0.0802507
20,centered,31,-0.0820002
20,centered,32,-0.0856169
20,centered,33,-0.0865741
20,centered,34,-0.0898794
20,centered,35,-0.0826033
20,centered,36,-0.0802155
22,raw,0,0.80724
22,raw,1,0.804813
22,raw,2,0.801013
22,raw,3,0.796852
22,raw,4,0.792371
22,raw,5,0.787176
22,raw,6,0.781772
22,raw,7,0.776605
22,raw,8,0.771746
22,raw,9,0.767509
22,raw,10,0.762998
22,raw,11,0.757733
22,raw,12,0.752328
22,raw,13,0.747283
22,raw,14,0.742651
22,raw,15,0.738176
22,raw,16,0.734594
22,raw,17,0.732258
22,raw,18,0.730869
22,raw,19,0.730277
22,raw,20,0.728918
22,raw,21,0.727578
22,raw,22,0.726071
22,raw,23,0.725226
22,raw,24,0.72384
22,raw,25,0.723009
22,raw,26,0.722367
22,raw,27,0.722014
22,raw,28,0.721862
22,raw,29,0.72211
22,raw,30,0.722005
22,raw,31,0.720747
22,raw,32,0.718433
22,raw,33,0.715149
22,raw,34,0.710284
22,raw,35,0.706236
22,raw,36,0.701285
22,centered,0,0.248762
22,centered,1,0.238747
22,centered,2,0.224732
22,centered,3,0.2103
22,centered,4,0.195052
22,centered,5,0.177875
22,centered,6,0.159658
22,centered,7,0.142139
22,centered,8,0.125068
22,centered,9,0.109743
22,centered,10,0.0933401
22,centered,11,0.0744899
22,centered,12,0.0558098
22,centered,13,0.0381304
22,centered,14,0.0222735
22,centered,15,0.00642548
22,centered,16,-0.00681552
22,centered,17,-0.016728
22,centered,18,-0.0235452
22,centered,19,-0.031419
22,centered,20,-0.0383351
22,centered,21,-0.0459327
22,centered,22,-0.053028
22,centered,23,-0.0576007
22,centered,24,-0.0626576
22,centered,25,-0.0664222
22,centered,26,-0.0692807
22,centered,27,-0.0732043
22,centered,28,-0.0772409
22,centered,29,-0.0790637
22,centered,30,-0.0815393
22,centered,31,-0.0841695
22,centered,32,-0.0881969
22,centered,33,-0.0894792
22,centered,34,-0.0938467
22,centered,35,-0.085349
22,centered,36,-0.0832933
24,raw,0,0.834728
24,raw,1,0.832615
24,raw,2,0.82935
24,raw,3,0.825778
24,raw,4,0.821942
24,raw,5,0.817496
24,raw,6,0.812836
24,raw,7,0.808337
24,raw,8,0.804094
24,raw,9,0.800317
24,raw,10,0.796319
24,raw,11,0.791624
24,raw,12,0.786783
24,raw,13,0.782185
24,raw,14,0.777952
24,raw,15,0.773869
24,raw,16,0.770512
24,raw,17,0.768142
24,raw,18,0.766595
24,raw,19,0.765598
24,raw,20,0.764
24,raw,21,0.762398
24,raw,22,0.760786
24,raw,23,0.759964
24,raw,24,0.758668
24,raw,25,0.757907
24,raw,26,0.757387
24,raw,27,0.75719
24,raw,28,0.756975
24,raw,29,0.756972
24,raw,30,0.756856
24,raw,31,0.755622
24,raw,32,0.753782
24,raw,33,0.751431
24,raw,34,0.747406
24,raw,35,0.744942
24,raw,36,0.741656
24,centered,0,0.248177
24,centered,1,0.238241
24,centered,2,0.224451
24,centered,3,0.210213
24,centered,4,0.195255
24,centered,5,0.17841
24,centered,6,0.160493
24,centered,7,0.143157
24,centered,8,0.126231
24,centered,9,0.110914
24,centered,10,0.09452
24,centered,11,0.0755179
24,centered,12,0.056637
24,centered,13,0.0385675
24,centered,14,0.0223143
24,centered,15,0.00612481
24,centered,16,-0.00749541
24,centered,17,-0.0179544
24,centered,18,-0.0253511
24,centered,19,-0.0340728
24,centered,20,-0.0417083
24,centered,21,-0.0501313
24,centered,22,-0.0579049
24,centered,23,-0.0628835
24,centered,24,-0.0683212
24,centered,25,-0.0722976
24,centered,26,-0.0753895
24,centered,27,-0.0794205
24,centered,28,-0.083806
24,centered,29,-0.0858787
24,centered,30,-0.088524
24,centered,31,-0.0915116
24,centered,32,-0.0951691
24,centered,33,-0.0956107
24,centered,34,-0.0993459
24,centered,35,-0.088454
24,centered,36,-0.0842019
26,raw,0,0.860663
26,raw,1,0.858832
26,raw,2,0.856071
26,raw,3,0.85306
26,raw,4,0.849841
26,raw,5,0.846121
26,raw,6,0.842199
26,raw,7,0.83839
26,raw,8,0.834772
26,raw,9,0.831529
26,raw,10,0.828092
26,raw,11,0.824061
26,raw,12,0.819941
26,raw,13,0.816061
26,raw,14,0.812513
26,raw,15,0.809129
26,raw,16,0.806356
26,raw,17,0.804429
26,raw,18,0.803231
26,raw,19,0.802377
26,raw,20,0.801134
26,raw,21,0.799917
26,raw,22,0.798699
26,raw,23,0.798203
26,raw,24,0.797276
26,raw,25,0.796793
26,raw,26,0.796454
26,raw,27,0.79632
26,raw,28,0.796116
26,raw,29,0.79609
26,raw,30,0.796025
26,raw,31,0.794971
26,raw,32,0.793429
26,raw,33,0.791736
26,raw,34,0.788485
26,raw,35,0.78639
26,raw,36,0.784569
26,centered,0,0.246091
26,centered,1,0.236133
26,centered,2,0.222505
26,centered,3,0.208586
26,centered,4,0.193914
26,centered,5,0.177403
26,centered,6,0.159807
26,centered,7,0.142684
26,centered,8,0.125918
26,centered,9,0.110782
26,centered,10,0.0944954
26,centered,11,0.0756005
26,centered,12,0.0568389
26,centered,13,0.0388714
26,centered,14,0.0226875
26,centered,15,0.00653333
26,centered,16,-0.00709807
26,centered,17,-0.0178214
26,centered,18,-0.0255794
26,centered,19,-0.0346838
26,centered,20,-0.0427023
26,centered,21,-0.0516261
26,centered,22,-0.059967
26,centered,23,-0.0653067
26,centered,24,-0.0711568
26,centered,25,-0.0754967
26,centered,26,-0.0789087
26,centered,27,-0.0831005
26,centered,28,-0.0877387
26,centered,29,-0.0902478
26,centered,30,-0.0928791
26,centered,31,-0.0963138
26,centered,32,-0.100281
26,centered,33,-0.100602
26,centered,34,-0.105016
26,centered,35,-0.0948561
26,centered,36,-0.0898216
28,raw,0,0.86164
28,raw,1,0.859842
28,raw,2,0.857156
28,raw,3,0.854197
28,raw,4,0.851049
28,raw,5,0.847404
28,raw,6,0.843578
28,raw,7,0.839849
28,raw,8,0.836311
28,raw,9,0.833117
28,raw,10,0.829713
28,raw,11,0.825689
28,raw,12,0.821574
28,raw,13,0.817609
28,raw,14,0.81394
28,raw,15,0.810422
28,raw,16,0.807487
